Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (and (>= var2; var11;) (<= (* -3 (- var11; var1;)) (ite (< var11; var2;) (ite false var7; 0) (- 4 var10;)))) (and (>= var2; var11;) (<= (* -3 (- var11; var1;)) (ite (< var11; var2;) (ite false var7; 0) (- 4 var10;))))) 1(ite (or (< var10; (+ 0 var11;)) (< var10; (+ 0 var11;))) 10(ite (or (> (- var11; (* 0 var6;)) var9;) (> (- var11; (* 0 var6;)) var9;)) 9(ite (or (<= var8; (* 1 var11;)) (<= var8; (* 1 var11;))) 8(ite (or (< var7; var11;) (< var7; var11;)) 7(ite (or (> var11; var6;) (> var11; var6;)) 6(ite (or (> var11; var5;) (> var11; var5;)) 5(ite (or (>= var11; var4;) (>= var11; var4;)) 4(ite (or (<= var3; var11;) (<= var3; var11;)) 3(ite (or (not (<= var11; var1;)) (not (<= var11; var1;))) 2 (- 1 1))))))))))),731
src\main\resources\benchmarks\fg_array_search_11.sl,true,14,(ite (or (and (and (>= var2; var12;) (< (- (- var8; var7;) (+ (- var8; var7;) var12;)) (ite  true  (* -1 var1;) (+ var10; var11;))))  true ) (and (and (>= var2; var12;) (< (- (- var8; var7;) (+ (- var8; var7;) var12;)) (ite  true  (* -1 var1;) (+ var10; var11;))))  true )) 1(ite (or (not (and (not (> var12; var11;))  true )) (not (and (not (> var12; var11;))  true ))) (+ 1 10)(ite (or (>= var12; var10;) (>= var12; var10;)) 10(ite (or (< (* 4 (* 2 0)) (ite (< var5; var6;) (- var12; var9;) (* -7 var6;))) (< (* 4 (* 2 0)) (ite (< var5; var6;) (- var12; var9;) (* -7 var6;)))) 9(ite (or (< (+ (ite (not false) (+ var8; var6;) (* 0 3)) (- (- var4; var6;) (+ var4; var12;))) (* 0 (- (* 1 var1;) (* 15 var2;)))) (< (+ (ite (not false) (+ var8; var6;) (* 0 3)) (- (- var4; var6;) (+ var4; var12;))) (* 0 (- (* 1 var1;) (* 15 var2;))))) 8(ite (or (>= var12; var7;) (>= var12; var7;)) 7(ite (or (< var6; var12;) (< var6; var12;)) 6(ite (or (> var12; var5;) (> var12; var5;)) 5(ite (or (< var4; var12;) (< var4; var12;)) 4(ite (or (>= (* -6 (- var3; var12;)) (* 0 (+ -14 1))) (>= (* -6 (- var3; var12;)) (* 0 (+ -14 1)))) 3(ite (or (or (or  false   false ) (and  true  (> var12; var1;))) (or (or  false   false ) (and  true  (> var12; var1;)))) 2 (- 1 1)))))))))))),1260
src\main\resources\benchmarks\fg_array_search_12.sl,true,19,(ite (or (and (and (<= var13; (ite (and (<= var11; var13;) (and  false  (<= var11; var13;))) (- (ite true var11; var10;) (- var6; var7;)) (- var1; (- var1; var12;))))  true ) (<= var11; var13;)) (and (and (<= var13; (ite (and (<= var11; var13;) (and  false  (<= var11; var13;))) (- (ite true var11; var10;) (- var6; var7;)) (- var1; (- var1; var12;))))  true ) (<= var11; var13;))) 11(ite (or (and (< var13; var11;) (> var13; var10;)) (and (< var13; var11;) (> var13; var10;))) (+ 1 9)(ite (or (or (and (< var13; var10;) (> var13; (ite false var7; var9;))) false) (or (and (< var13; var10;) (> var13; (ite false var7; var9;))) false)) 9(ite (or (and (<= (- (- var13; var4;) (- var9; var4;)) (- (ite true var10; var6;) var13;)) (or (not  true ) (< var8; var13;))) (and (<= (- (- var13; var4;) (- var9; var4;)) (- (ite true var10; var6;) var13;)) (or (not  true ) (< var8; var13;)))) 8(ite (or (and (> var13; var7;) (< var13; var12;)) (and (> var13; var7;) (< var13; var12;))) 7(ite (or (and (or (or  false  (< (+ var13; var13;) (+ var13; var9;))) false) (not (> var6; var13;))) (and (or (or  false  (< (+ var13; var13;) (+ var13; var9;))) false) (not (> var6; var13;)))) 6(ite (or (and (<= var5; var13;) (< var13; (+ var2; (- var7; var2;)))) (and (<= var5; var13;) (< var13; (+ var2; (- var7; var2;))))) 5(ite (or (and (or (and (>= var10; var13;)  true )  false ) (<= var4; (- (+ var13; var3;) (ite true var3; var3;)))) (and (or (and (>= var10; var13;)  true )  false ) (<= var4; (- (+ var13; var3;) (ite true var3; var3;))))) 4(ite (or (and (> var13; var3;) (< (- var13; var6;) (- var10; var9;))) (and (> var13; var3;) (< (- var13; var6;) (- var10; var9;)))) 3(ite (or (and (> var13; var2;) (>= var11; var13;)) (and (> var13; var2;) (>= var11; var13;))) 2(ite (or (<= var13; var1;) (<= var13; var1;)) (- 1 1)(ite (or (> var2; var13;) (> var2; var13;)) 1 12)))))))))))),1868
src\main\resources\benchmarks\fg_array_search_13.sl,true,26,(ite (or (and (< var10; var14;) (and  true  (> (ite false var1; var11;) (ite (not false) (ite false var6; var14;) (ite false var10; var11;))))) (and (< var10; var14;) (and  true  (> (ite false var1; var11;) (ite (not false) (ite false var6; var14;) (ite false var10; var11;)))))) (+ 1 9)(ite (or (and (> (ite true var13; var10;) (ite false var10; var14;)) (not (<= var14; var12;))) (and (> (ite true var13; var10;) (ite false var10; var14;)) (not (<= var14; var12;)))) 12(ite (or (and (< var14; var10;) (or (< var9; var14;) (not true))) (and (< var14; var10;) (or (< var9; var14;) (not true)))) 9(ite (or (and (>= var14; var8;) (< var14; (ite (< var9; var12;) (ite true var9; var2;) (ite false var13; var4;)))) (and (>= var14; var8;) (< var14; (ite (< var9; var12;) (ite true var9; var2;) (ite false var13; var4;))))) 8(ite (or (< (ite (< var7; var14;) (* 0 var2;) (- (- var10; var14;) (* 0 var4;))) (- (- var10; var14;) (* 0 var4;))) (< (ite (< var7; var14;) (* 0 var2;) (- (- var10; var14;) (* 0 var4;))) (- (- var10; var14;) (* 0 var4;)))) 7(ite (or (and (<= var6; var14;) (> (- var8; 0) (ite false 17 var14;))) (and (<= var6; var14;) (> (- var8; 0) (ite false 17 var14;)))) 6(ite (or (and (<= var14; (* 1 var8;)) (< var5; var14;)) (and (<= var14; (* 1 var8;)) (< var5; var14;))) 5(ite (or (and (<= var1; var14;) (<= var14; var2;)) (and (<= var1; var14;) (<= var14; var2;))) 1(ite (or (and (> var4; var14;) (and (< var3; var14;) (or true true))) (and (> var4; var14;) (and (< var3; var14;) (or true true)))) 3(ite (or (and (and (> var3; var14;) (not  false )) (not (< (+ -14 var14;) (+ -14 var2;)))) (and (and (> var3; var14;) (not  false )) (not (< (+ -14 var14;) (+ -14 var2;))))) 2(ite (or (>= var1; var14;) (>= var1; var14;)) (- 1 1)(ite (or (and (or  false  (not (> var14; var7;))) true) (and (or  false  (not (> var14; var7;))) true)) 4(ite (or (< var13; var14;) (< var13; var14;)) 13 11))))))))))))),1909
src\main\resources\benchmarks\fg_array_search_14.sl,true,47,(ite (or (< (ite (< var10; var15;) (- (+ var15; var5;) (ite false var5; var5;)) (ite true var12; var6;)) (ite (< (- var7; var14;) (ite true 0 var5;)) (+ (ite true var11; var1;) (ite true 0 var4;)) (+ (- var13; var6;) (+ (ite  false  (+ var2; 11) (+ var11; var10;)) (ite (< var13; var13;) (* 9 var11;) (- var1; var1;)))))) (< (ite (< var10; var15;) (- (+ var15; var5;) (ite false var5; var5;)) (ite true var12; var6;)) (ite (< (- var7; var14;) (ite true 0 var5;)) (+ (ite true var11; var1;) (ite true 0 var4;)) (+ (- var13; var6;) (+ (ite  false  (+ var2; 11) (+ var11; var10;)) (ite (< var13; var13;) (* 9 var11;) (- var1; var1;))))))) (+ 1 9)(ite (or (and (< var12; var15;) (and (or  false  (not (and (not  false ) (<= (ite false var5; var13;) var15;))))  true )) (and (< var12; var15;) (and (or  false  (not (and (not  false ) (<= (ite false var5; var13;) var15;))))  true ))) 12(ite (or (and (> (* 1 var11;) (ite (or false false) var9; (ite true var15; var8;))) (< var9; var15;)) (and (> (* 1 var11;) (ite (or false false) var9; (ite true var15; var8;))) (< var9; var15;))) 9(ite (or (<= var14; var15;) (<= var14; var15;)) 14(ite (or (and (<= var3; (ite false var4; var15;)) (>= var4; var15;)) (and (<= var3; (ite false var4; var15;)) (>= var4; var15;))) 3(ite (or (and (not (> var5; (ite  false  (ite (or true (> var4; (ite false var9; var11;))) (ite true var1; var14;) (* 15 var5;)) var15;))) (< var15; var6;)) (and (not (> var5; (ite  false  (ite (or true (> var4; (ite false var9; var11;))) (ite true var1; var14;) (* 15 var5;)) var15;))) (< var15; var6;))) 5(ite (or (and (and  true  (or (and (and false false)  false ) (<= var15; var2;))) (>= var15; var1;)) (and (and  true  (or (and (and false false)  false ) (<= var15; var2;))) (>= var15; var1;))) 1(ite (or (<= var12; var15;) (<= var12; var15;)) 13(ite (or (>= var1; var15;) (>= var1; var15;)) (- 1 1)(ite (or (> (ite  true  (ite true var3; var7;) (* 0 7)) (* 1 (ite true var15; var12;))) (> (ite  true  (ite true var3; var7;) (* 0 7)) (* 1 (ite true var15; var12;)))) 2(ite (or (and  true  (>= (ite true var6; var7;) (ite false var12; var15;))) (and (<= (- var1; var3;) (* -11 (- var4; var4;))) (>= (ite true var6; var7;) (ite false var12; var15;)))) 4(ite (or (< (- var15; var7;) (ite false var10; 0)) (< (- var15; var7;) (ite false var10; 0))) 6(ite (or (<= var15; var8;) (<= var15; var8;)) 7(ite (or (>= var15; var10;) (>= var15; var10;)) 11 8)))))))))))))),2424
src\main\resources\benchmarks\fg_array_search_15.sl,true,29,(ite (or (and (< var16; var12;) (> var16; var11;)) (and (< var16; var12;) (> var16; var11;))) 11(ite (or (and (< var10; var16;) (and (or (and  false   false ) (or (< var16; var12;) (and false false))) (or  false  (or (and true true) (and false false))))) (and (< var10; var16;) (and (or (and  false   false ) (or (< var16; var12;) (and false false))) (or  false  (or (and true true) (and false false)))))) (+ 1 9)(ite (or (and (> var16; var9;) (<= var16; var10;)) (and (> var16; var9;) (<= var16; var10;))) 9(ite (or (and (>= var16; var8;) (>= var10; var16;)) (and (>= var16; var8;) (>= var10; var16;))) 8(ite (or (and (> var16; var7;) (<= (* 18 (- var16; var9;)) (- var16; var9;))) (and (> var16; var7;) (<= (* 18 (- var16; var9;)) (- var16; var9;)))) 7(ite (or (and (or (and  false  false) (> var16; var6;)) (and true (<= var16; var11;))) (and (or (and  false  false) (> var16; var6;)) (and true (<= var16; var11;)))) 6(ite (or (not (> -1 (+ (ite (<= (+ var16; 1) (ite true var5; var2;)) (* 1 (- (+ (+ var12; var3;) (- (- var6; var16;) (- var14; var6;))) (+ (+ var12; var3;) (+ (* 0 var9;) (* 10 (- var6; var16;)))))) (* 10 (- var6; var16;))) (- var7; var16;)))) (not (> -1 (+ (ite (<= (+ var16; 1) (ite true var5; var2;)) (* 1 (- (+ (+ var12; var3;) (- (- var6; var16;) (- var14; var6;))) (+ (+ var12; var3;) (+ (* 0 var9;) (* 10 (- var6; var16;)))))) (* 10 (- var6; var16;))) (- var7; var16;))))) 5(ite (or (and (>= var16; var4;) (<= (ite true var16; var1;) var7;)) (and (>= var16; var4;) (<= (ite true var16; var1;) var7;))) 4(ite (or (<= (ite (>= var2; (ite (>= var16; var3;) var1; (ite (= var1; var10;) var15; (ite true var8; var14;)))) var16; var11;) var7;) (<= (ite (>= var2; (ite (>= var16; var3;) var1; (ite (= var1; var10;) var15; (ite true var8; var14;)))) var16; var11;) var7;)) 3(ite (or (and (> var16; (+ (* 1 (ite  true  (* 0 var15;) (ite false var1; var6;))) var2;)) (<= var16; var5;)) (and (> var16; (+ (* 1 (ite  true  (* 0 var15;) (ite false var1; var6;))) var2;)) (<= var16; var5;))) 2(ite (or (>= var1; var16;) (>= var1; var16;)) (- 1 1)(ite (or (and (or (or true false)  false ) (>= var7; var16;)) (and (or (or true false)  false ) (>= var7; var16;))) 1(ite (or (> var16; var15;) (> var16; var15;)) 15(ite (or (> var16; var14;) (> var16; var14;)) 14(ite (or (> var16; var13;) (> var16; var13;)) 13 12))))))))))))))),2339
src\main\resources\benchmarks\fg_array_search_16.sl,true,48,(ite (or (>= (+ (+ (* 0 (- var17; (ite (> (- var16; var13;) var15;) (- var16; var13;) var13;))) (ite (or (= var14; 0) (and  true   true )) var17; var7;)) (* 0 (- var6; (* -1 var10;)))) (+ (ite (> (+ (+ (* 0 (- var17; (ite (> (- var16; var13;) var15;) (- var16; var13;) (- (- var17; var12;) (* -1 var10;))))) (ite (or (= var10; 0) (and  false   false )) var17; var7;)) (* 0 (- var6; (* -1 var10;)))) (+ (* 0 (- var6; var6;)) (ite (or (= var8; var12;)  true ) var17; var7;))) (- var16; var13;) (+ (ite (< var18; var11;) (+ (- var14; var11;) (ite true var17; var7;)) var18;) (* -1 var10;))) (- (- var17; var12;) (* -1 var10;)))) (>= (+ (+ (* 0 (- var17; (ite (> (- var16; var13;) var15;) (- var16; var13;) var13;))) (ite (or (= var14; 0) (and (< var11; var18;)  true )) var17; var7;)) (* 0 (- var6; (* -1 var10;)))) (+ (ite (> (+ (+ (* 0 (- var17; (ite (> (- var16; var13;) var15;) (- var16; var13;) (- (- var17; var12;) (* -1 var10;))))) (ite (or (= var10; 0) (and  false   false )) var17; var7;)) (* 0 (- var6; (* -1 var10;)))) (+ (* 0 (- var6; var6;)) (ite (or (= var8; var12;)  true ) var17; var7;))) (- var16; var13;) (+ (ite (< var18; var11;) (+ (- var14; var11;) (ite true var17; var7;)) var18;) (* -1 var10;))) (- (- var17; var12;) (* -1 var10;))))) 11(ite (or (and (< var10; var18;) (or  false  (>= var11; var18;))) (and (< var10; var18;) (or  false  (>= var11; var18;)))) (+ 1 9)(ite (or (and  true  (and (not  false ) (and (< (+ var8; var8;) (ite (< (ite true var10; var14;) (ite false var9; var18;)) (+ (ite true var12; var9;) (- var17; var4;)) (+ (+ var18; var8;) (* 0 var13;)))) (>= var9; var18;)))) (and  true  (and (not  false ) (and (< (+ var8; var8;) (ite (< (ite true var10; var14;) (ite false var9; var18;)) (+ (ite true var12; var9;) (- var17; var4;)) (+ (+ var18; var8;) (* 0 var13;)))) (>= var9; var18;))))) 8(ite (or (and (>= var18; var7;) (not (> var18; var8;))) (and (>= var18; var7;) (not (> var18; var8;)))) 7(ite (or (and (>= (ite (and false true) (- var13; var16;) (ite true var15; var11;)) var18;) (>= var18; var14;)) (and (>= (ite (and false true) (- var13; var16;) (ite true var15; var11;)) var18;) (>= var18; var14;))) 14(ite (or (and (< var18; var9;) (> var18; var6;)) (and (< var18; var9;) (> var18; var6;))) 6(ite (or (and  true  (or (and  true  (and (< var18; var7;) (>= var18; (ite true var5; var18;))))  false )) (and  true  (or (and  true  (and (< var18; var7;) (>= var18; (ite true var5; var18;))))  false ))) 5(ite (or (or (and (> var9; var18;) (or  false  (and (<= var4; var18;)  true )))  false ) (or (and (> var9; var18;) (or  false  (and (<= var4; var18;)  true )))  false )) 4(ite (or (and (>= var18; var3;) (> var9; var18;)) (and (>= var18; var3;) (> var9; var18;))) 3(ite (or (and (and  true  (> var4; var18;)) (>= var18; var2;)) (and (and  true  (> var4; var18;)) (>= var18; var2;))) 2(ite (or (and (> var2; var18;) (<= (- (ite false var5; var1;) (+ var18; var12;)) (- (ite (not true) var13; (* 0 var5;)) var12;))) (and (> var2; var18;) (<= (- (ite false var5; var1;) (+ var18; var12;)) (- (ite (not true) var13; (* 0 var5;)) var12;)))) 1(ite (or (>= var5; var18;) (>= var5; var18;)) (- 1 1)(ite (or (not (<= var18; var17;)) (not (<= var18; var17;))) 17(ite (or (or  false  (> var18; var16;)) (or  false  (> var18; var16;))) 16(ite (or (> var18; var14;) (> var18; var14;)) 15(ite (or (< var13; var18;) (< var13; var18;)) 13(ite (or (and  true  (and  true  (<= var10; var18;))) (and (> var18; var12;) (and (> (- var18; 0) var12;) (<= var10; var18;)))) 12 9))))))))))))))))),3520
src\main\resources\benchmarks\fg_array_search_17.sl,true,40,(ite (or (and (> var19; var11;) (<= var19; (ite (<= var19; var10;) var4; var12;))) (and (> var19; var11;) (<= var19; (ite (<= var19; var10;) var4; var12;)))) 11(ite (or (and (>= var19; var10;) (<= var19; var11;)) (and (>= var19; var10;) (<= var19; var11;))) (+ 1 9)(ite (or (and (and  true  (<= var8; (ite (>= var19; var12;) (ite false var8; var6;) (- var13; 6)))) (and  true  (and (and  true  (or  false  (and  true   true ))) (> var19; var9;)))) (and (and  true  (<= var8; (ite (>= var19; var12;) (ite false var8; var6;) (- var13; 6)))) (and  true  (and (and  true  (or  false  (and  true   true ))) (> var19; var9;))))) 9(ite (or (and (< var19; var11;) (not (< var19; var8;))) (and (< var19; var11;) (not (< var19; var8;)))) 8(ite (or (and (< var19; var9;) (>= var19; var7;)) (and (< var19; var9;) (>= var19; var7;))) 7(ite (or (and (< var6; var19;) (>= var8; var19;)) (and (< var6; var19;) (>= var8; var19;))) 6(ite (or (and (< var5; var19;) (< var19; (+ 1 var9;))) (and (< var5; var19;) (< var19; (+ 1 var9;)))) 5(ite (or (or (<= (* -15 (- var11; (ite (> var19; var4;) var19; (ite false var11; var14;)))) (- (* 0 (- var19; var19;)) (* 0 (ite true var16; var9;)))) (and  false   false )) (or (<= (* -15 (- var11; (ite (> var19; var4;) var19; (ite false var11; var14;)))) (- (* 0 (- var19; var19;)) (* 0 (ite true var16; var9;)))) (and  false   false ))) 4(ite (or (< (ite (<= var19; var3;) (ite (< var16; var19;) var12; (ite true var18; var9;)) var19;) (ite  false  var9; var11;)) (< (ite (<= var19; var3;) (ite (< var16; var19;) var12; (ite true var18; var9;)) var19;) (ite  false  var9; var11;))) 3(ite (or (and (<= (+ var1; var19;) (+ var8; var1;)) (or  false  (<= var2; var19;))) (and (<= (+ var1; var19;) (+ var8; var1;)) (or  false  (<= var2; var19;)))) 2(ite (or (and (not (> var19; var1;))  true ) (and (not (> var19; var1;))  true )) (- 1 1)(ite (or (not (>= var19; var12;)) (not (>= var19; var12;))) 1(ite (or (> var19; var18;) (> var19; var18;)) 18(ite (or (>= var19; var17;) (>= var19; var17;)) 17(ite (or (< (ite true var16; var9;) (ite true var19; var1;)) (< (ite true var16; var9;) (ite true var19; var1;))) 16(ite (or (< var15; var19;) (< var15; var19;)) 15(ite (or (>= (ite (not (or true false)) (- (+ (ite true var12; var10;) (ite true var5; var8;)) (+ (* 0 var8;) (* -2 var14;))) (ite  false  (* -15 (- (- var14; var19;) (* 0 (ite true var8; var16;)))) (* 0 (- var6; var14;)))) (* -1 (* -15 (- (- var14; var19;) (* 0 var17;))))) (>= (ite (not (or true false)) (- (+ (ite true var12; var10;) (ite true var5; var8;)) (+ (* 0 var8;) (* -2 var14;))) (ite  false  (* -15 (- (- var14; var19;) (* 0 (ite true var8; var16;)))) (* 0 (- var6; var14;)))) (* -1 (* -15 (- (- var14; var19;) (* 0 var17;)))))) 14(ite (or (< var13; var19;) (< var13; var19;)) 13 12)))))))))))))))))),2790
src\main\resources\benchmarks\fg_array_search_18.sl,true,65,(ite (or (and (and (<= var20; (ite false var16; var12;)) (< var11; var20;))  true ) (and (and (<= var20; (ite false var16; var12;)) (< var11; var20;))  true )) 11(ite (or (and (< var20; var11;) (< var10; var20;)) (and (< var20; var11;) (< var10; var20;))) (+ 1 9)(ite (or (and (> var11; var20;) (< (- (- (- var19; var10;) (* 0 var6;)) (- var20; var9;)) (ite  false  (- var19; var10;) (- (- var19; var10;) (* 0 (ite  false  var7; var14;)))))) (and (> var11; var20;) (< (- (- (- var19; var10;) (* 0 var6;)) (- var20; var9;)) (ite  false  (- var19; var10;) (- (- var19; var10;) (* 0 (ite  false  var7; var14;))))))) 9(ite (or (and (>= var8; var20;) (< (* 0 (ite false var11; var4;)) (- var20; var7;))) (and (>= var8; var20;) (< (* 0 (ite false var11; var4;)) (- var20; var7;)))) 7(ite (or (and (and (<= var20; var13;) (and  true   true )) (< (* -8 (+ (+ var8; var20;) (* 0 var12;))) (* -8 (+ (+ var8; var12;) (* 0 var12;))))) (and (and (<= var20; var13;) (and  true   true )) (< (* -8 (+ (+ var8; var20;) (* 0 var12;))) (* -8 (+ (+ var8; var12;) (* 0 var12;)))))) 12(ite (or (< (ite (< (ite  false  var10; (+ (* 0 (* 0 var13;)) var14;)) (+ (* 0 (* 0 (+ var14; var12;))) (ite  false  var7; var20;))) (ite  false  var7; var20;) (+ (- (ite true var15; var20;) var4;) var14;)) (+ (ite true var15; var20;) (* 0 var19;))) (< (ite (< (ite  false  var10; (+ (* 0 (* 0 var13;)) var14;)) (+ (* 0 (* 0 (+ var14; var12;))) (ite  false  var7; var20;))) (ite  false  var7; var20;) (+ (- (ite true var15; var20;) var4;) var14;)) (+ (ite true var15; var20;) (* 0 var19;)))) 14(ite (or (> (ite (>= var5; var20;) (ite (> var5; var20;) (ite false var4; var20;) (- var6; (+ (* -1 var14;) (ite (> var10; var4;) (ite  false  var18; var9;) var6;)))) (- var6; (ite (> -10 var1;) (- var19; var1;) (+ var5; var19;)))) var4;) (> (ite (>= var5; var20;) (ite (> var5; var20;) (ite false var4; var20;) (- var6; (+ (* -1 var14;) (ite (> var10; var4;) (ite  false  var18; var9;) var6;)))) (- var6; (ite (> -10 var1;) (- var19; var1;) (+ var5; var19;)))) var4;)) 4(ite (or (and (>= (- (ite (not true) (- var4; var16;) (- var19; 0)) (- (ite true var20; var11;) (ite true var20; var12;))) var20;) (<= var18; var20;)) (and (>= (- (ite (not true) (- var4; var16;) (- var19; 0)) (- (ite true var20; var11;) (ite true var20; var12;))) var20;) (<= var18; var20;))) 18(ite (or (and (>= var8; var20;) (> var20; var6;)) (and (>= var8; var20;) (> var20; var6;))) 6(ite (or (< (* 0 var7;) (- var20; var19;)) (< (* 0 var7;) (- var20; var19;))) 19(ite (or (< var20; var1;) (< var20; var1;)) (- 1 1)(ite (or (or (> (ite (not (<= var14; var20;)) (+ var20; (ite  false  (+ var19; var3;) (- (* 1 var20;) (ite true var15; var4;)))) (ite true var16; var3;)) var20;)  false ) (or (> (ite (not (<= var14; var20;)) (+ var20; (ite  false  (+ var19; var3;) (- (* 1 var20;) (ite true var15; var4;)))) (ite true var16; var3;)) var20;)  false )) 15(ite (or (or (< var20; var2;) (and  false   false )) (or (< var20; var2;) (and  false   false ))) 1(ite (or (and  true  (> var20; var17;)) (and  true  (> var20; var17;))) 17(ite (or (<= var15; var20;) (<= var15; var20;)) 16(ite (or (and (>= var10; var20;) (not (<= var20; var7;))) (and (>= var10; var20;) (not (<= var20; var7;)))) 8(ite (or (<= var20; var3;) (<= var20; var3;)) 2(ite (or (and  true  (<= var20; var4;)) (and (> var5; var20;) (<= var20; var4;))) 3(ite (or (> var20; var11;) (> var20; var11;)) 13 5))))))))))))))))))),3415
