Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,16,(ite (or (< (+ (- (- (- var9; var2;) (ite false var11; var11;)) (ite  true  (+ var2; var8;) (ite (or (and (not false) (not true)) (< (+ (* -3 (+ var5; var4;)) (ite true var10; var3;)) (ite (and  false   false ) (* 0 (ite  false  (* -3 (ite (< var3; (* -6 (ite false var6; var8;))) (ite true var2; var3;) (* 1 var11;))) (* 5 var9;))) (- (- (- var9; var2;) var3;) (ite  false  (+ var2; var8;) (- (ite (not  false ) (+ var3; var2;) (* 5 var9;)) var2;)))))) (+ var3; var2;) (* 5 var9;)))) (ite (and (not true) (not true)) (ite (not false) (+ var5; var4;) (+ var10; var9;)) (ite (or (and (and (not true) (not true)) (not true))  true ) (* 0 (ite true var2; var3;)) (ite false var4; 13)))) (ite (>= var1; (* 1 var11;)) (* -3 (ite (not false) (ite true var2; var3;) (+ var10; var9;))) (- (- (- var9; (* 1 var11;)) (ite false var11; var11;)) (ite  false  (+ var2; var8;) (+ var2; var8;))))) (< (+ (- (- (- var9; var2;) (ite false var11; var11;)) (ite  true  (+ var2; var8;) (ite (or (and (not false) (not true)) (< (+ (* -3 (+ var5; var4;)) (ite true var10; var3;)) (ite (and  false   false ) (* 0 (ite  false  (* -3 (ite (< var3; (* -6 (ite false var6; var8;))) (ite true var2; var3;) (* 1 var11;))) (* 5 var9;))) (- (- (- var9; var2;) var3;) (ite  false  (+ var2; var8;) (- (ite (not  false ) (+ var3; var2;) (* 5 var9;)) var2;)))))) (+ var3; var2;) (* 5 var9;)))) (ite (and (not true) (not true)) (ite (not false) (+ var5; var4;) (+ var10; var9;)) (ite (or (and (and (not true) (not true)) (not true))  true ) (* 0 (ite true var2; var3;)) (ite false var4; 13)))) (ite (>= var1; (* 1 var11;)) (* -3 (ite (not false) (ite true var2; var3;) (+ var10; var9;))) (- (- (- var9; (* 1 var11;)) (ite false var11; var11;)) (ite  false  (+ var2; var8;) (+ var2; var8;)))))) 1(ite (or (< var10; var11;) (< var10; var11;)) 10(ite (or (>= var11; var9;) (>= var11; var9;)) 9(ite (or (<= var8; var11;) (<= var8; var11;)) 8(ite (or (>= var11; var7;) (>= var11; var7;)) 7(ite (or (>= var11; var6;) (>= var11; var6;)) 6(ite (or (or (< var5; var11;)  false ) (or (< var5; var11;)  false )) 5(ite (or (or (<= var4; var11;)  false ) (or (<= var4; var11;)  false )) 4(ite (or (> var11; var3;) (> var11; var3;)) 3(ite (or (> var11; var1;) (> var11; var1;)) 2 (- 1 1))))))))))),2247
src\main\resources\benchmarks\fg_array_search_11.sl,true,14,(ite (or (and (> var2; var12;) (<= var1; var12;)) (and (> var2; var12;) (<= var1; var12;))) 1(ite (or (<= var11; var12;) (<= var11; var12;)) (+ 1 10)(ite (or (or  false  (>= var12; var10;)) (or  false  (>= var12; var10;))) 10(ite (or (>= (- var12; var9;) (* 0 0)) (>= (- var12; var9;) (* 0 0))) 9(ite (or (or (> var12; var8;)  false ) (or (> var12; var8;)  false )) 8(ite (or (<= var7; var12;) (<= var7; var12;)) 7(ite (or (< var6; var12;) (< var6; var12;)) 6(ite (or (> var12; (* 1 var5;)) (> var12; (* 1 var5;))) 5(ite (or (< var4; var12;) (< var4; var12;)) 4(ite (or (>= var12; var3;) (>= var12; var3;)) 3(ite (or (not (< (ite false var2; var12;) (ite false var6; var1;))) (not (< (ite false var2; var12;) (ite false var6; var1;)))) 2 (- 1 1)))))))))))),756
src\main\resources\benchmarks\fg_array_search_12.sl,true,28,(ite (or (and  true  (or (and (> var13; var10;) (or (>= (+ (* -1 (ite false var7; var13;)) (+ var11; var5;)) var5;)  false )) false)) (and  true  (or (and (> var13; var10;) (or (>= (+ (* -1 (ite false var7; var13;)) (+ var11; var5;)) var5;)  false )) false))) (+ 1 9)(ite (or (<= (ite false var4; var12;) (ite false var9; var13;)) (<= (ite false var4; var12;) (ite false var9; var13;))) 12(ite (or (and (> (+ var10; var3;) (+ var13; (ite false var10; var3;))) (< var9; var13;)) (and (> (+ var10; var3;) (+ var13; (ite false var10; var3;))) (< var9; var13;))) 9(ite (or (and (< var8; var13;) (<= (- (* 0 var4;) var11;) (* -1 (+ (ite (and true true) (ite false var7; var13;) (* -15 var13;)) (* 0 (- var2; var12;)))))) (and (< var8; var13;) (<= (- (* 0 var4;) var11;) (* -1 (+ (ite (and true true) (ite false var7; var13;) (* -15 var13;)) (* 0 (- var2; var12;))))))) 8(ite (or (or false (and (>= var13; var7;) (> var8; var13;))) (or false (and (>= var13; var7;) (> var8; var13;)))) 7(ite (or (>= (ite (or  false  (>= var6; var13;)) (- (- var1; var11;) (- var11; var8;)) (- var7; var13;)) (ite  false  (+ (+ var9; var5;) (* 0 0)) (* 0 (ite true var8; var8;)))) (>= (ite (or  false  (>= var6; var13;)) (- (- var1; var11;) (- var11; var8;)) (- var7; var13;)) (ite  false  (+ (+ var9; var5;) (* 0 0)) (* 0 (ite true var8; var8;))))) 6(ite (or (not (or (< var1; var13;)  false )) (not (or (< var1; var13;)  false ))) (- 1 1)(ite (or (and (> var13; var3;) (> var4; var13;)) (and (> var13; var3;) (> var4; var13;))) 3(ite (or (and (not (> var5; var13;)) (<= var13; (- (+ var9; var8;) var8;))) (and (not (> var5; var13;)) (<= var13; (- (+ var9; var8;) var8;)))) 5(ite (or (and (<= (+ var2; var2;) (+ var13; var13;)) (>= var3; var13;)) (and (<= (+ var2; var2;) (+ var13; var13;)) (>= var3; var13;))) 2(ite (or (<= (- var13; var4;) (* 0 var6;)) (<= (- var13; var4;) (* 0 var6;))) 1(ite (or (and  true  (and  true  (and  true  (and  true  (<= var11; var13;))))) (and (>= var13; var11;) (and (> (* 1 (ite (and (= var7; (* 0 var7;)) (<= var11; var13;)) (ite (>= var13; var11;) (- var12; var11;) (- var12; var11;)) (- var12; var11;))) (+ (* 6 1) (- var7; var12;))) (and (< var11; var13;) (and (> (* 1 (- var3; var6;)) (+ (* 6 1) (- var3; var12;))) (<= var11; var13;)))))) 11 4)))))))))))),2271
src\main\resources\benchmarks\fg_array_search_13.sl,true,28,(ite (or (and (not (> var11; var14;)) (< (ite (not (<= var14; var12;)) (- (ite true var10; var10;) (ite  false  var8; (- (ite true (* 1 var14;) (+ var12; var5;)) var14;))) (- (* 1 var6;) (- var12; var10;))) (ite (and (and false false) (or true false)) (- var7; var8;) (ite true var10; var10;)))) (and (not (> var11; var14;)) (< (ite (not (<= var14; var12;)) (- (ite true var10; var10;) (ite  false  var8; (- (ite true (* 1 var14;) (+ var12; var5;)) var14;))) (- (* 1 var6;) (- var12; var10;))) (ite (and (and false false) (or true false)) (- var7; var8;) (ite true var10; var10;))))) 11(ite (or (and (>= var14; var10;) (< (* 13 (- var14; var11;)) (* -15 (- var14; var11;)))) (and (>= var14; var10;) (< (* 13 (- var14; var11;)) (* -15 (- var14; var11;))))) (+ 1 9)(ite (or (and (and  true  (<= var14; var12;)) (<= var9; var14;)) (and (and  true  (<= var14; var12;)) (<= var9; var14;))) 9(ite (or (and (> var14; var8;) (>= var9; var14;)) (and (> var14; var8;) (>= var9; var14;))) 8(ite (or (and (or  false  (<= (ite (and false false) (- var14; var8;) (ite (and (and true false)  false ) (- (ite false var14; var6;) var14;) (ite (< var11; var4;) (+ var12; var14;) (* -12 0)))) (ite (< var11; var3;) (+ 14 var12;) (- var9; var14;)))) (> var14; var7;)) (and (or  false  (<= (ite (and false false) (- var14; var8;) (ite (and (and true false)  false ) (- (ite false var14; var6;) var14;) (ite (< var11; var4;) (+ var12; var14;) (* -12 0)))) (ite (< var11; var3;) (+ 14 var12;) (- var9; var14;)))) (> var14; var7;))) 7(ite (or (< (ite (> (ite false var3; var6;) (* 1 var14;)) var11; (- (* 1 var14;) (* 0 var4;))) (+ (* 0 (ite  false  (+ (ite false var11; var10;) (- var12; var10;)) (- (- var2; var12;) (* 0 (* 0 (+ (- var9; var6;) (ite false var12; var2;))))))) (ite  false  (* 0 var6;) (ite true var8; var11;)))) (< (ite (> (ite false var3; var6;) (* 1 var14;)) var11; (- (* 1 var14;) (* 0 var4;))) (+ (* 0 (ite  false  (+ (ite false var11; var10;) (- var12; var10;)) (- (- var2; var12;) (* 0 (* 0 (+ (- var9; var6;) (ite false var12; var2;))))))) (ite  false  (* 0 var6;) (ite true var8; var11;))))) 6(ite (or (and (<= var5; var14;) (or  false  (< var14; (ite  false  (- var9; var10;) var10;)))) (and (<= var5; var14;) (or  false  (< var14; (ite  false  (- var9; var10;) var10;))))) 5(ite (or (and true (and (> var6; var14;) (< var4; var14;))) (and true (and (> var6; var14;) (< var4; var14;)))) 4(ite (or (and (> var3; var14;) (< 0 (- var14; var2;))) (and (> var3; var14;) (< 0 (- var14; var2;)))) 2(ite (or (and (and  true  (not (> var11; var14;))) (<= (- (+ 1 var14;) (- var13; var13;)) var13;)) (and (and  true  (not (> var11; var14;))) (<= (- (+ 1 var14;) (- var13; var13;)) var13;))) 12(ite (or (> var1; var14;) (> var1; var14;)) (- 1 1)(ite (or (or  false  (not (<= var2; var14;))) (or  false  (not (<= var2; var14;)))) 1(ite (or (or (> var14; var13;)  false ) (or (> var14; var13;)  false )) 13 3))))))))))))),2911
src\main\resources\benchmarks\fg_array_search_14.sl,true,26,(ite (or (> (ite (or (> (ite false var13; var15;) var11;)  false ) var12; var15;) var15;) (> (ite (or (> (ite false var13; var15;) var11;)  false ) var12; var15;) var15;)) 11(ite (or (and (< (ite true var15; 5) var12;) (<= var10; var15;)) (and (< (ite true var15; 5) var12;) (<= var10; var15;))) (+ 1 9)(ite (or (and (or  false  (> (ite false var13; var12;) var15;)) (> var15; var9;)) (and (or  false  (> (ite false var13; var12;) var15;)) (> var15; var9;))) 9(ite (or (and (or (and (and  false  (or false false)) (or false false)) (> var15; var8;)) (> (+ (- var12; var15;) (- var8; var13;)) (- var8; var13;))) (and (or (and (and  false  (or false false)) (or false false)) (> var15; var8;)) (> (+ (- var12; var15;) (- var8; var13;)) (- var8; var13;)))) 8(ite (or (and (< var7; var15;) (< (ite true var15; var5;) (ite true var12; var15;))) (and (< var7; var15;) (< (ite true var15; var5;) (ite true var12; var15;)))) 7(ite (or (<= (ite (>= var15; var6;) (* -2 (* -1 var5;)) (+ (* 0 (* -16 var5;)) (+ var14; var10;))) (ite (not (> (- var15; (- var14; var14;)) (ite false (+ (- (* 1 var2;) (+ (ite false 5 var7;) (* 1 var2;))) (+ var4; var3;)) var7;))) (* -2 (* -1 var5;)) (+ (+ (+ (ite (< var5; var7;) (* -1 var5;) var5;) var10;) (+ var4; (+ (- (- var1; (+ var14; var10;)) (+ (ite false 5 var7;) (* 1 var2;))) (* -2 (* -1 var5;))))) (+ var2; var6;)))) (<= (ite (>= var15; var6;) (* -2 (* -1 var5;)) (+ (* 0 (* -16 var5;)) (+ var14; var10;))) (ite (not (> (- var15; (- var14; var14;)) (ite false (+ (- (* 1 var2;) (+ (ite false 5 var7;) (* 1 var2;))) (+ var4; var3;)) var7;))) (* -2 (* -1 var5;)) (+ (+ (+ (ite (< var5; var7;) (* -1 var5;) var5;) var10;) (+ var4; (+ (- (- var1; (+ var14; var10;)) (+ (ite false 5 var7;) (* 1 var2;))) (* -2 (* -1 var5;))))) (+ var2; var6;))))) 6(ite (or (and (<= var5; var15;) (<= var15; var7;)) (and (<= var5; var15;) (<= var15; var7;))) 5(ite (or (and (<= var15; var10;) (< var4; var15;)) (and (<= var15; var10;) (< var4; var15;))) 4(ite (or (and (not (> var3; var15;)) (>= var10; var15;)) (and (not (> var3; var15;)) (>= var10; var15;))) 3(ite (or (and (> var12; (ite false var10; var15;)) (or (>= var15; var2;)  false )) (and (> var12; (ite false var10; var15;)) (or (>= var15; var2;)  false ))) 2(ite (or (> var1; var15;) (> var1; var15;)) (- 1 1)(ite (or (<= (ite true var15; var11;) (* 1 var6;)) (<= (ite true var15; var11;) (* 1 var6;))) 1(ite (or (or (> var15; var14;) (not true)) (or (> var15; var14;) (not true))) 14(ite (or (< var13; var15;) (< var13; var15;)) 13 12)))))))))))))),2524
src\main\resources\benchmarks\fg_array_search_15.sl,true,31,(ite (or (and (and (not (>= var16; (ite true var12; var6;))) (< var11; var16;)) (not  false )) (and (and (not (>= var16; (ite true var12; var6;))) (< var11; var16;)) (not  false ))) 11(ite (or (and (< var10; var16;) (or (not  true ) (> (+ 1 var12;) var16;))) (and (< var10; var16;) (or (not  true ) (> (+ 1 var12;) var16;)))) (+ 1 9)(ite (or (or  false  (and (and (>= var16; var9;)  true ) (< var16; var11;))) (or  false  (and (and (>= var16; var9;)  true ) (< var16; var11;)))) 9(ite (or (and (not (>= var16; var11;)) (<= (ite (and true true) (* 1 var8;) (- var12; var4;)) var16;)) (and (not (>= var16; var11;)) (<= (ite (and true true) (* 1 var8;) (- var12; var4;)) var16;))) 8(ite (or (< (ite (> (- (ite (< var14; var8;) (ite true var14; var3;) (+ var6; var11;)) (ite false var16; var16;)) var6;) var7; (ite  true  (ite false var16; var16;) (ite true var14; var1;))) var16;) (< (ite (> (- (ite (< var14; var8;) (ite true var14; var3;) (+ var6; var11;)) (ite false var16; var16;)) var6;) var7; (ite  true  (ite false var16; var16;) (ite true var14; var1;))) var16;)) 7(ite (or (>= (ite (< var16; var8;) var16; var3;) var6;) (>= (ite (< var16; var8;) var16; var3;) var6;)) 6(ite (or (and  true  (and (<= (ite false var10; var5;) (ite (= var14; var1;) var4; (ite  true  var16; var6;))) (< var16; var11;))) (and  true  (and (<= (ite false var10; var5;) (ite (= var14; var1;) var4; (ite  true  var16; var6;))) (< var16; var11;)))) 5(ite (or (and (<= var16; var8;) (>= var16; var4;)) (and (<= var16; var8;) (>= var16; var4;))) 4(ite (or (and (>= (* 1 var16;) var3;) (< var16; (ite false var3; var12;))) (and (>= (* 1 var16;) var3;) (< var16; (ite false var3; var12;)))) 3(ite (or (and (< (+ (ite false var8; var2;) (* 0 var6;)) (ite true var16; var6;)) (>= (- (* 0 var6;) (ite true var16; var6;)) (+ (- (* 0 var6;) (ite  false  var5; var7;)) (- var7; var7;)))) (and (< (+ (ite false var8; var2;) (* 0 var6;)) (ite true var16; var6;)) (>= (- (* 0 var6;) (ite true var16; var6;)) (+ (- (* 0 var6;) (ite  false  var5; var7;)) (- var7; var7;))))) 2(ite (or (<= var16; var1;) (<= var16; var1;)) (- 1 1)(ite (or (> (- var11; -1) var16;) (> (- var11; -1) var16;)) 1(ite (or (or (and false false) (> var16; var15;)) (or (and false false) (> var16; var15;))) 15(ite (or (> var16; var14;) (> var16; var14;)) 14(ite (or (<= var13; var16;) (<= var13; var16;)) 13 12))))))))))))))),2365
src\main\resources\benchmarks\fg_array_search_16.sl,true,45,(ite (or (and (< var18; (ite true var12; (- var12; (- var12; var3;)))) (>= var18; (ite false var6; var11;))) (and (< var18; (ite true var12; (- var12; (- var12; var3;)))) (>= var18; (ite false var6; var11;)))) 11(ite (or (and (>= var18; var10;) (and  true  (< var18; var11;))) (and (>= var18; var10;) (and  true  (< var18; var11;)))) (+ 1 9)(ite (or (and (< var9; var18;) (<= (ite false var14; var18;) var11;)) (and (< var9; var18;) (<= (ite false var14; var18;) var11;))) 9(ite (or (and (< var8; (ite false var13; var18;)) (>= var11; var18;)) (and (< var8; (ite false var13; var18;)) (>= var11; var18;))) 8(ite (or (and (<= (ite true var7; (+ (* 0 var18;) (ite (<= (+ (ite true var7; var5;) (ite (or false false) (+ (+ (+ (- var8; var2;) (- 7 var16;)) (ite (or false false) (* -1 var15;) (* 0 (+ (+ (- var8; var2;) (- 7 var16;)) (ite (<= 0 var12;) (* -1 var15;) var1;))))) (ite (<= (+ var10; 2) (+ var10; 2)) (ite (or false false) (ite (<= var6; var18;) (+ (* 0 (+ (ite true var3; var7;) (- 7 var16;))) var18;) (* 4 (ite  false  var15; var2;))) (+ var10; 2)) (* 0 var7;))) (+ var10; 2))) (ite (or false false) (+ (+ (+ (+ (+ (ite true var7; var3;) (- var7; var1;)) (- 7 var16;)) (- var18; var11;)) (ite (<= 0 var12;) (* -1 var15;) (* 0 var1;))) (ite (<= (- (+ (+ (ite (or false false) (- (+ (- var8; var2;) var1;) (+ var17; var3;)) (+ var10; 2)) (ite true var17; var17;)) (* -1 (ite false var9; var17;))) var16;) (* 0 var9;)) (+ (+ var8; var16;) (+ (ite true var7; var5;) (- var17; var11;))) (* 0 var7;))) (+ var10; 2))) (* 0 var15;) (ite false var13; var6;)))) var18;) (> var10; var18;)) (and (<= (ite true var7; (+ (* 0 var18;) (ite (<= (+ (ite true var7; var5;) (ite (or false false) (+ (+ (+ (- var8; var2;) (- 7 var16;)) (ite (or false false) (* -1 var15;) (* 0 (+ (+ (- var8; var2;) (- 7 var16;)) (ite (<= 0 var12;) (* -1 var15;) var1;))))) (ite (<= (+ var10; 2) (+ var10; 2)) (ite (or false false) (ite (<= var6; var18;) (+ (* 0 (+ (ite true var3; var7;) (- 7 var16;))) var18;) (* 4 (ite  false  var15; var2;))) (+ var10; 2)) (* 0 var7;))) (+ var10; 2))) (ite (or false false) (+ (+ (+ (+ (+ (ite true var7; var3;) (- var7; var1;)) (- 7 var16;)) (- var18; var11;)) (ite (<= 0 var12;) (* -1 var15;) (* 0 var1;))) (ite (<= (- (+ (+ (ite (or false false) (- (+ (- var8; var2;) var1;) (+ var17; var3;)) (+ var10; 2)) (ite true var17; var17;)) (* -1 (ite false var9; var17;))) var16;) (* 0 var9;)) (+ (+ var8; var16;) (+ (ite true var7; var5;) (- var17; var11;))) (* 0 var7;))) (+ var10; 2))) (* 0 var15;) (ite false var13; var6;)))) var18;) (> var10; var18;))) 7(ite (or (and (> var18; var6;) (<= var18; var9;)) (and (> var18; var6;) (<= var18; var9;))) 6(ite (or (and (and  true  (or (>= (ite (and (and (not (> (ite true var18; var8;) var13;)) (>= var18; var4;)) (>= var18; var4;)) var5; var3;) var18;)  false )) (>= var18; var4;)) (and (and  true  (or (>= (ite (and (and (not (> (ite true var18; var8;) var13;)) (>= var18; var4;)) (>= var18; var4;)) var5; var3;) var18;)  false )) (>= var18; var4;))) 4(ite (or (and (>= (* -15 var18;) (* -15 var13;)) (or (<= var11; var18;) (and false false))) (and (>= (* -15 var18;) (* -15 var13;)) (or (<= var11; var18;) (and false false)))) 12(ite (or (and (>= var18; (+ 1 var3;)) (<= var18; (+ (* 0 var18;) var4;))) (and (>= var18; (+ 1 var3;)) (<= var18; (+ (* 0 var18;) var4;)))) 3(ite (or (and (and (> var3; var18;)  true ) (<= var2; var18;)) (and (and (> var3; var18;)  true ) (<= var2; var18;))) 2(ite (or (and  true  (< var18; var1;)) (and  true  (< var18; var1;))) (- 1 1)(ite (or (and (and  true  (> var18; var14;)) (<= (+ (+ var16; var15;) var18;) (ite  true  (+ (+ var16; var15;) var15;) var1;))) (and (and  true  (> var18; var14;)) (<= (+ (+ var16; var15;) var18;) (ite  true  (+ (+ var16; var15;) var15;) var1;)))) 14(ite (or (<= (- var10; var10;) (- var18; var17;)) (<= (- var10; var10;) (- var18; var17;))) 17(ite (or (<= var16; var18;) (<= var16; var18;)) 16(ite (or (< var15; var18;) (< var15; var18;)) 15(ite (or (>= var2; var18;) (>= var2; var18;)) 1(ite (or (> var18; var6;) (> var18; var6;)) 13 5))))))))))))))))),4077
src\main\resources\benchmarks\fg_array_search_17.sl,true,39,(ite (or (and (<= (- (ite true var19; var1;) (ite false var3; var12;)) (* 0 (+ (* 6 var7;) (* 0 var16;)))) (< var11; var19;)) (and (<= (- (ite true var19; var1;) (ite false var3; var12;)) (* 0 (+ (* 6 var7;) (* 0 var16;)))) (< var11; var19;))) 11(ite (or (and (> (- (* -18 var19;) (* 0 var17;)) (* -18 var11;)) (and (> var19; var10;)  true )) (and (> (- (* -18 var19;) (* 0 var17;)) (* -18 var11;)) (and (> var19; var10;)  true ))) (+ 1 9)(ite (or (and (and  true  (> var19; (ite false var2; var9;))) (and  true  (>= var12; var19;))) (and (and  true  (> var19; (ite false var2; var9;))) (and  true  (>= var12; var19;)))) 9(ite (or (or  false  (and (>= var11; (ite true var19; var6;)) (and (and  true   true ) (>= (ite true var19; var9;) (ite true var8; -12))))) (or  false  (and (>= var11; (ite true var19; var6;)) (and (and  true   true ) (>= (ite true var19; var9;) (ite true var8; -12)))))) 8(ite (or (and (< var7; var19;) (> var10; (ite  false  var6; var19;))) (and (< var7; var19;) (> var10; (ite  false  var6; var19;)))) 7(ite (or (and  true  (and (>= var7; (ite (>= var6; var19;) (* 1 var12;) (ite false (- var13; var9;) var7;))) (> var12; var19;))) (and  true  (and (>= var7; (ite (>= var6; var19;) (* 1 var12;) (ite false (- var13; var9;) var7;))) (> var12; var19;)))) 6(ite (or (and (>= var8; var19;) (> var19; var5;)) (and (>= var8; var19;) (> var19; var5;))) 5(ite (or (<= (ite (> var19; var4;) (- (+ var19; var7;) (ite true var8; var15;)) (ite true var17; var8;)) (+ (ite false var17; var5;) (* 0 var6;))) (<= (ite (> var19; var4;) (- (+ var19; var7;) (ite true var8; var15;)) (ite true var17; var8;)) (+ (ite false var17; var5;) (* 0 var6;)))) 4(ite (or (and (> var19; var3;) (> (- (- (+ -6 var16;) (* 0 var5;)) -1) (- (ite (< var19; var7;) (ite true var9; var15;) (- var18; (* 0 var3;))) (* 0 (- 0 var8;))))) (and (> var19; var3;) (> (- (- (+ -6 var16;) (* 0 var5;)) -1) (- (ite (< var19; var7;) (ite true var9; var15;) (- var18; (* 0 var3;))) (* 0 (- 0 var8;)))))) 3(ite (or (not (<= (- (* 0 (+ var3; var12;)) (ite (>= var19; var2;) (+ (- (ite true var19; var11;) (- var9; (* 0 var5;))) (* 0 (ite false -15 (* 8 (* 18 var2;))))) (- var2; var19;))) (* 0 (+ (ite true var15; var10;) (ite false var8; var5;))))) (not (<= (- (* 0 (+ var3; var12;)) (ite (>= var19; var2;) (+ (- (ite true var19; var11;) (- var9; (* 0 var5;))) (* 0 (ite false -15 (* 8 (* 18 var2;))))) (- var2; var19;))) (* 0 (+ (ite true var15; var10;) (ite false var8; var5;)))))) 2(ite (or (< var19; var1;) (< var19; var1;)) (- 1 1)(ite (or (not (<= (ite true var11; var10;) (ite true var19; var2;))) (not (<= (ite true var11; var10;) (ite true var19; var2;)))) 1(ite (or (> var19; var18;) (> var19; var18;)) 18(ite (or (>= var19; var17;) (>= var19; var17;)) 17(ite (or (or  false  (<= var16; var19;)) (or  false  (<= var16; var19;))) 16(ite (or (<= var15; var19;) (<= var15; var19;)) 15(ite (or (< var14; var19;) (< var14; var19;)) 14(ite (or (> var19; var13;) (> var19; var13;)) 13 12)))))))))))))))))),2984
src\main\resources\benchmarks\fg_array_search_18.sl,true,48,(ite (or (and (< (- (+ var11; var9;) var9;) (ite (or true false) (ite true var20; var4;) (- (+ var11; var9;) (ite true var10; var5;)))) (>= (- var12; var20;) (* 0 (* -1 (+ (ite true var10; var4;) (- var16; var16;)))))) (and (< (- (+ var11; var9;) var9;) (ite (or true false) (ite true var20; var4;) (- (+ var11; var9;) (ite true var10; var5;)))) (>= (- var12; var20;) (* 0 (* -1 (+ (ite true var10; var4;) (- var16; var16;))))))) 11(ite (or (and (>= var12; var20;) (<= var10; var20;)) (and (>= var12; var20;) (<= var10; var20;))) (+ 1 9)(ite (or (and (<= var20; var12;) (<= var9; var20;)) (and (<= var20; var12;) (<= var9; var20;))) 9(ite (or (and (> var20; var8;) (>= var9; var20;)) (and (> var20; var8;) (>= var9; var20;))) 8(ite (or (and (>= var12; var20;) (<= var7; (ite false var9; var20;))) (and (>= var12; var20;) (<= var7; (ite false var9; var20;)))) 7(ite (or (and (> var20; var6;) (> (ite true var11; var2;) (ite false var2; var20;))) (and (> var20; var6;) (> (ite true var11; var2;) (ite false var2; var20;)))) 6(ite (or (and  true  (and (< var20; var6;) (> (- (- var8; var11;) (- var6; var20;)) (+ (- (- var8; var11;) var6;) (- (ite  true  (ite true var5; var6;) (ite false var14; var19;)) (* 0 (ite (or true true) var7; var17;))))))) (and  true  (and (< var20; var6;) (> (- (- var8; var11;) (- var6; var20;)) (+ (- (- var8; var11;) var6;) (- (ite  true  (ite true var5; var6;) (ite false var14; var19;)) (* 0 (ite (or true true) var7; var17;)))))))) 5(ite (or (and (or  false  (>= var20; (ite false var2; var4;))) (<= var20; var11;)) (and (or  false  (>= var20; (ite false var2; var4;))) (<= var20; var11;))) 4(ite (or (and (< var3; var20;) (not (not (>= (ite false var1; var9;) var20;)))) (and (< var3; var20;) (not (not (>= (ite false var1; var9;) var20;))))) 3(ite (or (and (<= var20; var7;) (> (+ (ite (and  true  (> (+ var13; var20;) (+ var13; var2;))) (+ var19; var13;) (+ var20; var18;)) (ite  true  (- (ite true var6; var18;) (+ var18; var20;)) (* -11 (- (* 0 (+ var13; (ite (and  false  (> (ite (> (+ (ite (> var4; var5;) (+ var13; var2;) (+ var18; var20;)) (ite (> (ite true var10; var14;) (- var2; var11;)) (- (ite true var6; var18;) (+ var2; var15;)) (* -11 (+ (ite (> (+ var14; var20;) (- var2; var11;)) (* 1 -1) var15;) var4;)))) (- var2; var11;)) (- (ite true var6; var18;) (+ var2; var15;)) (ite (> var20; 0) var20; (- (+ var16; var13;) (ite  false  (+ (ite  false  (+ var19; var16;) (+ (ite true var6; var18;) (+ var5; var9;))) var12;) (- var17; var3;))))) (+ var3; var12;))) (ite true var10; var14;) (+ var20; var18;)))) (- (+ var16; var13;) (ite (> var4; var5;) (+ var19; (+ var9; var4;)) (* -11 (ite true var10; var14;)))))))) var8;)) (and (<= var20; var7;) (> (+ (ite (and  true  (> (+ var13; var20;) (+ var13; var2;))) (+ var19; var13;) (+ var20; var18;)) (ite  true  (- (ite true var6; var18;) (+ var18; var20;)) (* -11 (- (* 0 (+ var13; (ite (and  false  (> (ite (> (+ (ite (> var4; var5;) (+ var13; var2;) (+ var18; var20;)) (ite (> (ite true var10; var14;) (- var2; var11;)) (- (ite true var6; var18;) (+ var2; var15;)) (* -11 (+ (ite (> (+ var14; var20;) (- var2; var11;)) (* 1 -1) var15;) var4;)))) (- var2; var11;)) (- (ite true var6; var18;) (+ var2; var15;)) (ite (> var20; 0) var20; (- (+ var16; var13;) (ite  false  (+ (ite  false  (+ var19; var16;) (+ (ite true var6; var18;) (+ var5; var9;))) var12;) (- var17; var3;))))) (+ var3; var12;))) (ite true var10; var14;) (+ var20; var18;)))) (- (+ var16; var13;) (ite (> var4; var5;) (+ var19; (+ var9; var4;)) (* -11 (ite true var10; var14;)))))))) var8;))) 2(ite (or (< var20; var1;) (< var20; var1;)) (- 1 1)(ite (or (> var7; var20;) (> var7; var20;)) 1(ite (or (or (>= var20; var19;)  false ) (or (>= var20; var19;)  false )) 19(ite (or (not (> var18; var20;)) (not (> var18; var20;))) 18(ite (or (<= var17; var20;) (<= var17; var20;)) 17(ite (or (<= var16; var20;) (<= var16; var20;)) 16(ite (or (> (ite false var15; var20;) (ite true var15; var8;)) (> (ite false var15; var20;) (ite true var15; var8;))) 15(ite (or (< var14; var20;) (< var14; var20;)) 14(ite (or (>= var20; var13;) (>= var20; var13;)) 13 12))))))))))))))))))),4125
