Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (< (ite (<= (- var11; var1;) (* 0 (* -14 var7;))) var9; var11;) var2;) (< (ite (<= (- var11; var1;) (* 0 (* -14 var7;))) var9; var11;) var2;)) 1(ite (or (< var10; var11;) (< var10; var11;)) 10(ite (or (and (not false) (< var9; var11;)) (and (not false) (< var9; var11;))) 9(ite (or (or (>= var11; var8;)  false ) (or (>= var11; var8;)  false )) 8(ite (or (> var11; var7;) (> var11; var7;)) 7(ite (or (< var6; var11;) (< var6; var11;)) 6(ite (or (not (< var11; var5;)) (not (< var11; var5;))) 5(ite (or (not (< var11; var4;)) (not (< var11; var4;))) 4(ite (or (not (and (not (<= var3; var11;))  true )) (not (and (not (<= var3; var11;))  true ))) 3(ite (or (>= var11; (ite (> var1; var5;) var5; var2;)) (>= var11; (ite (> var1; var5;) var5; var2;))) 2 (- 1 1))))))))))),777
src\main\resources\benchmarks\fg_array_search_11.sl,true,21,(ite (or (< (- (ite (and false false) (+ var8; var4;) (ite false var2; var7;)) (* 0 (* -18 var1;))) (- (ite (not true) (* 5 var1;) (- var7; var11;)) (- (* -1 var12;) (* 0 var9;)))) (< (- (ite (and false false) (+ var8; var4;) (ite false var2; var7;)) (* 0 (* -18 var1;))) (- (ite (not true) (* 5 var1;) (- var7; var11;)) (- (* -1 var12;) (* 0 var9;))))) (+ 1 10)(ite (or (< var12; var1;) (< var12; var1;)) (- 1 1)(ite (or (< var10; var12;) (< var10; var12;)) 10(ite (or (>= var12; var9;) (>= var12; var9;)) 9(ite (or (<= var8; var12;) (<= var8; var12;)) 8(ite (or (and (and (or (and (and  true   true ) (<= (- var4; (- var3; var7;)) (- (- var4; (- var3; var7;)) (- (ite false (ite true var4; (- var9; var8;)) var3;) var12;))))  false ) (or  false   true )) (> var4; var12;)) (and (and (or (and (and  true   true ) (<= (- var4; (- var3; var7;)) (- (- var4; (- var3; var7;)) (- (ite false (ite true var4; (- var9; var8;)) var3;) var12;))))  false ) (or  false   true )) (> var4; var12;))) 3(ite (or (and (>= var12; var6;) (< (+ var4; var9;) (+ (* 1 (ite (> var7; var12;) (ite false var7; var12;) (+ (ite true var4; -1) (* 0 var5;)))) var9;))) (and (>= var12; var6;) (< (+ var4; var9;) (+ (* 1 (ite (> var7; var12;) (ite false var7; var12;) (+ (ite true var4; -1) (* 0 var5;)))) var9;)))) 6(ite (or (>= (* 0 (+ var9; var8;)) (- (ite (< var5; var12;) var12; var5;) (ite (> var12; var5;) var6; var12;))) (>= (* 0 (+ var9; var8;)) (- (ite (< var5; var12;) var12; var5;) (ite (> var12; var5;) var6; var12;)))) 5(ite (or (<= (- var12; (- (- (+ var6; var1;) (ite false var12; var1;)) (ite false var3; var10;))) (ite (> var3; var12;) (- (- var10; (- var3; (- (- (- (* -9 var11;) (- 1 var9;)) (* -14 (* -14 (ite (>= (* 0 var9;) var5;) (* -9 (ite  false  (- var12; 9) (ite false var2; var3;))) (ite false var9; var10;))))) (* -14 (ite  true  (+ var9; var1;) (- var3; (* -9 var11;))))))) (* -14 (ite  false  (* -9 var11;) (+ (- var12; (- var4; var12;)) (* -9 var11;))))) (ite false var9; var10;))) (<= (- var12; (- (- (+ var6; var1;) (ite false var12; var1;)) (ite false var3; var10;))) (ite (> var3; var12;) (- (- var10; (- var3; (- (- (- (* -9 var11;) (- 1 var9;)) (* -14 (* -14 (ite (>= (* 0 var9;) var5;) (* -9 (ite  false  (- var12; 9) (ite false var2; var3;))) (ite false var9; var10;))))) (* -14 (ite  true  (+ var9; var1;) (- var3; (* -9 var11;))))))) (* -14 (ite  false  (* -9 var11;) (+ (- var12; (- var4; var12;)) (* -9 var11;))))) (ite false var9; var10;)))) 4(ite (or (< var7; var12;) (< var7; var12;)) 7(ite (or (> var12; var2;) (> var12; var2;)) 2 1))))))))))),2562
src\main\resources\benchmarks\fg_array_search_12.sl,true,25,(ite (or (and (>= (ite (< (* 1 (ite false var3; var11;)) var13;) var5; var13;) var9;) (< var10; var13;)) (and (>= (ite (< (* 1 (ite false var3; var11;)) var13;) var5; var13;) var9;) (< var10; var13;))) (+ 1 9)(ite (or (< var12; var13;) (< var12; var13;)) 12(ite (or (and (and  true  (> var11; var13;)) (and (< var9; var13;)  true )) (and (and  true  (> var11; var13;)) (and (< var9; var13;)  true ))) 9(ite (or (<= (ite (<= var13; var10;) var8; (+ (* -1 var11;) (+ var13; var13;))) (ite false var1; var13;)) (<= (ite (<= var13; var10;) var8; (+ (* -1 var11;) (+ var13; var13;))) (ite false var1; var13;))) 8(ite (or (<= var7; (ite (> (ite false var11; var13;) (ite true var11; var13;)) (- var2; (- var13; var6;)) var13;)) (<= var7; (ite (> (ite false var11; var13;) (ite true var11; var13;)) (- var2; (- var13; var6;)) var13;))) 7(ite (or (and (> (- var7; var6;) (- var13; var6;)) (>= (- var13; var6;) (* -14 0))) (and (> (- var7; var6;) (- var13; var6;)) (>= (- var13; var6;) (* -14 0)))) 6(ite (or (< var13; (ite  false  var11; var1;)) (< var13; (ite  false  var11; var1;))) (- 1 1)(ite (or (and (or (<= (ite true var13; var5;) (ite (<= var12; var7;) var13; (ite true var5; var8;)))  false ) (<= var4; var13;)) (and (or (<= (ite true var13; var5;) (ite (<= var12; var7;) var13; (ite true var5; var8;)))  false ) (<= var4; var13;))) 4(ite (or (and (or (> (ite  true  (* 8 var4;) (ite false var9; var3;)) (* 8 var13;))  false ) (< (- (+ var3; var7;) (+ var7; var13;)) (* 0 (+ (ite false var11; 0) (+ var11; var6;))))) (and (or (> (ite  true  (* 8 var4;) (ite false var9; var3;)) (* 8 var13;))  false ) (< (- (+ var3; var7;) (+ var7; var13;)) (* 0 (+ (ite false var11; 0) (+ var11; var6;)))))) 3(ite (or (and (>= var4; var13;) (< var2; var13;)) (and (>= var4; var13;) (< var2; var13;))) 2(ite (or (and (> (+ (* 0 var5;) var9;) var13;) (not (not (> var13; var2;)))) (and (> (+ (* 0 var5;) var9;) var13;) (not (not (> var13; var2;))))) 5(ite (or (< var13; var3;) (< var13; var3;)) 1 11)))))))))))),1994
src\main\resources\benchmarks\fg_array_search_13.sl,true,24,(ite (or (and (> (+ var9; (- var12; var14;)) (ite false var12; var9;)) (and (>= var14; var11;) (not  false ))) (and (> (+ var9; (- var12; var14;)) (ite false var12; var9;)) (and (>= var14; var11;) (not  false )))) 11(ite (or (and (>= var14; var10;) (or  false  (<= (ite true var14; (+ var5; var12;)) var11;))) (and (>= var14; var10;) (or  false  (<= (ite true var14; (+ var5; var12;)) var11;)))) (+ 1 9)(ite (or (and (not (<= var10; var14;)) (> var14; var9;)) (and (not (<= var10; var14;)) (> var14; var9;))) 9(ite (or (and (> var14; var8;) (< var14; var9;)) (and (> var14; var8;) (< var14; var9;))) 8(ite (or (> (ite (<= (- (ite false var4; var14;) (- var11; -1)) (* -1 (- var10; var8;))) var14; var7;) (ite true var7; var3;)) (> (ite (<= (- (ite false var4; var14;) (- var11; -1)) (* -1 (- var10; var8;))) var14; var7;) (ite true var7; var3;))) 7(ite (or (and (>= var14; var6;) (>= (- (ite (< var9; (ite (< var9; var6;) -13 var14;)) (+ 0 var4;) var14;) (ite (and true true) var14; (* 1 var14;))) (* 0 (ite (and false true) (* -1 (- (+ var12; var14;) (- var10; var13;))) (ite true var9; var4;))))) (and (>= var14; var6;) (>= (- (ite (< var9; (ite (< var9; var6;) -13 var14;)) (+ 0 var4;) var14;) (ite (and true true) var14; (* 1 var14;))) (* 0 (ite (and false true) (* -1 (- (+ var12; var14;) (- var10; var13;))) (ite true var9; var4;)))))) 6(ite (or (and (<= var5; (ite false var6; var14;)) (<= (- var14; var5;) (+ (* -1 (+ (- var5; -1) (ite true var4; var12;))) (ite (or false true) (+ var8; var4;) (* -1 var10;))))) (and (<= var5; (ite false var6; var14;)) (<= (- var14; var5;) (+ (* -1 (+ (- var5; -1) (ite true var4; var12;))) (ite (or false true) (+ var8; var4;) (* -1 var10;)))))) 5(ite (or (< (ite (>= var14; var4;) var14; var13;) var8;) (< (ite (>= var14; var4;) var14; var13;) var8;)) 4(ite (or (and (and (or  true   false ) (> var7; var14;)) (>= (- var14; var3;) (ite  true  (* 0 var8;) (- var10; var3;)))) (and (and (or  true   false ) (> var7; var14;)) (>= (- var14; var3;) (ite  true  (* 0 var8;) (- var10; var3;))))) 3(ite (or (and (<= var2; var14;) (> var10; var14;)) (and (<= var2; var14;) (> var10; var14;))) 2(ite (or (<= var14; var1;) (<= var14; var1;)) (- 1 1)(ite (or (not (>= var14; var10;)) (not (>= var14; var10;))) 1(ite (or (or (> var14; var13;)  false ) (or (> var14; var13;)  false )) 13 12))))))))))))),2333
src\main\resources\benchmarks\fg_array_search_14.sl,true,25,(ite (or (and (>= var12; var15;) (<= var11; var15;)) (and (>= var12; var15;) (<= var11; var15;))) 11(ite (or (or (and (and  true  (>= var15; var10;)) (> (+ (ite false var13; var15;) (ite true var11; var3;)) (+ var15; var15;))) false) (or (and (and  true  (>= var15; var10;)) (> (+ (ite false var13; var15;) (ite true var11; var3;)) (+ var15; var15;))) false)) (+ 1 9)(ite (or (and (>= var15; var9;) (> (ite false var3; var10;) var15;)) (and (>= var15; var9;) (> (ite false var3; var10;) var15;))) 9(ite (or (and (> var11; var15;) (< var8; var15;)) (and (> var11; var15;) (< var8; var15;))) 8(ite (or (and (< var7; var15;) (>= var10; var15;)) (and (< var7; var15;) (>= var10; var15;))) 7(ite (or (and (> (ite  true  var9; (- -11 var14;)) (ite false var6; var15;)) (> var15; var6;)) (and (> (ite  true  var9; (- -11 var14;)) (ite false var6; var15;)) (> var15; var6;))) 6(ite (or (and (>= (ite (and true false) (- var10; var15;) (ite false var4; var8;)) (ite (>= var1; var7;) (ite false var8; var14;) (ite false var4; var15;))) (or  false  (> var15; var5;))) (and (>= (ite (and true false) (- var10; var15;) (ite false var4; var8;)) (ite (>= var1; var7;) (ite false var8; var14;) (ite false var4; var15;))) (or  false  (> var15; var5;)))) 5(ite (or (and (>= var10; var15;) (not (<= var15; var4;))) (and (>= var10; var15;) (not (<= var15; var4;)))) 4(ite (or (and (< var15; var6;) (>= var15; var3;)) (and (< var15; var6;) (>= var15; var3;))) 3(ite (or (and (< (ite  false  var15; var10;) (ite (or (< var15; var2;) (< var8; var4;)) (ite  false  var6; (* 1 var15;)) var13;)) (not (not (<= var15; var6;)))) (and (< (ite  false  var15; var10;) (ite (or (< var15; var2;) (< var8; var4;)) (ite  false  var6; (* 1 var15;)) var13;)) (not (not (<= var15; var6;))))) 2(ite (or (>= var1; var15;) (>= var1; var15;)) (- 1 1)(ite (or (>= (ite (and (> var2; -3) true) (ite (and  false  (= var11; var12;)) var1; var11;) var5;) var15;) (>= (ite (and (> var2; -3) true) (ite (and  false  (= var11; var12;)) var1; var11;) var5;) var15;)) 1(ite (or (>= var15; var14;) (>= var15; var14;)) 14(ite (or (or  false  (>= var15; var13;)) (or  false  (>= var15; var13;))) 13 12)))))))))))))),2160
src\main\resources\benchmarks\fg_array_search_15.sl,true,33,(ite (or (and (>= (+ (- var15; var16;) var10;) (+ (- var15; var12;) var10;)) (and (<= var11; var16;)  true )) (and (>= (+ (- var15; var16;) var10;) (+ (- var15; var12;) var10;)) (and (<= var11; var16;)  true ))) 11(ite (or (and (<= var16; var12;) (>= var16; var10;)) (and (<= var16; var12;) (>= var16; var10;))) (+ 1 9)(ite (or (and (> (ite true var11; var7;) (* 1 var16;)) (< var9; var16;)) (and (> (ite true var11; var7;) (* 1 var16;)) (< var9; var16;))) 9(ite (or (and (< var8; var16;) (<= (+ (ite true var16; var5;) (* -7 var14;)) (+ (ite (< var8; var16;) var12; var12;) (* -7 var14;)))) (and (< var8; var16;) (<= (+ (ite true var16; var5;) (* -7 var14;)) (+ (ite (< var8; var16;) var12; var12;) (* -7 var14;))))) 8(ite (or (and (>= var12; var16;) (>= var16; (ite false var15; var7;))) (and (>= var12; var16;) (>= var16; (ite false var15; var7;)))) 7(ite (or (and (> var16; var6;) (or (<= (- var7; var11;) (+ (- var8; var16;) (- var7; var11;)))  false )) (and (> var16; var6;) (or (<= (- var7; var11;) (+ (- var8; var16;) (- var7; var11;)))  false ))) 6(ite (or (and (< var16; var9;) (< var5; var16;)) (and (< var16; var9;) (< var5; var16;))) 5(ite (or (and (> var10; var16;) (or (and  false  false) (and (<= var4; var16;)  true ))) (and (> var10; var16;) (or (and  false  false) (and (<= var4; var16;)  true )))) 4(ite (or (and (not (>= (* 0 (ite (>= var12; var6;) (- var3; var9;) (* 1 var12;))) (+ (ite  false  (* 17 (* -14 var5;)) (+ (- var4; var8;) (* -1 var16;))) var12;))) (<= var3; var16;)) (and (not (>= (* 0 (ite (>= var12; var6;) (- var3; var9;) (* 1 var12;))) (+ (ite  false  (* 17 (* -14 var5;)) (+ (- var4; var8;) (* -1 var16;))) var12;))) (<= var3; var16;))) 3(ite (or (> var1; var16;) (> var1; var16;)) (- 1 1)(ite (or (and (>= (ite (> (* -1 var8;) (* -14 var15;)) (- (ite false -1 var8;) (- var12; var16;)) var16;) (ite (or (or true false) (= var6; var7;)) (ite  false  (ite  false  var14; (+ var7; var2;)) (ite false var7; var8;)) (ite  false  (ite false 6 var13;) (- var7; var1;)))) (> var13; var16;)) (and (>= (ite (> (* -1 var8;) (* -14 var15;)) (- (ite false -1 var8;) (- var12; var16;)) var16;) (ite (or (or true false) (= var6; var7;)) (ite  false  (ite  false  var14; (+ var7; var2;)) (ite false var7; var8;)) (ite  false  (ite false 6 var13;) (- var7; var1;)))) (> var13; var16;))) 12(ite (or (and  true  (not (< var2; var16;))) (and  true  (not (< var2; var16;)))) 1(ite (or (and  true  (> var16; var15;)) (and  true  (> var16; var15;))) 15(ite (or (< var14; (+ var16; 0)) (< var14; (+ var16; 0))) 14(ite (or (<= var3; var16;) (<= var3; var16;)) 13 2))))))))))))))),2595
src\main\resources\benchmarks\fg_array_search_16.sl,true,56,(ite (or (and  true  (and  true  (and (and (and (<= var18; var12;)  true ) (and  true  (and  true   true ))) (< var11; var18;)))) (and  true  (and  true  (and (and (and (<= var18; var12;)  true ) (and  true  (and  true   true ))) (< var11; var18;))))) 11(ite (or (and (and  true  (> var12; var18;)) (not (> var10; var18;))) (and (and  true  (> var12; var18;)) (not (> var10; var18;)))) (+ 1 9)(ite (or (>= var10; (ite (< var9; var18;) var18; (+ (* -1 var6;) (+ var7; var17;)))) (>= var10; (ite (< var9; var18;) var18; (+ (* -1 var6;) (+ var7; var17;))))) 9(ite (or (and (> var18; var8;) (> (+ var12; var3;) (+ var3; var18;))) (and (> var18; var8;) (> (+ var12; var3;) (+ var3; var18;)))) 8(ite (or (<= (* 0 (ite (= (- var1; var11;) (+ var12; var6;)) (ite  false  (ite false var2; var5;) (+ var7; var7;)) (* -19 (ite false var7; var12;)))) (ite (>= var18; var9;) (- (- var4; var16;) (- var9; var5;)) (ite (>= var18; var7;) (* 1 (- var15; var8;)) (- (- var4; var16;) (- var9; var5;))))) (<= (* 0 (ite (= (- var1; var11;) (+ var12; var6;)) (ite  false  (ite false var2; var5;) (+ var7; var7;)) (* -19 (ite false var7; var12;)))) (ite (>= var18; var9;) (- (- var4; var16;) (- var9; var5;)) (ite (>= var18; var7;) (* 1 (- var15; var8;)) (- (- var4; var16;) (- var9; var5;)))))) 7(ite (or (and (> var18; (ite false var7; var7;)) (<= var18; var13;)) (and (> var18; (ite false var7; var7;)) (<= var18; var13;))) 12(ite (or (and (not (<= (- var15; var12;) (+ (* 0 (- (+ var14; var13;) var1;)) (ite (> var15; var18;) (- var11; var18;) (- (ite true 3 var5;) (- var11; var18;)))))) (>= var18; var14;)) (and (not (<= (- var15; var12;) (+ (* 0 (- (+ var14; var13;) var1;)) (ite (> var15; var18;) (- var11; var18;) (- (ite true 3 var5;) (- var11; var18;)))))) (>= var18; var14;))) 14(ite (or (and (not (>= var18; var4;)) (>= var18; var3;)) (and (not (>= var18; var4;)) (>= var18; var3;))) 3(ite (or (and (> var2; (- var1; (- var18; var2;))) (or (and (not  false ) (> var2; var18;)) false)) (and (> var2; (- var1; (- var18; var2;))) (or (and (not  false ) (> var2; var18;)) false))) 1(ite (or (and (and (>= var4; var18;)  true ) (> var18; (ite false (* 3 (+ var18; (ite false var13; var2;))) var2;))) (and (and (>= var4; var18;)  true ) (> var18; (ite false (* 3 (+ var18; (ite false var13; var2;))) var2;)))) 2(ite (or (< var18; var1;) (< var18; var1;)) (- 1 1)(ite (or (and (< var18; var16;) (>= var18; var15;)) (and (< var18; var16;) (>= var18; var15;))) 15(ite (or (>= var18; var17;) (>= var18; var17;)) 17(ite (or (> var18; var14;) (> var18; var14;)) 16(ite (or (< var12; (- var18; 0)) (< var12; (- var18; 0))) 13(ite (or (> var5; var18;) (> var5; var18;)) 4(ite (or (<= var18; var6;) (<= var18; var6;)) 5 6))))))))))))))))),2713
src\main\resources\benchmarks\fg_array_search_17.sl,true,39,(ite (or (and (> (ite true var12; var6;) var19;) (> var19; var11;)) (and (> (ite true var12; var6;) var19;) (> var19; var11;))) 11(ite (or (and (>= var19; (ite true var10; var18;)) (>= var12; var19;)) (and (>= var19; (ite true var10; var18;)) (>= var12; var19;))) (+ 1 9)(ite (or (and (<= var9; var19;) (< (ite  true  var19; var1;) (+ var12; (- var7; var7;)))) (and (<= var9; var19;) (< (ite  true  var19; var1;) (+ var12; (- var7; var7;))))) 9(ite (or (and  true  (and (< var8; var19;) (and (<= var19; (ite true var12; var10;)) (and  true   true )))) (and  true  (and (< var8; var19;) (and (<= var19; (ite true var12; var10;)) (and  true   true ))))) 8(ite (or (and (<= var19; var8;) (<= var7; (* 1 var19;))) (and (<= var19; var8;) (<= var7; (* 1 var19;)))) 7(ite (or (> var7; (ite (< var6; var19;) var19; (ite false var6; var18;))) (> var7; (ite (< var6; var19;) var19; (ite false var6; var18;)))) 6(ite (or (and (and (<= var5; var19;)  true ) (>= (* 1 var9;) var19;)) (and (and (<= var5; var19;)  true ) (>= (* 1 var9;) var19;))) 5(ite (or (and (and (not false) (< var4; var19;)) (> (ite true var5; var2;) (ite true var19; var10;))) (and (and (not false) (< var4; var19;)) (> (ite true var5; var2;) (ite true var19; var10;)))) 4(ite (or (and (or  false  (< (ite false var5; var3;) var19;)) (<= (ite false var19; var19;) (ite true var8; var12;))) (and (or  false  (< (ite false var5; var3;) var19;)) (<= (ite false var19; var19;) (ite true var8; var12;)))) 3(ite (or (and (< var19; var8;) (< var2; var19;)) (and (< var19; var8;) (< var2; var19;))) 2(ite (or (>= var1; var19;) (>= var1; var19;)) (- 1 1)(ite (or (> var8; var19;) (> var8; var19;)) 1(ite (or (<= (* 1 var18;) var19;) (<= (* 1 var18;) var19;)) 18(ite (or (>= (* 0 (+ var18; var9;)) (- var17; var19;)) (>= (* 0 (+ var18; var9;)) (- var17; var19;))) 17(ite (or (>= var19; var16;) (>= var19; var16;)) 16(ite (or (not (< var19; var15;)) (not (< var19; var15;))) 15(ite (or (<= var14; var19;) (<= var14; var19;)) 14(ite (or (<= var13; var19;) (<= var13; var19;)) 13 12)))))))))))))))))),2046
src\main\resources\benchmarks\fg_array_search_18.sl,true,69,(ite (or (and (< var11; var20;) (< var20; var12;)) (and (< var11; var20;) (< var20; var12;))) 11(ite (or (and (<= (- (* 7 var9;) (* -1 var20;)) (* 8 var20;)) (<= var20; var10;)) (and (<= (- (* 7 var9;) (* -1 var20;)) (* 8 var20;)) (<= var20; var10;))) 9(ite (or (and (> var20; var12;) (<= var20; var13;)) (and (> var20; var12;) (<= var20; var13;))) 12(ite (or (and (> var10; var20;) (> var20; var8;)) (and (> var10; var20;) (> var20; var8;))) 8(ite (or (>= (ite (< (ite true var20; var5;) var7;) var2; (* 1 (- (+ var9; var12;) (ite true var20; var5;)))) var12;) (>= (ite (< (ite true var20; var5;) var7;) var2; (* 1 (- (+ var9; var12;) (ite true var20; var5;)))) var12;)) 7(ite (or (and (and (and (< var5; var20;) (and (and (and  true   true )  true )  true ))  true ) (and  true  (and (and  true   true ) (> var6; var20;)))) (and (and (and (< var5; var20;) (and (and (and  true   true )  true )  true ))  true ) (and  true  (and (and  true   true ) (> var6; var20;))))) 5(ite (or (and (not (< var19; (* 1 var20;))) (and (not  false ) (>= var20; var18;))) (and (not (< var19; (* 1 var20;))) (and (not  false ) (>= var20; var18;)))) 18(ite (or (and (> var5; var20;) (or  false  (<= (+ var4; (* 0 var7;)) (ite false var17; var20;)))) (and (> var5; var20;) (or  false  (<= (+ var4; (* 0 var7;)) (ite false var17; var20;))))) 4(ite (or (and (< var20; var6;) (< (+ var3; var10;) (+ var10; var20;))) (and (< var20; var6;) (< (+ var3; var10;) (+ var10; var20;)))) 3(ite (or (< var20; var1;) (< var20; var1;)) (- 1 1)(ite (or (and (not (<= var20; var3;)) (< var20; var7;)) (and (not (<= var20; var3;)) (< var20; var7;))) 6(ite (or (>= var2; (ite true var20; var2;)) (>= var2; (ite true var20; var2;))) 1(ite (or (not (not (>= (- var20; var19;) (* 0 var2;)))) (not (not (>= (- var20; var19;) (* 0 var2;))))) 19(ite (or (< var17; (ite (and (< var19; var7;)  false ) var15; var20;)) (< var17; (ite (and (< var19; var7;)  false ) var15; var20;))) 17(ite (or (or  false  (and (or  false  (> (ite false var11; var14;) (+ -1 var20;))) (not (< (+ (+ (* 0 var20;) var8;) var20;) (+ var11; var8;))))) (or  false  (and (or  false  (> (ite false var11; var14;) (+ -1 var20;))) (not (< (+ (+ (* 0 var20;) var8;) var20;) (+ var11; var8;)))))) 13(ite (or (not (<= var20; var16;)) (not (<= var20; var16;))) 16(ite (or (and (< (ite true var14; var12;) var20;) (< var20; var15;)) (and (< (ite true var14; var12;) var20;) (< var20; var15;))) 14(ite (or (and  true  (and  true  (and  true  (< var20; var7;)))) (and (> var8; var4;) (and (<= (- var2; var11;) -10) (and (> var8; (+ var3; -4)) (< var20; var7;))))) 2(ite (or (> var20; var12;) (> var20; var12;)) 15 (+ 1 9)))))))))))))))))))),2659
