Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (>= var2; (ite (and true (and (not (not (< var1; var11;))) (>= var4; var11;))) var11; var6;)) (>= var2; (ite (and true (and (not (not (< var1; var11;))) (>= var4; var11;))) var11; var6;))) 1(ite (or (> var11; var10;) (> var11; var10;)) 10(ite (or (>= var11; var9;) (>= var11; var9;)) 9(ite (or (<= var8; var11;) (<= var8; var11;)) 8(ite (or (not (< var11; var7;)) (not (< var11; var7;))) 7(ite (or (<= var6; var11;) (<= var6; var11;)) 6(ite (or (> var11; var5;) (> var11; var5;)) 5(ite (or (> var11; var4;) (> var11; var4;)) 4(ite (or (<= var3; var11;) (<= var3; var11;)) 3(ite (or (<= var1; var11;) (<= var1; var11;)) 2 (- 1 1))))))))))),647
src\main\resources\benchmarks\fg_array_search_11.sl,true,14,(ite (or (and (>= var2; var12;) (< (- (- (- (ite false var3; var12;) (* -12 var12;)) (ite (< var12; var2;) var12; (* 13 var2;))) (* 1 (- (- var12; var1;) (* -12 var12;)))) (* 0 (+ (ite (and false true) var2; (- var4; var6;)) (+ (* -11 var2;) (+ var3; var7;)))))) (and (>= var2; var12;) (< (- (- (- (ite false var3; var12;) (* -12 var12;)) (ite (< var12; var2;) var12; (* 13 var2;))) (* 1 (- (- var12; var1;) (* -12 var12;)))) (* 0 (+ (ite (and false true) var2; (- var4; var6;)) (+ (* -11 var2;) (+ var3; var7;))))))) 1(ite (or (< var11; var12;) (< var11; var12;)) (+ 1 10)(ite (or (not (>= var10; var12;)) (not (>= var10; var12;))) 10(ite (or (> (- var3; var9;) (- var3; var12;)) (> (- var3; var9;) (- var3; var12;))) 9(ite (or (<= var8; var12;) (<= var8; var12;)) 8(ite (or (not (< var12; var7;)) (not (< var12; var7;))) 7(ite (or (> var12; var6;) (> var12; var6;)) 6(ite (or (<= var5; var12;) (<= var5; var12;)) 5(ite (or (<= var4; var12;) (<= var4; var12;)) 4(ite (or (and  true  (> var12; var3;)) (and  true  (> var12; var3;))) 3(ite (or (not (< (ite false var9; var12;) (ite false var7; var1;))) (not (< (ite false var9; var12;) (ite false var7; var1;)))) 2 (- 1 1)))))))))))),1182
src\main\resources\benchmarks\fg_array_search_12.sl,true,21,(ite (or (or  false  (and (or (and  true  (> var13; var11;)) (and  false  (or  false  (and  false   false )))) (> var12; var13;))) (or  false  (and (or (and  true  (> var13; var11;)) (and  false  (or  false  (and  false   false )))) (> var12; var13;)))) 11(ite (or (and (< (ite true var13; var5;) var12;) (not (> var10; var13;))) (and (< (ite true var13; var5;) var12;) (not (> var10; var13;)))) (+ 1 9)(ite (or (and (>= var13; var9;) (>= (ite  true  (+ var10; 0) (ite (> var10; var8;) (* -2 var10;) (* -9 var9;))) (* 1 var13;))) (and (>= var13; var9;) (>= (ite  true  (+ var10; 0) (ite (> var10; var8;) (* -2 var10;) (* -9 var9;))) (* 1 var13;)))) 9(ite (or (and (> var13; var8;) (and (< (ite false (+ var3; var9;) var13;) var9;)  true )) (and (> var13; var8;) (and (< (ite false (+ var3; var9;) var13;) var9;)  true ))) 8(ite (or (and (and (> var8; var13;) (> var13; var7;)) (or (and  true   true )  false )) (and (and (> var8; var13;) (> var13; var7;)) (or (and  true   true )  false ))) 7(ite (or (or (and (>= var13; (ite (= var5; var3;) var13; var6;)) (>= var12; (* 1 var13;)))  false ) (or (and (>= var13; (ite (= var5; var3;) var13; var6;)) (>= var12; (* 1 var13;)))  false )) 6(ite (or (or  false  (and (< var5; var13;) (< (ite false var13; var13;) var9;))) (or  false  (and (< var5; var13;) (< (ite false var13; var13;) var9;)))) 5(ite (or (and (and  true   true ) (or (and (>= var9; var13;) (not (> var4; var13;))) (and true false))) (and (and  true   true ) (or (and (>= var9; var13;) (not (> var4; var13;))) (and true false)))) 4(ite (or (and (> var10; var13;) (>= (* -1 var3;) (* -1 var13;))) (and (> var10; var13;) (>= (* -1 var3;) (* -1 var13;)))) 3(ite (or (and (<= var2; var13;) (> var12; var13;)) (and (<= var2; var13;) (> var12; var13;))) 2(ite (or (< var13; var1;) (< var13; var1;)) (- 1 1)(ite (or (> var9; var13;) (> var9; var13;)) 1 12)))))))))))),1870
src\main\resources\benchmarks\fg_array_search_13.sl,true,25,(ite (or (and  true  (and (>= (* 0 var11;) (- var14; var12;)) (>= (ite true var14; var8;) (ite false (ite (or true true) var10; var5;) var11;)))) (and  true  (and (>= (* 0 var11;) (- var14; var12;)) (>= (ite true var14; var8;) (ite false (ite (or true true) var10; var5;) var11;))))) 11(ite (or (and (<= (+ var14; var10;) (+ var12; var10;)) (or (> var14; var10;) false)) (and (<= (+ var14; var10;) (+ var12; var10;)) (or (> var14; var10;) false))) (+ 1 9)(ite (or (and (<= var9; var14;) (>= (- var12; (ite (and true true) (* 0 var2;) (- var5; var2;))) var14;)) (and (<= var9; var14;) (>= (- var12; (ite (and true true) (* 0 var2;) (- var5; var2;))) var14;))) 9(ite (or (and (<= (ite false var5; var14;) (ite true var11; var13;)) (not (or  false  (or (or  false  (< var14; var8;)) (and false true))))) (and (<= (ite false var5; var14;) (ite true var11; var13;)) (not (or  false  (or (or  false  (< var14; var8;)) (and false true)))))) 8(ite (or (< (ite (> var14; var7;) (* 5 (- var14; var11;)) (* -19 (- (* 0 (+ var13; var3;)) (- var13; var6;)))) (* 0 (- (+ (- var10; 0) (* 11 var1;)) (- (- -5 -10) (ite true var7; var7;))))) (< (ite (> var14; var7;) (* 5 (- var14; var11;)) (* -19 (- (* 0 (+ var13; var3;)) (- var13; var6;)))) (* 0 (- (+ (- var10; 0) (* 11 var1;)) (- (- -5 -10) (ite true var7; var7;)))))) 7(ite (or (and (> var14; var6;) (<= var14; (ite false var9; var9;))) (and (> var14; var6;) (<= var14; (ite false var9; var9;)))) 6(ite (or (and (<= var14; var6;) (>= var14; var5;)) (and (<= var14; var6;) (>= var14; var5;))) 5(ite (or (and (<= var4; var14;) (< var14; var12;)) (and (<= var4; var14;) (< var14; var12;))) 4(ite (or (< (ite (or (> var14; var3;) (and (< (+ (- var13; var8;) (* 0 var12;)) (* 19 (* 0 var12;)))  false )) (- var14; var11;) (* 1 (- var13; var3;))) (* 1 -3)) (< (ite (or (> var14; var3;) (and (< (+ (- var13; var8;) (* 0 var12;)) (* 19 (* 0 var12;)))  false )) (- var14; var11;) (* 1 (- var13; var3;))) (* 1 -3))) 3(ite (or (and (< var14; var11;) (>= var14; var2;)) (and (< var14; var11;) (>= var14; var2;))) 2(ite (or (<= var14; var1;) (<= var14; var1;)) (- 1 1)(ite (or (> var8; var14;) (> var8; var14;)) 1(ite (or (not (<= var14; var13;)) (not (<= var14; var13;))) 13 12))))))))))))),2217
src\main\resources\benchmarks\fg_array_search_14.sl,true,28,(ite (or (and (and  true  (<= var11; var15;)) (>= (+ var12; 2) (+ var15; 2))) (and (and  true  (<= var11; var15;)) (>= (+ var12; 2) (+ var15; 2)))) 11(ite (or (< (ite (> var15; var12;) var15; (ite  true  var10; (ite (< (ite true var3; var12;) (ite  false  (* -11 var1;) (ite  false  var10; (ite (< (* 1 var9;) (- var14; var2;)) (- (* 1 var9;) (ite false var13; var1;)) (- var6; var9;))))) (- var10; (* 0 (- (* 1 var9;) (ite false var13; var1;)))) (* -10 (* -11 var1;))))) (ite true var15; var14;)) (< (ite (> var15; var12;) var15; (ite  true  var10; (ite (< (ite true var3; var12;) (ite  false  (* -11 var1;) (ite  false  var10; (ite (< (* 1 var9;) (- var14; var2;)) (- (* 1 var9;) (ite false var13; var1;)) (- var6; var9;))))) (- var10; (* 0 (- (* 1 var9;) (ite false var13; var1;)))) (* -10 (* -11 var1;))))) (ite true var15; var14;))) (+ 1 9)(ite (or (and (< var9; var15;) (>= (ite false var7; var10;) var15;)) (and (< var9; var15;) (>= (ite false var7; var10;) var15;))) 9(ite (or (and (<= var15; var11;) (or false (> var15; var8;))) (and (<= var15; var11;) (or false (> var15; var8;)))) 8(ite (or (and (> (ite true var9; var13;) (ite false var1; var15;)) (and (> var15; var7;) true)) (and (> (ite true var9; var13;) (ite false var1; var15;)) (and (> var15; var7;) true))) 7(ite (or (and (> (- (* 0 var8;) (ite false var4; var15;)) (* -1 (- var7; 0))) (>= var15; var6;)) (and (> (- (* 0 var8;) (ite false var4; var15;)) (* -1 (- var7; 0))) (>= var15; var6;))) 6(ite (or (or  false  (and (not (< var12; var15;)) (<= var5; var15;))) (or  false  (and (not (< var12; var15;)) (<= var5; var15;)))) 5(ite (or (or (and (<= var15; var5;) (<= var4; var15;))  false ) (or (and (<= var15; var5;) (<= var4; var15;))  false )) 4(ite (or (not (or (or (<= (+ 1 var15;) (* 1 var3;))  false ) (and true (>= var15; var9;)))) (not (or (or (<= (+ 1 var15;) (* 1 var3;))  false ) (and true (>= var15; var9;))))) 3(ite (or (and (>= var10; var15;) (>= var15; var2;)) (and (>= var10; var15;) (>= var15; var2;))) 2(ite (or (or (>= var1; var15;)  false ) (or (>= var1; var15;)  false )) (- 1 1)(ite (or (< (+ var7; var15;) (+ var12; var6;)) (< (+ var7; var15;) (+ var12; var6;))) 1(ite (or (<= var14; var15;) (<= var14; var15;)) 14(ite (or (<= var13; var15;) (<= var13; var15;)) 13 12)))))))))))))),2276
src\main\resources\benchmarks\fg_array_search_15.sl,true,44,(ite (or (and (>= (+ var11; (* 0 (+ var4; var11;))) var16;) (< var10; var16;)) (and (>= (+ var11; (* 0 (+ var4; var11;))) var16;) (< var10; var16;))) (+ 1 9)(ite (or (and (<= (- var16; (ite true var10; 0)) (- var13; var10;)) (> var16; var12;)) (and (<= (- var16; (ite true var10; 0)) (- var13; var10;)) (> var16; var12;))) 12(ite (or (and (> (- var16; var9;) (* 0 (ite  false  (+ (- var8; var16;) (+ var4; var7;)) var9;))) (not (or  false  (>= var16; var10;)))) (and (> (- var16; var9;) (* 0 (ite  false  (+ (- var8; var16;) (+ var4; var7;)) var9;))) (not (or  false  (>= var16; var10;))))) 9(ite (or (and (<= var16; var10;) (> var16; var8;)) (and (<= var16; var10;) (> var16; var8;))) 8(ite (or (and (<= (ite true var16; var4;) (ite false var15; var10;)) (and (< var7; var16;)  true )) (and (<= (ite true var16; var4;) (ite false var15; var10;)) (and (< var7; var16;)  true ))) 7(ite (or (and (>= var10; var16;) (>= var16; var6;)) (and (>= var10; var16;) (>= var16; var6;))) 6(ite (or (and (<= var5; var16;) (>= (- var10; 0) (- (ite true var16; var2;) (ite (or (not true) (and false true)) (* 15 (ite true var16; var5;)) (* 0 (+ var8; var9;)))))) (and (<= var5; var16;) (>= (- var10; 0) (- (ite true var16; var2;) (ite (or (not true) (and false true)) (* 15 (ite true var16; var5;)) (* 0 (+ var8; var9;))))))) 5(ite (or (and (<= (ite (and (<= var16; var9;) (and false false)) (* 0 (* -1 var13;)) (ite (< var14; var6;) (+ var13; var6;) (- var16; var10;))) (* 3 (* 0 var11;))) (< (ite (and  false  (not false)) (ite  false  (- var15; var12;) (* 16 var2;)) (ite (< var15; var12;) (ite false var4; var3;) (ite true var4; var16;))) var16;)) (and (<= (ite (and (<= var16; var9;) (and false false)) (* 0 (* -1 var13;)) (ite (< var14; var6;) (+ var13; var6;) (- var16; var10;))) (* 3 (* 0 var11;))) (< (ite (and  false  (not false)) (ite  false  (- var15; var12;) (* 16 var2;)) (ite (< var15; var12;) (ite false var4; var3;) (ite true var4; var16;))) var16;))) 4(ite (or (< (ite (< var16; var3;) var14; var16;) var10;) (< (ite (< var16; var3;) var14; var16;) var10;)) 3(ite (or (or (and (<= var16; var1;)  true ) (or (and false true)  false )) (or (and (<= var16; var1;)  true ) (or (and false true)  false ))) (- 1 1)(ite (or (<= (- var2; (* 0 (ite true (- var2; var16;) var3;))) (+ (ite (> var9; var16;) (ite  false  (ite false var11; var16;) var16;) (+ (- var2; var16;) var3;)) (ite (< var16; var3;) (* 0 var4;) (* 0 (ite false var4; var13;))))) (<= (- var2; (* 0 (ite true (- var2; var16;) var3;))) (+ (ite (> var9; var16;) (ite  false  (ite false var11; var16;) var16;) (+ (- var2; var16;) var3;)) (ite (< var16; var3;) (* 0 var4;) (* 0 (ite false var4; var13;)))))) 2(ite (or (or false (> var2; var16;)) (or false (> var2; var16;))) 1(ite (or (<= var15; var16;) (<= var15; var16;)) 15(ite (or (and  true  (and  true  (and  true  (< var16; var13;)))) (and (> var16; var11;) (and (>= var7; var4;) (and (<= var11; var16;) (< var16; var13;))))) 11(ite (or (and  true  (and (< var16; var14;)  true )) (and (<= var2; var5;) (and (< var16; var14;) (>= var14; var13;)))) 13 14))))))))))))))),3082
src\main\resources\benchmarks\fg_array_search_16.sl,true,33,(ite (or (and (< var18; var12;) (not (or  false  (<= var18; var11;)))) (and (< var18; var12;) (not (or  false  (<= var18; var11;))))) 11(ite (or (or (and  true  (and (< (ite true var10; var12;) var18;) (>= var12; var18;)))  false ) (or (and  true  (and (< (ite true var10; var12;) var18;) (>= var12; var18;)))  false )) (+ 1 9)(ite (or (and (<= var18; var12;) (> var18; var9;)) (and (<= var18; var12;) (> var18; var9;))) 9(ite (or (and (< var18; var9;) (< (ite true var8; var11;) var18;)) (and (< var18; var9;) (< (ite true var8; var11;) var18;))) 8(ite (or (and (or  false  (> (ite  true  (* 1 var12;) (- var18; var4;)) var18;)) (> var18; var7;)) (and (or  false  (> (ite  true  (* 1 var12;) (- var18; var4;)) var18;)) (> var18; var7;))) 7(ite (or (and (<= var6; var18;) (<= var18; var12;)) (and (<= var6; var18;) (<= var18; var12;))) 6(ite (or (and (> var18; var5;) (not (<= (+ var11; var5;) (- (+ var5; var13;) (- var13; var18;))))) (and (> var18; var5;) (not (<= (+ var11; var5;) (- (+ var5; var13;) (- var13; var18;)))))) 5(ite (or (and (<= var4; var18;) (> var5; (+ var18; -1))) (and (<= var4; var18;) (> var5; (+ var18; -1)))) 4(ite (or (and  true  (and (<= var3; var18;) (> var7; var18;))) (and  true  (and (<= var3; var18;) (> var7; var18;)))) 3(ite (or (and (>= var8; var18;) (and (not (< var18; var2;))  true )) (and (>= var8; var18;) (and (not (< var18; var2;))  true ))) 2(ite (or (<= var18; var1;) (<= var18; var1;)) (- 1 1)(ite (or (> var6; var18;) (> var6; var18;)) 1(ite (or (> var18; var17;) (> var18; var17;)) 17(ite (or (or (<= var16; var18;)  false ) (or (<= var16; var18;)  false )) 16(ite (or (or (<= var15; var18;)  false ) (or (<= var15; var18;)  false )) 15(ite (or (or  false  (> var18; var14;)) (or  false  (> var18; var14;))) 14(ite (or (< var13; var18;) (< var13; var18;)) 13 12))))))))))))))))),1825
src\main\resources\benchmarks\fg_array_search_17.sl,true,59,(ite (or (and (> (- (- var12; var8;) (- var19; var8;)) (- var5; var5;)) (>= var19; var11;)) (and (> (- (- var12; var8;) (- var19; var8;)) (- var5; var5;)) (>= var19; var11;))) 11(ite (or (and (not (< var13; var19;)) (or (and (or  false  false)  false ) (or (<= var11; var19;) false))) (and (not (< var13; var19;)) (or (and (or  false  false)  false ) (or (<= var11; var19;) false)))) 12(ite (or (< var18; var19;) (< var18; var19;)) 18(ite (or (and  true  (and (> var19; var7;) (> var8; var19;))) (and  true  (and (> var19; var7;) (> var8; var19;)))) 7(ite (or (and (and (and (and (and  true   true )  true ) (or false true))  true ) (and (and (and  true  (or false (and (and  true  (and  true  (or false true))) (not  false )))) (> var9; var19;)) (and (<= (- var8; var19;) (+ (* 1 (* 0 var6;)) (* 0 (* 1 var7;)))) (not (and (and (and (and  false  (and  false  (or false true))) (and (and (and (and true false)  false ) (not  false ))  false )) (not true))  false ))))) (and (and (and (and (and  true   true )  true ) (or false true))  true ) (and (and (and  true  (or false (and (and  true  (and  true  (or false true))) (not  false )))) (> var9; var19;)) (and (<= (- var8; var19;) (+ (* 1 (* 0 var6;)) (* 0 (* 1 var7;)))) (not (and (and (and (and  false  (and  false  (or false true))) (and (and (and (and true false)  false ) (not  false ))  false )) (not true))  false )))))) 8(ite (or (and (<= var6; var19;) (> (* -1 0) (- var19; var8;))) (and (<= var6; var19;) (> (* -1 0) (- var19; var8;)))) 6(ite (or (and (and (<= (ite  false  (ite false var15; var8;) (* 0 var1;)) (+ (* -1 var19;) (ite false var19; var9;)))  true ) (<= var5; var19;)) (and (and (<= (ite  false  (ite false var15; var8;) (* 0 var1;)) (+ (* -1 var19;) (ite false var19; var9;)))  true ) (<= var5; var19;))) 5(ite (or (and (< var4; var19;) (<= var19; (+ (- (- var6; 0) (ite true var6; var8;)) var7;))) (and (< var4; var19;) (<= var19; (+ (- (- var6; 0) (ite true var6; var8;)) var7;)))) 4(ite (or (and (and  true   true ) (and (< var19; var4;) (>= (ite false var3; var19;) var3;))) (and (and  true   true ) (and (< var19; var4;) (>= (ite false var3; var19;) var3;)))) 3(ite (or (and (< var2; var19;) (<= var19; var5;)) (and (< var2; var19;) (<= var19; var5;))) 2(ite (or (or (or (>= var1; var19;)  false ) (not (and  true   true ))) (or (or (>= var1; var19;)  false ) (not (and  true   true )))) (- 1 1)(ite (or (not (and (not false) (>= var19; var7;))) (not (and (not false) (>= var19; var7;)))) 1(ite (or (> var19; var17;) (> var19; var17;)) 17(ite (or (not (>= (ite (and (and true true) (<= var19; var13;)) var18; (ite true var19; var8;)) (ite (> (+ var13; var15;) (+ (* 1 (+ var13; var15;)) (ite  false  (+ (- (+ var2; var19;) (ite false var19; var2;)) (+ (+ var19; var12;) (ite (= var6; var12;) var12; (- var11; var3;)))) (- var11; var3;)))) (ite  false  var15; var15;) var14;))) (not (>= (ite (and (and true true) (<= var19; var13;)) var18; (ite true var19; var8;)) (ite (> (+ var13; var15;) (+ (* 1 (+ var13; var15;)) (ite  false  (+ (- (+ var2; var19;) (ite false var19; var2;)) (+ (+ var19; var12;) (ite (= var6; var12;) var12; (- var11; var3;)))) (- var11; var3;)))) (ite  false  var15; var15;) var14;)))) 13(ite (or (or (> var19; var16;)  false ) (or (> var19; var16;)  false )) 16(ite (or (and (< (ite  true  var14; var2;) var19;) (not (< var15; var19;))) (and (< (ite (> var14; var7;) var14; var2;) var19;) (not (< var15; var19;)))) 14(ite (or (and  true  (and  true  (and (<= var10; var19;) (> var14; var19;)))) (and (>= var19; var10;) (and (< var10; var19;) (and (<= var10; var19;) (> var14; var19;))))) (+ 1 9)(ite (or (and  true  (>= var19; var14;)) (and (>= var15; var8;) (>= var19; var14;))) 15 9)))))))))))))))))),3706
src\main\resources\benchmarks\fg_array_search_18.sl,true,75,(ite (or (and (>= var12; (ite true var20; var9;)) (and (and (or  true  false)  true ) (<= var11; var20;))) (and (>= var12; (ite true var20; var9;)) (and (and (or  true  false)  true ) (<= var11; var20;)))) 11(ite (or (and (and  true  (<= var9; var20;)) (>= (ite (> var10; var20;) var14; (ite true var2; var14;)) (ite (and false true) (ite false var11; var18;) var6;))) (and (and  true  (<= var9; var20;)) (>= (ite (> var10; var20;) var14; (ite true var2; var14;)) (ite (and false true) (ite false var11; var18;) var6;)))) 9(ite (or (and (<= var20; var13;) (>= var20; var12;)) (and (<= var20; var13;) (>= var20; var12;))) 12(ite (or (and  true  (and (< (- (* 0 var3;) (- var8; var10;)) (ite  false  (+ var15; var20;) (- var10; var20;))) (> (ite true var20; var8;) var7;))) (and  true  (and (< (- (* 0 var3;) (- var8; var10;)) (ite  false  (+ var15; var20;) (- var10; var20;))) (> (ite true var20; var8;) var7;)))) 7(ite (or (and (and (<= var20; (ite (not false) (ite (not false) var8; (+ (ite true var16; var3;) var4;)) (+ (- 5 var11;) (+ var6; var6;))))  true ) (>= (ite  true  var20; (+ var12; (- (* -12 (- var6; (+ var4; var10;))) var13;))) var6;)) (and (and (<= var20; (ite (not false) (ite (not false) var8; (+ (ite true var16; var3;) var4;)) (+ (- 5 var11;) (+ var6; var6;))))  true ) (>= (ite  true  var20; (+ var12; (- (* -12 (- var6; (+ var4; var10;))) var13;))) var6;))) 6(ite (or (>= (ite false var10; var20;) (ite true var19; var14;)) (>= (ite false var10; var20;) (ite true var19; var14;))) 19(ite (or (and (>= (* 1 var20;) var4;) (< (- var20; 1) var5;)) (and (>= (* 1 var20;) var4;) (< (- var20; 1) var5;))) 4(ite (or (and (<= var20; var5;) (<= var3; var20;)) (and (<= var20; var5;) (<= var3; var20;))) 3(ite (or (and (and (<= var20; var2;)  true ) (<= (+ (- var1; var2;) var2;) var20;)) (and (and (<= var20; var2;)  true ) (<= (+ (- var1; var2;) var2;) var20;))) 1(ite (or (and (> var20; var1;) (>= var4; var20;)) (and (> var20; var1;) (>= var4; var20;))) 2(ite (or (>= var3; var20;) (>= var3; var20;)) (- 1 1)(ite (or (and (and true  true ) (> (* 1 (ite (> var14; var20;) var20; var9;)) (ite  false  (- var8; var9;) var13;))) (and (and true  true ) (> (* 1 (ite (> var14; var20;) var20; var9;)) (ite  false  (- var8; var9;) var13;)))) 13(ite (or (and (< var17; var20;) (> (+ (ite false var13; var12;) (ite true var18; var7;)) (+ var12; var20;))) (and (< var17; var20;) (> (+ (ite false var13; var12;) (ite true var18; var7;)) (+ var12; var20;)))) 17(ite (or (and  true  (and (< var16; var20;) (< var20; var18;))) (and (<= var16; var20;) (and (< var16; var20;) (< var20; var18;)))) 16(ite (or (and (< var10; var20;) (and (> var14; var20;)  true )) (and (< var10; var20;) (and (> var14; var20;)  true ))) (+ 1 9)(ite (or (> (* 1 var20;) var17;) (> (* 1 var20;) var17;)) 18(ite (or (and  true  (and  true  (and (<= var15; var20;)  true ))) (and (>= var20; var15;) (and (< var15; var20;) (and (<= var15; var20;) (> var20; var2;))))) 15(ite (or (< var10; var20;) (< var10; var20;)) 14(ite (or (<= var6; var20;) (<= var6; var20;)) 8 5))))))))))))))))))),3062
