Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (and (> (+ (* 0 (- var2; var7;)) (- var11; var1;)) (* 0 (+ (- var4; var6;) (ite true var4; var2;)))) (<= var11; var2;)) (and (> (+ (* 0 (- var2; var7;)) (- var11; var1;)) (* 0 (+ (- var4; var6;) (ite true var4; var2;)))) (<= var11; var2;))) 1(ite (or (< var10; var11;) (< var10; var11;)) 10(ite (or (> var11; var9;) (> var11; var9;)) 9(ite (or (<= var8; var11;) (<= var8; var11;)) 8(ite (or (< var7; var11;) (< var7; var11;)) 7(ite (or (and (not (not (> var11; var6;))) (or  false   true )) (and (not (not (> var11; var6;))) (or  false   true ))) 6(ite (or (> var11; var5;) (> var11; var5;)) 5(ite (or (<= var4; var11;) (<= var4; var11;)) 4(ite (or (> (+ var11; (* 0 (+ var7; var5;))) var3;) (> (+ var11; (* 0 (+ var7; var5;))) var3;)) 3(ite (or (>= var11; var2;) (>= var11; var2;)) 2 (- 1 1))))))))))),811
src\main\resources\benchmarks\fg_array_search_11.sl,true,24,(ite (or (< var11; var12;) (< var11; var12;)) (+ 1 10)(ite (or (not (not (>= var1; var12;))) (not (not (>= var1; var12;)))) (- 1 1)(ite (or (> var12; var10;) (> var12; var10;)) 10(ite (or (>= var12; var9;) (>= var12; var9;)) 9(ite (or (< var8; var12;) (< var8; var12;)) 8(ite (or (and (and true true) (<= var7; var12;)) (and (and true true) (<= var7; var12;))) 7(ite (or (> (ite (> var12; var4;) var5; (ite false var10; var12;)) (ite true var12; var5;)) (> (ite (> var12; var4;) var5; (ite false var10; var12;)) (ite true var12; var5;))) 4(ite (or (and (> var12; var5;) (< var12; var6;)) (and (> var12; var5;) (< var12; var6;))) 5(ite (or (and (< var12; var3;) (>= (- var8; var2;) (- var8; var12;))) (and (< var12; var3;) (>= (- var8; var2;) (- var8; var12;)))) 2(ite (or (and  true  (and (< var12; var2;) (and  true   true ))) (and (<= var12; var2;) (and (< var12; var2;) (and (>= (ite false 19 (ite true var10; 1)) var12;) (> (ite true var10; 1) var12;))))) 1(ite (or (<= var12; var4;) (<= var12; var4;)) 3 6))))))))))),1021
src\main\resources\benchmarks\fg_array_search_12.sl,true,21,(ite (or (and (< var11; var13;) (or  false  (> var12; (ite true var13; var1;)))) (and (< var11; var13;) (or  false  (> var12; (ite true var13; var1;))))) 11(ite (or (and (< (ite false var12; 12) (* -16 (ite (and false false) (+ var2; var8;) (- var13; var10;)))) (<= var9; var13;)) (and (< (ite false var12; 12) (* -16 (ite (and false false) (+ var2; var8;) (- var13; var10;)))) (<= var9; var13;))) 9(ite (or (<= var12; var13;) (<= var12; var13;)) 12(ite (or (and (or (and  false  (not  true )) (and (< var8; var13;) (not (> var13; var10;))))  true ) (and (or (and  false  (not  true )) (and (< var8; var13;) (not (> var13; var10;))))  true )) 8(ite (or (< var13; (ite (not (<= var7; var13;)) var13; (ite  true  (ite false var7; var8;) (+ var11; var9;)))) (< var13; (ite (not (<= var7; var13;)) var13; (ite  true  (ite false var7; var8;) (+ var11; var9;))))) 7(ite (or (and (not (< var8; (ite  false  var2; (* 1 var13;)))) (and  true  (and (and true (> var13; var6;))  true ))) (and (not (< var8; (ite  false  var2; (* 1 var13;)))) (and  true  (and (and true (> var13; var6;))  true )))) 6(ite (or (<= var13; var1;) (<= var13; var1;)) (- 1 1)(ite (or (and (< var4; var13;) (< var13; var5;)) (and (< var4; var13;) (< var13; var5;))) 4(ite (or (and  true  (and (<= var3; var13;) (>= var5; var13;))) (and  true  (and (<= var3; var13;) (>= var5; var13;)))) 3(ite (or (and (> (ite (> var3; var13;) (ite true var9; var7;) (ite false var5; var5;)) (- (ite true var13; var9;) (* 0 var7;))) (> var13; var2;)) (and (> (ite (> var3; var13;) (ite true var9; var7;) (ite false var5; var5;)) (- (ite true var13; var9;) (* 0 var7;))) (> var13; var2;))) 2(ite (or (or false (and (<= var13; var8;) (>= var13; var2;))) (or false (and (<= var13; var8;) (>= var13; var2;)))) 5(ite (or (and  true  (> var6; var13;)) (and  true  (> var6; var13;))) 1 (+ 1 9))))))))))))),1846
src\main\resources\benchmarks\fg_array_search_13.sl,true,26,(ite (or (<= var11; (ite (and (> (ite (and (= (ite  true  (+ var5; var12;) var11;) (- (- var5; var10;) 0)) (or (= (+ (- var6; var9;) (ite (> var11; (* -14 var14;)) (+ (+ var8; -1) (ite true var2; var3;)) (+ (- var12; var8;) (- (- var5; var10;) 0)))) (- var13; 0)) (<= (- var13; var7;) (+ var6; var4;)))) var9; var14;) var12;)  true ) var9; var14;)) (<= var11; (ite (and (> (ite (and (= (ite  true  (+ var5; var12;) var11;) (- (- var5; var10;) 0)) (or (= (+ (- var6; var9;) (ite (> var11; (* -14 var14;)) (+ (+ var8; -1) (ite true var2; var3;)) (+ (- var12; var8;) (- (- var5; var10;) 0)))) (- var13; 0)) (<= (- var13; var7;) (+ var6; var4;)))) var9; var14;) var12;)  true ) var9; var14;))) 11(ite (or (> var14; (ite (>= (- (- var6; var3;) (* -7 (- var12; var14;))) (- var6; var3;)) var10; var14;)) (> var14; (ite (>= (- (- var6; var3;) (* -7 (- var12; var14;))) (- var6; var3;)) var10; var14;))) (+ 1 9)(ite (or (and (> var14; var9;) (>= (* 0 (* 0 (+ var9; var10;))) (- var14; (ite false var1; var12;)))) (and (> var14; var9;) (>= (* 0 (* 0 (+ var9; var10;))) (- var14; (ite false var1; var12;))))) 9(ite (or (and (< var8; var14;) (>= (* 17 (+ (ite  true  (* 0 var11;) (ite false var10; var3;)) (* -13 (* 0 var8;)))) (- (+ (* -1 var9;) (+ (* 1 var4;) (+ var8; var12;))) (+ (* -1 var14;) (+ (* 1 var4;) (+ var8; var12;)))))) (and (< var8; var14;) (>= (* 17 (+ (ite  true  (* 0 var11;) (ite false var10; var3;)) (* -13 (* 0 var8;)))) (- (+ (* -1 var9;) (+ (* 1 var4;) (+ var8; var12;))) (+ (* -1 var14;) (+ (* 1 var4;) (+ var8; var12;))))))) 8(ite (or (and (>= var14; var7;) (>= var12; var14;)) (and (>= var14; var7;) (>= var12; var14;))) 7(ite (or (and (>= var8; (ite  true  var14; (- var8; var6;))) (<= var6; var14;)) (and (>= var8; (ite  true  var14; (- var8; var6;))) (<= var6; var14;))) 6(ite (or (and (>= var14; var5;) (<= (* 1 var14;) var12;)) (and (>= var14; var5;) (<= (* 1 var14;) var12;))) 5(ite (or (and (>= var14; var4;) (not (<= (ite true var11; var1;) var14;))) (and (>= var14; var4;) (not (<= (ite true var11; var1;) var14;)))) 4(ite (or (and (>= var14; var3;) (> var10; var14;)) (and (>= var14; var3;) (> var10; var14;))) 3(ite (or (and (> var14; var2;) (>= (- (- var8; var6;) (- var14; var10;)) (ite  false  (ite true var14; var13;) (- var8; var3;)))) (and (> var14; var2;) (>= (- (- var8; var6;) (- var14; var10;)) (ite  false  (ite true var14; var13;) (- var8; var3;))))) 2(ite (or (< var14; var1;) (< var14; var1;)) (- 1 1)(ite (or (>= var2; var14;) (>= var2; var14;)) 1(ite (or (<= var13; var14;) (<= var13; var14;)) 13 12))))))))))))),2555
src\main\resources\benchmarks\fg_array_search_14.sl,true,29,(ite (or (and (> var15; var11;) (or (< var15; (* 1 var12;))  false )) (and (> var15; var11;) (or (< var15; (* 1 var12;))  false ))) 11(ite (or (and (>= var15; var10;) (>= var11; var15;)) (and (>= var15; var10;) (>= var11; var15;))) (+ 1 9)(ite (or (and (>= (* 0 var13;) (- var9; var15;)) (> (+ var12; (- var9; var15;)) var9;)) (and (>= (* 0 var13;) (- var9; var15;)) (> (+ var12; (- var9; var15;)) var9;))) 9(ite (or (and (>= var15; var8;) (< (ite false var7; (+ (* 0 (+ var14; var4;)) var15;)) var9;)) (and (>= var15; var8;) (< (ite false var7; (+ (* 0 (+ var14; var4;)) var15;)) var9;))) 8(ite (or (and (>= var15; var7;) (< var15; (ite false var5; var11;))) (and (>= var15; var7;) (< var15; (ite false var5; var11;)))) 7(ite (or (and (< var6; var15;) (not (<= (- var9; var15;) -1))) (and (< var6; var15;) (not (<= (- var9; var15;) -1)))) 6(ite (or (and (and (> var10; var15;) (or true false)) (or  false  (< var5; var15;))) (and (and (> var10; var15;) (or true false)) (or  false  (< var5; var15;)))) 5(ite (or (and (and (or true false) (<= var4; var15;)) (<= (- var15; var8;) (* 0 (- var11; (+ var7; var13;))))) (and (and (or true false) (<= var4; var15;)) (<= (- var15; var8;) (* 0 (- var11; (+ var7; var13;)))))) 4(ite (or (and (not (>= (- var10; (+ (* 15 (ite true var10; -11)) (+ (- var9; var11;) (+ (- (ite  false  (* 12 (- (* -1 (+ var3; var3;)) (+ (+ (+ (* 15 var13;) (+ (+ var3; var3;) (+ (- var9; (* -6 (- var9; var11;))) (* -17 var15;)))) (+ (- var9; var4;) (* -17 var15;))) (+ var12; var4;)))) (+ var4; var6;)) var4;) (* -17 var15;))))) (+ var12; (ite true var10; -11)))) (and true (>= var15; var3;))) (and (not (>= (- var10; (+ (* 15 (ite true var10; -11)) (+ (- var9; var11;) (+ (- (ite  false  (* 12 (- (* -1 (+ var3; var3;)) (+ (+ (+ (* 15 var13;) (+ (+ var3; var3;) (+ (- var9; (* -6 (- var9; var11;))) (* -17 var15;)))) (+ (- var9; var4;) (* -17 var15;))) (+ var12; var4;)))) (+ var4; var6;)) var4;) (* -17 var15;))))) (+ var12; (ite true var10; -11)))) (and true (>= var15; var3;)))) 3(ite (or (and (>= var15; var2;) (and (< var15; var5;)  true )) (and (>= var15; var2;) (and (< var15; var5;)  true ))) 2(ite (or (> var1; var15;) (> var1; var15;)) (- 1 1)(ite (or (not (>= var15; var4;)) (not (>= var15; var4;))) 1(ite (or (> var15; var14;) (> var15; var14;)) 14(ite (or (< var13; var15;) (< var13; var15;)) 13 12)))))))))))))),2348
src\main\resources\benchmarks\fg_array_search_15.sl,true,29,(ite (or (and (>= var12; var16;) (< (ite (> var11; var16;) (+ var14; var14;) (+ var11; var2;)) (+ var12; var3;))) (and (>= var12; var16;) (< (ite (> var11; var16;) (+ var14; var14;) (+ var11; var2;)) (+ var12; var3;)))) 11(ite (or (and (<= (ite  true  (- var10; var16;) (* -1 var12;)) (- var8; var8;)) (<= var16; var11;)) (and (<= (ite  true  (- var10; var16;) (* -1 var12;)) (- var8; var8;)) (<= var16; var11;))) (+ 1 9)(ite (or (and (<= var9; var16;) (> (ite false (* 0 (ite true var16; var8;)) var3;) (+ (- (+ var16; var3;) (ite true var7; var1;)) (- var7; var11;)))) (and (<= var9; var16;) (> (ite false (* 0 (ite true var16; var8;)) var3;) (+ (- (+ var16; var3;) (ite true var7; var1;)) (- var7; var11;))))) 9(ite (or (and (<= var8; var16;) (<= var16; var10;)) (and (<= var8; var16;) (<= var16; var10;))) 8(ite (or (and (< var7; var16;) (> var9; var16;)) (and (< var7; var16;) (> var9; var16;))) 7(ite (or (or (and (< var16; var11;) (< var6; var16;))  false ) (or (and (< var16; var11;) (< var6; var16;))  false )) 6(ite (or (<= (ite (> (ite false var1; var16;) (ite false var6; var5;)) var16; var10;) var9;) (<= (ite (> (ite false var1; var16;) (ite false var6; var5;)) var16; var10;) var9;)) 5(ite (or (and (< var16; var10;) (and (< var4; var16;)  true )) (and (< var16; var10;) (and (< var4; var16;)  true ))) 4(ite (or (and (> (+ var3; var12;) (+ var3; (ite true var16; var2;))) (<= var3; var16;)) (and (> (+ var3; var12;) (+ var3; (ite true var16; var2;))) (<= var3; var16;))) 3(ite (or (and (<= var2; var16;) (>= (+ (+ var12; var6;) (ite true var16; var8;)) (* 3 (ite true var16; var8;)))) (and (<= var2; var16;) (>= (+ (+ var12; var6;) (ite true var16; var8;)) (* 3 (ite true var16; var8;))))) 2(ite (or (not (> var16; var1;)) (not (> var16; var1;))) (- 1 1)(ite (or (> var12; var16;) (> var12; var16;)) 1(ite (or (< var15; (ite (not true) var10; var16;)) (< var15; (ite (not true) var10; var16;))) 15(ite (or (<= var14; var16;) (<= var14; var16;)) 14(ite (or (>= var16; var13;) (>= var16; var13;)) 13 12))))))))))))))),2031
src\main\resources\benchmarks\fg_array_search_16.sl,true,63,(ite (or (and (<= var18; var15;) (not (<= var18; var14;))) (and (<= var18; var15;) (not (<= var18; var14;)))) 14(ite (or (and (<= (ite false var11; var1;) var18;) (and  true  (<= var18; var2;))) (and (<= (ite false var11; var1;) var18;) (and  true  (<= var18; var2;)))) 1(ite (or (and (>= (ite false var16; var18;) (ite  true  var8; (+ var13; (ite false var11; var10;)))) (and (and  true  (> var9; var18;))  true )) (and (>= (ite false var16; var18;) (ite  true  var8; (+ var13; (ite false var11; var10;)))) (and (and  true  (> var9; var18;))  true ))) 8(ite (or (not (> (- (ite (>= var8; var18;) (ite  true  (ite true var14; (ite true var14; 5)) (ite  false  (+ (ite (> var18; var4;) (* 3 var11;) (- var8; var15;)) (+ var6; var16;)) (ite false var7; var18;))) (* 1 var18;)) var10;) (* 0 (* 0 var15;)))) (not (> (- (ite (>= var8; var18;) (ite  true  (ite true var14; (ite true var14; 5)) (ite  false  (+ (ite (> var18; var4;) (* 3 var11;) (- var8; var15;)) (+ var6; var16;)) (ite false var7; var18;))) (* 1 var18;)) var10;) (* 0 (* 0 var15;))))) 9(ite (or (and (and (<= (ite true var18; var3;) var10;) (<= var7; var18;))  true ) (and (and (<= (ite true var18; var3;) var10;) (<= var7; var18;))  true )) 7(ite (or (or  false  (and  true  (or  false  (and (or (<= var6; var18;)  false ) (not (>= var18; var9;)))))) (or  false  (and  true  (or  false  (and (or (<= var6; var18;)  false ) (not (>= var18; var9;))))))) 6(ite (or (and (not (or false false)) (and  true  (and (not (> (ite true var18; var4;) var6;)) (and (> var18; var5;) (or (and false true)  true ))))) (and (not (or false false)) (and  true  (and (not (> (ite true var18; var4;) var6;)) (and (> var18; var5;) (or (and false true)  true )))))) 5(ite (or (< (- (ite  false  var11; var18;) (* 0 var5;)) (ite (>= var18; var4;) (- (* 0 var5;) (- (ite false var6; var1;) (+ var5; var1;))) (+ var18; (- var5; var17;)))) (< (- (ite  false  var11; var18;) (* 0 var5;)) (ite (>= var18; var4;) (- (* 0 var5;) (- (ite false var6; var1;) (+ var5; var1;))) (+ var18; (- var5; var17;))))) 4(ite (or (and  true  (and (<= var18; var3;) (> (+ (+ (+ (ite false (- (- (- var13; var3;) var3;) (- var13; var3;)) var17;) (- var10; var6;)) (- (+ var5; var6;) (* 0 var14;))) (- (- (* -1 var9;) (+ var11; var6;)) (ite true var2; var8;))) (- (- (ite (< var18; (ite false var12; var2;)) (- (- (- (+ (+ (ite false (+ (- (ite  false  (- (+ var4; var7;) (* 0 var10;)) (- (+ (* 0 var14;) var7;) (* 0 var10;))) (- (- (* -1 var9;) (+ var11; var6;)) (ite (> var4; 0) (* -1 var17;) (- var5; var2;)))) (- var10; var6;)) var17;) (- var10; var6;)) (+ var12; var10;)) (ite true var18; var17;)) (* -1 var17;)) (ite true var18; var17;)) (- (+ var4; var7;) (- var13; var3;))) var18;) (- (- (+ var4; var7;) (ite false var6; var17;)) (- (- (* 0 var14;) var3;) (- var13; var3;))))))) (and  true  (and (<= var18; var3;) (> (+ (+ (+ (ite false (- (- (- var13; var3;) var3;) (- var13; var3;)) var17;) (- var10; var6;)) (- (+ var5; var6;) (* 0 var14;))) (- (- (* -1 var9;) (+ var11; var6;)) (ite true var2; var8;))) (- (- (ite (< var18; (ite false var12; var2;)) (- (- (- (+ (+ (ite false (+ (- (ite  false  (- (+ var4; var7;) (* 0 var10;)) (- (+ (* 0 var14;) var7;) (* 0 var10;))) (- (- (* -1 var9;) (+ var11; var6;)) (ite (> var4; 0) (* -1 var17;) (- var5; var2;)))) (- var10; var6;)) var17;) (- var10; var6;)) (+ var12; var10;)) (ite true var18; var17;)) (* -1 var17;)) (ite true var18; var17;)) (- (+ var4; var7;) (- var13; var3;))) var18;) (- (- (+ var4; var7;) (ite false var6; var17;)) (- (- (* 0 var14;) var3;) (- var13; var3;)))))))) 2(ite (or (>= var2; var18;) (>= var2; var18;)) (- 1 1)(ite (or (and (< var14; var18;) (or  false  (>= (+ var16; (+ var16; var3;)) (+ var18; (+ var16; var3;))))) (and (< var14; var18;) (or  false  (>= (+ var16; (+ var16; var3;)) (+ var18; (+ var16; var3;)))))) 15(ite (or (and (< var18; var16;) (>= var18; var13;)) (and (< var18; var16;) (>= var18; var13;))) 13(ite (or (< var17; var18;) (< var17; var18;)) 17(ite (or (>= var18; var14;) (>= var18; var14;)) 16(ite (or (and  true  (and  true  (and  true  (and  true  (and  true  (<= var18; var5;)))))) (and (<= var1; var18;) (and (< (+ (- var18; var1;) (+ var2; 1)) (+ (- var18; var1;) var18;)) (and (> (+ (- var18; var1;) var18;) var18;) (and (> (+ (ite (< (+ var18; (+ var2; 1)) (+ (ite (< var18; var6;) (- var18; var1;) var2;) var18;)) (- var6; var1;) var2;) (- var18; var1;)) var18;) (and (> var10; var18;) (<= var18; var5;))))))) 3(ite (or (and (<= var11; var18;) (and (< (* 0 0) (- var12; var18;))  true )) (and (<= var11; var18;) (and (< (* 0 0) (- var12; var18;))  true ))) 11(ite (or (and  true  (and  true  (< var12; var18;))) (and (> (ite (> var18; var12;) (* -1 var18;) (- var18; var16;)) (* -1 var14;)) (and (<= var18; var16;) (< var12; var18;)))) 12 (+ 1 9)))))))))))))))))),4791
src\main\resources\benchmarks\fg_array_search_17.sl,true,75,(ite (or (and (< (ite  false  (- (* 1 var3;) (- var7; var18;)) (* 0 (- (+ var10; var14;) var13;))) (* 1 (- (ite false var7; var11;) (- var10; (- var19; var11;))))) (not (<= (- var8; var8;) (ite (<= var1; var3;) (- var19; var11;) (- var7; var18;))))) (and (< (ite  false  (- (* 1 var3;) (- var7; var18;)) (* 0 (- (+ var10; var14;) var13;))) (* 1 (- (ite false var7; var11;) (- var10; (- var19; var11;))))) (not (<= (- var8; var8;) (ite (<= var1; var3;) (- var19; var11;) (- var7; var18;)))))) (+ 1 9)(ite (or (and (>= var19; var9;) (>= (- var11; (+ var9; var8;)) (- (ite false var6; var19;) (+ var9; var8;)))) (and (>= var19; var9;) (>= (- var11; (+ var9; var8;)) (- (ite false var6; var19;) (+ var9; var8;))))) 9(ite (or (< var18; var19;) (< var18; var19;)) 18(ite (or (and (<= var7; var19;) (>= var8; var19;)) (and (<= var7; var19;) (>= var8; var19;))) 7(ite (or (and  true  (and (< var6; var19;) (>= var7; var19;))) (and  true  (and (< var6; var19;) (>= var7; var19;)))) 6(ite (or (and (> var2; var19;) (> var19; var1;)) (and (> var2; var19;) (> var19; var1;))) 1(ite (or (and (< var5; var19;) (<= (* 0 (ite (< var6; var6;) (ite true var18; var4;) (ite false var7; var14;))) (ite (or (or  true  (<= 12 var18;)) (= var13; var8;)) (ite  false  (ite false var14; var8;) (- var7; var19;)) (ite false (ite  false  var18; var5;) var6;)))) (and (< var5; var19;) (<= (* 0 (ite (< var6; var6;) (ite true var18; var4;) (ite false var7; var14;))) (ite (or (or  true  (<= 12 var18;)) (= var13; var8;)) (ite  false  (ite false var14; var8;) (- var7; var19;)) (ite false (ite  false  var18; var5;) var6;))))) 5(ite (or (and (< var4; var19;) (> (+ (- var17; var17;) (ite true var6; 9)) var19;)) (and (< var4; var19;) (> (+ (- var17; var17;) (ite true var6; 9)) var19;))) 4(ite (or (and (and (> var19; var2;) (not false)) (>= var3; var19;)) (and (and (> var19; var2;) (not false)) (>= var3; var19;))) 2(ite (or (or (and false true) (< var19; var3;)) (or (and false true) (< var19; var3;))) (- 1 1)(ite (or (and  true  (< var17; var19;)) (and  true  (< var17; var19;))) 17(ite (or (and (> var19; var16;)  true ) (and (> var19; var16;) (< (* 7 (- (ite true var19; var5;) -1)) (* 7 (ite true var18; var7;))))) 16(ite (or (and  true  (and (or  false  (and (> var19; var12;)  true )) (>= var13; var19;))) (and (>= var19; var10;) (and (or  false  (and (> var19; var12;)  true )) (>= var13; var19;)))) 12(ite (or (and  true  (and  true  (and (> var19; var14;) (and  true  (and  true  (and  true  (> var15; var19;))))))) (and (< (+ (ite (and (> var19; var14;) (or (>= (+ var2; (ite true 1 var6;)) (+ var5; var14;)) (>= (* 1 var19;) (+ var5; var14;)))) (ite true 1 var6;) 1) (+ (- (+ var19; var1;) var6;) (+ var6; var1;))) (+ (+ var2; var15;) (ite (or false false) (* 16 var12;) (ite true var1; var7;)))) (and (<= (* 1 var10;) (* 1 var19;)) (and (> var19; var14;) (and (<= (+ (* -1 var16;) (+ var6; var1;)) (* 1 var10;)) (and (> var6; var3;) (and (> var14; var7;) (> var15; var19;)))))))) 14(ite (or (>= var19; var15;) (>= var19; var15;)) 15(ite (or (<= var19; var5;) (<= var19; var5;)) 3(ite (or (and  true  (and (< var19; var12;) (>= var19; var9;))) (and (>= var16; var7;) (and (< var19; var12;) (>= var19; var9;)))) 11(ite (or (<= var10; var19;) (<= var10; var19;)) 13 8)))))))))))))))))),3268
src\main\resources\benchmarks\fg_array_search_18.sl,true,61,(ite (or (and (> var12; var20;) (and (or (or false false) (>= var20; var11;)) (not  false ))) (and (> var12; var20;) (and (or (or false false) (>= var20; var11;)) (not  false )))) 11(ite (or (and (< var20; var11;) (and (or true false) (> var20; var10;))) (and (< var20; var11;) (and (or true false) (> var20; var10;)))) (+ 1 9)(ite (or (and (> var11; var20;) (> var20; var9;)) (and (> var11; var20;) (> var20; var9;))) 9(ite (or (and (< var20; var9;) (not (not (not (not (>= var20; var8;)))))) (and (< var20; var9;) (not (not (not (not (>= var20; var8;))))))) 8(ite (or (and (> (* 0 (+ (ite  false  (ite true var15; var4;) (ite  false  (ite true var4; var20;) (* 0 var14;))) (* 1 var6;))) (ite (<= var20; var12;) (+ (* -1 var19;) (ite false var15; var15;)) (* 0 var14;))) (not (< var20; var7;))) (and (> (* 0 (+ (ite  false  (ite true var15; var4;) (ite  false  (ite true var4; var20;) (* 0 var14;))) (* 1 var6;))) (ite (<= var20; var12;) (+ (* -1 var19;) (ite false var15; var15;)) (* 0 var14;))) (not (< var20; var7;)))) 7(ite (or (and (< (ite (or false true) (+ (- 12 var7;) var20;) (* 0 var19;)) (+ (ite true var8; var12;) (- 12 var7;))) (<= var6; var20;)) (and (< (ite (or false true) (+ (- 12 var7;) var20;) (* 0 var19;)) (+ (ite true var8; var12;) (- 12 var7;))) (<= var6; var20;))) 6(ite (or (and (<= (- var16; var8;) (- var16; var20;)) (>= var20; var5;)) (and (<= (- var16; var8;) (- var16; var20;)) (>= var20; var5;))) 5(ite (or (and (>= var8; var20;) (and  true  (> var20; var4;))) (and (>= var8; var20;) (and  true  (> var20; var4;)))) 4(ite (or (and (> var13; var20;) (and  true  (>= var20; var10;))) (and (> var13; var20;) (and  true  (>= var20; var10;)))) 12(ite (or (> var1; var20;) (> var1; var20;)) (- 1 1)(ite (or (and  true  (and (and (< (ite true var20; var14;) var19;)  true ) (not (>= var18; var20;)))) (and  true  (and (and (< (ite true var20; var14;) var19;)  true ) (not (>= var18; var20;))))) 18(ite (or (> (* 0 var4;) (- var20; var2;)) (> (* 0 var4;) (- var20; var2;))) 1(ite (or (<= var18; var20;) (<= var18; var20;)) 19(ite (or (and (>= var20; var15;) (> var16; var20;)) (and (>= var20; var15;) (> var16; var20;))) 15(ite (or (and (not  false ) (and (> var20; var17;)  true )) (and (not  false ) (and (> var20; var17;)  true ))) 17(ite (or (>= var20; var16;) (>= var20; var16;)) 16(ite (or (not (or (< (ite  false  (- var2; var19;) (ite true var14; var3;)) (- (+ var20; (+ var8; var12;)) (+ (* 0 var5;) (+ var8; var12;)))) (>= var7; var20;))) (not (or (< (ite  false  (- var2; var19;) (ite true var14; var3;)) (- (+ var20; (+ var8; var12;)) (+ (* 0 var5;) (+ var8; var12;)))) (>= var7; var20;)))) 13(ite (or (>= var20; var14;) (>= var20; var14;)) 14(ite (or (< var20; var3;) (< var20; var3;)) 2 3))))))))))))))))))),2745
