Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,12,(ite (or (and (and (or  false   true ) (< (* 0 (* 1 var5;)) (* 1 (- var11; var1;)))) (< (* 0 (- var1; -1)) (- (ite true var2; var7;) var11;))) (and (and (or  false   true ) (< (* 0 (* 1 var5;)) (* 1 (- var11; var1;)))) (< (* 0 (- var1; -1)) (- (ite true var2; var7;) var11;)))) 1(ite (or (< var10; var11;) (< var10; var11;)) 10(ite (or (and (<= var9; var11;)  true ) (and (<= var9; var11;)  true )) 9(ite (or (<= var8; var11;) (<= var8; var11;)) 8(ite (or (and (not  false ) (< var7; var11;)) (and (not  false ) (< var7; var11;))) 7(ite (or (<= (ite true var6; var2;) (ite false var10; var11;)) (<= (ite true var6; var2;) (ite false var10; var11;))) 6(ite (or (<= var5; var11;) (<= var5; var11;)) 5(ite (or (>= var11; (ite false var2; var4;)) (>= var11; (ite false var2; var4;))) 4(ite (or (> var11; var3;) (> var11; var3;)) 3(ite (or (< var2; var11;) (< var2; var11;)) 2 (- 1 1))))))))))),889
src\main\resources\benchmarks\fg_array_search_11.sl,true,14,(ite (or (and (<= (* 0 var10;) (- var12; var1;)) (>= var2; var12;)) (and (<= (* 0 var10;) (- var12; var1;)) (>= var2; var12;))) 1(ite (or (<= var11; var12;) (<= var11; var12;)) (+ 1 10)(ite (or (< (ite (or (< var1; var2;)  false ) var10; var3;) var12;) (< (ite (or (< var1; var2;)  false ) var10; var3;) var12;)) 10(ite (or (<= var9; var12;) (<= var9; var12;)) 9(ite (or (< var8; var12;) (< var8; var12;)) 8(ite (or (<= var7; var12;) (<= var7; var12;)) 7(ite (or (> var12; var6;) (> var12; var6;)) 6(ite (or (> (- var12; var5;) (* 0 var5;)) (> (- var12; var5;) (* 0 var5;))) 5(ite (or (> var12; var4;) (> var12; var4;)) 4(ite (or (not (and  true  (> var3; var12;))) (not (and  true  (> var3; var12;)))) 3(ite (or (>= var12; var1;) (>= var12; var1;)) 2 (- 1 1)))))))))))),770
src\main\resources\benchmarks\fg_array_search_12.sl,true,21,(ite (or (and (<= (ite (<= var12; var13;) (+ var11; (ite (<= var11; var13;) 8 var10;)) var10;) var11;) (> var13; var11;)) (and (<= (ite (<= var12; var13;) (+ var11; (ite (<= var11; var13;) 8 var10;)) var10;) var11;) (> var13; var11;))) 11(ite (or (and (< var10; var13;) (<= var13; (- (- (+ var6; var11;) (ite  true  var6; var7;)) (ite (< var10; var13;) (* 0 (+ (* -1 var6;) (- var9; var1;))) (- var9; var10;))))) (and (< var10; var13;) (<= var13; (- (- (+ var6; var11;) (ite  true  var6; var7;)) (ite (< var10; var13;) (* 0 (+ (* -1 var6;) (- var9; var1;))) (- var9; var10;)))))) (+ 1 9)(ite (or (and (> var11; (ite true var13; var9;)) (>= (ite true var13; var9;) var9;)) (and (> var11; (ite true var13; var9;)) (>= (ite true var13; var9;) var9;))) 9(ite (or (and (<= (+ (+ var9; var13;) (ite  false  (+ var9; var13;) (- var7; var11;))) (ite (not (or true true)) (* -1 (- var8; var13;)) (ite  true  (+ var7; var9;) (+ var12; var10;)))) (< var8; var13;)) (and (<= (+ (+ var9; var13;) (ite  false  (+ var9; var13;) (- var7; var11;))) (ite (not (or true true)) (* -1 (- var8; var13;)) (ite  true  (+ var7; var9;) (+ var12; var10;)))) (< var8; var13;))) 8(ite (or (and (< (ite  true  var13; (+ var8; var10;)) var11;) (<= var7; var13;)) (and (< (ite  true  var13; (+ var8; var10;)) var11;) (<= var7; var13;))) 7(ite (or (and (>= var13; var6;) (> (+ (ite  false  (+ 0 var8;) var12;) (- (- var10; var11;) (ite false var13; var13;))) (ite (> (ite false -16 var2;) (ite false var7; var13;)) (+ (+ var13; var2;) (- var12; 13)) (* 0 (+ 0 var3;))))) (and (>= var13; var6;) (> (+ (ite  false  (+ 0 var8;) var12;) (- (- var10; var11;) (ite false var13; var13;))) (ite (> (ite false -16 var2;) (ite false var7; var13;)) (+ (+ var13; var2;) (- var12; 13)) (* 0 (+ 0 var3;)))))) 6(ite (or (and (or  false  (>= var13; var5;)) (> var8; (ite false -1 var13;))) (and (or  false  (>= var13; var5;)) (> var8; (ite false -1 var13;)))) 5(ite (or (and (<= var13; var12;) (<= var4; var13;)) (and (<= var13; var12;) (<= var4; var13;))) 4(ite (or (and (> var13; var3;) (<= var13; var11;)) (and (> var13; var3;) (<= var13; var11;))) 3(ite (or (and (<= var2; var13;) (< var13; var8;)) (and (<= var2; var13;) (< var13; var8;))) 2(ite (or (>= var1; var13;) (>= var1; var13;)) (- 1 1)(ite (or (>= var5; (ite (not (>= var4; var5;)) (* 1 var13;) var9;)) (>= var5; (ite (not (>= var4; var5;)) (* 1 var13;) var9;))) 1 12)))))))))))),2394
src\main\resources\benchmarks\fg_array_search_13.sl,true,23,(ite (or (and (< var11; var14;) (not (> (ite (and true true) var14; (ite false var6; var6;)) (ite  true  (ite false var12; var12;) (- var3; var6;))))) (and (< var11; var14;) (not (> (ite (and true true) var14; (ite false var6; var6;)) (ite  true  (ite false var12; var12;) (- var3; var6;)))))) 11(ite (or (and  true  (not (or (and (not false) (not (< var14; var11;))) (or (< var14; var10;)  false )))) (and  true  (not (or (and (not false) (not (< var14; var11;))) (or (< var14; var10;)  false ))))) (+ 1 9)(ite (or (not (>= var9; (ite (> (* -16 (- var11; var14;)) (ite (>= var2; var2;) (- var11; var14;) (ite false var6; var8;))) (- (- (ite true var3; var2;) (* -1 var4;)) (ite (not false) (ite false 0 var4;) (+ var4; var12;))) var14;))) (not (>= var9; (ite (> (* -16 (- var11; var14;)) (ite (>= var2; var2;) (- var11; var14;) (ite false var6; var8;))) (- (- (ite true var3; var2;) (* -1 var4;)) (ite (not false) (ite false 0 var4;) (+ var4; var12;))) var14;)))) 9(ite (or (not (or (and (>= (ite true var14; var9;) var9;) (not false)) (and (> var8; var14;) (not false)))) (not (or (and (>= (ite true var14; var9;) var9;) (not false)) (and (> var8; var14;) (not false))))) 8(ite (or (and (>= (ite (and (>= var9; var9;)  true ) (ite (> var14; var12;) var5; (ite true var9; var13;)) (- (- var10; var9;) (ite false var10; -7))) var7;) (<= var7; var14;)) (and (>= (ite (and (>= var9; var9;)  true ) (ite (> var14; var12;) var5; (ite true var9; var13;)) (- (- var10; var9;) (ite false var10; -7))) var7;) (<= var7; var14;))) 7(ite (or (and (<= var6; var14;) (< var14; var12;)) (and (<= var6; var14;) (< var14; var12;))) 6(ite (or (and (<= var5; var14;) (>= (+ -4 var10;) (ite false var13; var14;))) (and (<= var5; var14;) (>= (+ -4 var10;) (ite false var13; var14;)))) 5(ite (or (and (> var11; var14;) (< var4; var14;)) (and (> var11; var14;) (< var4; var14;))) 4(ite (or (and (or (>= var6; var14;)  false ) (>= var14; var3;)) (and (or (>= var6; var14;)  false ) (>= var14; var3;))) 3(ite (or (and (> var14; var2;) (>= var9; (ite false var12; var14;))) (and (> var14; var2;) (>= var9; (ite false var12; var14;)))) 2(ite (or (> var1; var14;) (> var1; var14;)) (- 1 1)(ite (or (not (or  false  (<= var10; var14;))) (not (or  false  (<= var10; var14;)))) 1(ite (or (>= var14; var13;) (>= var14; var13;)) 13 12))))))))))))),2315
src\main\resources\benchmarks\fg_array_search_14.sl,true,27,(ite (or (and (not (<= var12; var15;)) (>= var15; var11;)) (and (not (<= var12; var15;)) (>= var15; var11;))) 11(ite (or (and (>= var11; (- (+ var15; (ite false var6; var7;)) var7;)) (> var15; var10;)) (and (>= var11; (- (+ var15; (ite false var6; var7;)) var7;)) (> var15; var10;))) (+ 1 9)(ite (or (< (- var9; var7;) (ite (< var15; var11;) (- (+ var3; var15;) (+ var3; var7;)) (ite (< var15; var11;) (- (+ var3; var15;) (+ var3; var7;)) (+ (- var9; var7;) (- var2; var7;))))) (< (- var9; var7;) (ite (< var15; var11;) (- (+ var3; var15;) (+ var3; var7;)) (ite (< var15; var11;) (- (+ var3; var15;) (+ var3; var7;)) (+ (- var9; var7;) (- var2; var7;)))))) 9(ite (or (and (<= (+ var8; var13;) (- (ite false var12; var13;) (* -1 var15;))) (<= var15; var9;)) (and (<= (+ var8; var13;) (- (ite false var12; var13;) (* -1 var15;))) (<= var15; var9;))) 8(ite (or (and (< var15; var9;) (<= (ite false var11; var7;) var15;)) (and (< var15; var9;) (<= (ite false var11; var7;) var15;))) 7(ite (or (and (< (ite true var15; var4;) var8;) (<= var6; var15;)) (and (< (ite true var15; var4;) var8;) (<= var6; var15;))) 6(ite (or (<= (* 0 (+ (+ (+ var11; var13;) (* 7 var4;)) (ite  false  (+ var4; var3;) (* -17 var12;)))) (+ (ite  true  (* -1 1) (ite  false  (+ var5; var5;) (- 8 var13;))) (+ (* -1 (ite true var5; -5)) (ite (> var15; var8;) var5; (ite false var11; var15;))))) (<= (* 0 (+ (+ (+ var11; var13;) (* 7 var4;)) (ite  false  (+ var4; var3;) (* -17 var12;)))) (+ (ite  true  (* -1 1) (ite  false  (+ var5; var5;) (- 8 var13;))) (+ (* -1 (ite true var5; -5)) (ite (> var15; var8;) var5; (ite false var11; var15;)))))) 5(ite (or (and (> var15; var4;) (> var9; var15;)) (and (> var15; var4;) (> var9; var15;))) 4(ite (or (and (> (+ (ite false var15; var6;) (+ var10; var5;)) (+ (ite false var15; var6;) (+ var10; var15;))) (> (- (* 0 (ite false (* -1 (* 0 (ite false (+ 9 var3;) var4;))) var4;)) (- var3; var15;)) (* 0 (ite false (* -1 (* -1 var11;)) var4;)))) (and (> (+ (ite false var15; var6;) (+ var10; var5;)) (+ (ite false var15; var6;) (+ var10; var15;))) (> (- (* 0 (ite false (* -1 (* 0 (ite false (+ 9 var3;) var4;))) var4;)) (- var3; var15;)) (* 0 (ite false (* -1 (* -1 var11;)) var4;))))) 3(ite (or (and (>= var15; var2;) (<= (ite true var15; var8;) (- (+ var6; var3;) (ite false var6; var4;)))) (and (>= var15; var2;) (<= (ite true var15; var8;) (- (+ var6; var3;) (ite false var6; var4;))))) 2(ite (or (not (or (>= var15; var1;)  false )) (not (or (>= var15; var1;)  false ))) (- 1 1)(ite (or (>= var9; var15;) (>= var9; var15;)) 1(ite (or (<= var14; var15;) (<= var14; var15;)) 14(ite (or (>= var15; var13;) (>= var15; var13;)) 13 12)))))))))))))),2658
src\main\resources\benchmarks\fg_array_search_15.sl,true,35,(ite (or (and (<= var10; var16;) (<= (- var16; var11;) (* 0 (+ var6; var8;)))) (and (<= var10; var16;) (<= (- var16; var11;) (* 0 (+ var6; var8;))))) (+ 1 9)(ite (or (and (< var16; var13;) (> var16; var12;)) (and (< var16; var13;) (> var16; var12;))) 12(ite (or (and (> var16; var9;) (> var11; var16;)) (and (> var16; var9;) (> var11; var16;))) 9(ite (or (and (not (<= (ite true var11; var13;) var16;)) (> var16; var8;)) (and (not (<= (ite true var11; var13;) var16;)) (> var16; var8;))) 8(ite (or (and (< var7; var16;) (< (- (- var16; var4;) (ite false var10; var13;)) (- (- var9; var4;) (ite false var10; var13;)))) (and (< var7; var16;) (< (- (- var16; var4;) (ite false var10; var13;)) (- (- var9; var4;) (ite false var10; var13;))))) 7(ite (or (and (< var16; var11;) (>= var16; var6;)) (and (< var16; var11;) (>= var16; var6;))) 6(ite (or (and (and (> var16; var5;) (< (ite false var16; var16;) (+ var8; (* 0 (* 0 var6;)))))  true ) (and (and (> var16; var5;) (< (ite false var16; var16;) (+ var8; (* 0 (* 0 var6;)))))  true )) 5(ite (or (and (> (* 0 var7;) (- var4; var16;)) (<= (- var16; var6;) (* 0 var2;))) (and (> (* 0 var7;) (- var4; var16;)) (<= (- var16; var6;) (* 0 var2;)))) 4(ite (or (and (> var16; var3;) (< var16; var8;)) (and (> var16; var3;) (< var16; var8;))) 3(ite (or (<= var16; var1;) (<= var16; var1;)) (- 1 1)(ite (or (and (or (not (not  false )) (or  false  (> (ite  false  (+ var5; var15;) (ite  false  var15; var16;)) var2;))) (not (< var9; var16;))) (and (or (not (not  false )) (or  false  (> (ite  false  (+ var5; var15;) (ite  false  var15; var16;)) var2;))) (not (< var9; var16;)))) 2(ite (or (> var8; var16;) (> var8; var16;)) 1(ite (or (and (or true false) (>= var16; var15;)) (and (or true false) (>= var16; var15;))) 15(ite (or (and (> var16; var13;) (or  false  (<= var16; var14;))) (and (> var16; var13;) (or  false  (<= var16; var14;)))) 13(ite (or (and (<= (* -1 var12;) (- (* 0 (- var3; var12;)) var16;))  true ) (and (<= (* -1 var12;) (- (* 0 (- var3; var12;)) var16;)) (<= var11; var16;))) 11 14))))))))))))))),2055
src\main\resources\benchmarks\fg_array_search_16.sl,true,51,(ite (or (and (or (<= (ite (and true true) (+ (- (* 0 var8;) (ite false var13; var12;)) (ite (< var15; (ite false var18; var8;)) (ite true var3; var1;) (ite false var17; var18;))) (* 1 var5;)) (* 0 (* 10 var6;))) (and (not false) (and (or  false  (and (not false) (or false true)))  false ))) (<= var11; var18;)) (and (or (<= (ite (and true true) (+ (- (* 0 var8;) (ite false var13; var12;)) (ite (< var15; (ite false var18; var8;)) (ite true var3; var1;) (ite false var17; var18;))) (* 1 var5;)) (* 0 (* 10 var6;))) (and (not false) (and (or  false  (and (not false) (or false true)))  false ))) (<= var11; var18;))) 11(ite (or (and (> (ite true var18; var3;) (ite false var3; var9;)) (> var10; var18;)) (and (> (ite true var18; var3;) (ite false var3; var9;)) (> var10; var18;))) 9(ite (or (and (< var18; var13;) (< (* 1 var12;) (ite true var18; var18;))) (and (< var18; var13;) (< (* 1 var12;) (ite true var18; var18;)))) 12(ite (or (and (>= var8; var18;) (> var18; var7;)) (and (>= var8; var18;) (> var18; var7;))) 7(ite (or (<= (ite (not false) (ite true (ite true var7; var12;) 0) (- var8; var13;)) (ite (<= var18; var9;) var18; (ite false var2; var1;))) (<= (ite (not false) (ite true (ite true var7; var12;) 0) (- var8; var13;)) (ite (<= var18; var9;) var18; (ite false var2; var1;)))) 8(ite (or (> var1; var18;) (> var1; var18;)) (- 1 1)(ite (or (and (< var18; var6;) (not (>= var5; var18;))) (and (< var18; var6;) (not (>= var5; var18;)))) 5(ite (or (and (> var18; var4;) (and (or  true   false ) (< (+ (ite (or false false) var4; (- var10; var6;)) (ite true var18; var5;)) (ite (< var7; var1;) (+ var17; var6;) (ite (< var4; var18;) var10; var15;))))) (and (> var18; var4;) (and (or  true   false ) (< (+ (ite (or false false) var4; (- var10; var6;)) (ite true var18; var5;)) (ite (< var7; var1;) (+ var17; var6;) (ite (< var4; var18;) var10; var15;)))))) 4(ite (or (> (ite (> var18; (ite  true  (ite true var5; var7;) (ite false var13; (- 9 (- (- (ite false var13; var12;) var8;) (* -6 (ite (> (ite (> (* 0 (- var7; var13;)) (ite  false  (ite true var5; var7;) (ite false var13; var12;))) (- 9 (- var4; (* -6 (ite  false  (- var18; -11) (* -1 var3;))))) (+ (+ (- var11; var7;) (+ var7; var18;)) (* -18 (* 0 var7;)))) (ite  false  (+ (ite  false  (* -6 (ite  false  (- var18; -11) (* -1 var3;))) var17;) (- var3; (ite true var10; var11;))) (+ (* 0 var7;) (- var3; var4;)))) (- var18; -11) (* -1 var3;)))))))) (+ (ite  true  (+ var11; var10;) var17;) (- var3; (ite true var10; var11;))) (+ (+ (- var11; var7;) (+ var7; var18;)) (* -18 (* 0 var7;)))) (ite  true  (+ (ite  true  (+ var11; var10;) var17;) (- var3; (ite true var10; var11;))) (+ (ite (and false false) (+ (ite false var8; (ite  false  (- var18; -11) (* -18 (* 0 var7;)))) var8;) (* 0 var5;)) (- (ite false var13; var12;) (* -9 var12;))))) (> (ite (> var18; (ite  true  (ite true var5; var7;) (ite false var13; (- 9 (- (- (ite false var13; var12;) var8;) (* -6 (ite (> (ite (> (* 0 (- var7; var13;)) (ite  false  (ite true var5; var7;) (ite false var13; var12;))) (- 9 (- var4; (* -6 (ite  false  (- var18; -11) (* -1 var3;))))) (+ (+ (- var11; var7;) (+ var7; var18;)) (* -18 (* 0 var7;)))) (ite  false  (+ (ite  false  (* -6 (ite  false  (- var18; -11) (* -1 var3;))) var17;) (- var3; (ite true var10; var11;))) (+ (* 0 var7;) (- var3; var4;)))) (- var18; -11) (* -1 var3;)))))))) (+ (ite  true  (+ var11; var10;) var17;) (- var3; (ite true var10; var11;))) (+ (+ (- var11; var7;) (+ var7; var18;)) (* -18 (* 0 var7;)))) (ite  true  (+ (ite  true  (+ var11; var10;) var17;) (- var3; (ite true var10; var11;))) (+ (ite (and false false) (+ (ite false var8; (ite  false  (- var18; -11) (* -18 (* 0 var7;)))) var8;) (* 0 var5;)) (- (ite false var13; var12;) (* -9 var12;)))))) 3(ite (or (and (>= (+ (ite false var17; var5;) (* 1 var16;)) (ite (>= var18; var6;) (+ var18; var5;) (ite true var6; var15;))) (> var18; var15;)) (and (>= (+ (ite false var17; var5;) (* 1 var16;)) (ite (>= var18; var6;) (+ var18; var5;) (ite true var6; var15;))) (> var18; var15;))) 15(ite (or (and (> var5; var18;) (<= (- (ite (< var15; var10;) (- (ite true var9; var12;) var1;) var2;) (* 15 var18;)) (ite (<= (ite true var12; var12;) var2;) (ite false var1; var15;) (ite  false  var18; (* -14 var2;))))) (and (> var5; var18;) (<= (- (ite (< var15; var10;) (- (ite true var9; var12;) var1;) var2;) (* 15 var18;)) (ite (<= (ite true var12; var12;) var2;) (ite false var1; var15;) (ite  false  var18; (* -14 var2;)))))) 2(ite (or (and (< var18; var14;) (> var18; var13;)) (and (< var18; var14;) (> var18; var13;))) 13(ite (or (< var17; var18;) (< var17; var18;)) 17(ite (or (> var18; var16;) (> var18; var16;)) 16(ite (or (and (> var8; var18;) (<= var6; var18;)) (and (> var8; var18;) (<= var6; var18;))) 6(ite (or (>= var2; var18;) (>= var2; var18;)) 1(ite (or (and (>= (- (* -17 (ite true var18; var17;)) (- (* -17 var12;) (+ (* 0 var14;) var11;))) (ite true var18; var17;))  true ) (and (>= (- (* -17 (ite true var18; var17;)) (- (* -17 var12;) (+ (* 0 var14;) var11;))) (ite true var18; var17;)) (> var18; var9;))) (+ 1 9) 14))))))))))))))))),5093
src\main\resources\benchmarks\fg_array_search_17.sl,true,44,(ite (or (and (and (>= (ite false var17; var12;) var19;) (or false  true )) (>= (ite true var19; (* 1 var7;)) var11;)) (and (and (>= (ite false var17; var12;) var19;) (or false  true )) (>= (ite true var19; (* 1 var7;)) var11;))) 11(ite (or (and (>= (ite true var11; var17;) var19;) (< var10; (ite false var13; var19;))) (and (>= (ite true var11; var17;) var19;) (< var10; (ite false var13; var19;)))) (+ 1 9)(ite (or (and (and (> var10; var19;) (< (ite (or (>= (- var9; var11;) (- var19; var11;))  false ) (* 1 (ite (and true true) (ite false var2; var17;) (- (+ (+ (- var9; var17;) (* -17 var19;)) (+ (ite false var17; var12;) (+ var11; var15;))) (ite true var17; var14;)))) (- (ite true var13; 1) (- var16; var2;))) var10;))  true ) (and (and (> var10; var19;) (< (ite (or (>= (- var9; var11;) (- var19; var11;))  false ) (* 1 (ite (and true true) (ite false var2; var17;) (- (+ (+ (- var9; var17;) (* -17 var19;)) (+ (ite false var17; var12;) (+ var11; var15;))) (ite true var17; var14;)))) (- (ite true var13; 1) (- var16; var2;))) var10;))  true )) 9(ite (or (<= (ite (and (or (and (= (- (+ var10; var18;) (+ var1; var10;)) (- (+ var17; var13;) (- (+ var10; var18;) (+ var10; var18;)))) (<= var19; var12;)) (<= (ite (> var10; var19;) (* -1 var11;) (- var18; (+ var1; var10;))) (* -1 var10;))) true) (* -1 (+ (- var10; var8;) var19;)) (- (+ (ite  false  (- (+ var17; var13;) var19;) (- (+ var10; var18;) (+ var1; var10;))) var18;) (+ var1; var10;))) (* -1 var10;)) (<= (ite (and (or (and (= (- (+ var10; var18;) (+ var1; var10;)) (- (+ var17; var13;) (- (+ var10; var18;) (+ var10; var18;)))) (<= var19; var12;)) (<= (ite (> var10; var19;) (* -1 var11;) (- var18; (+ var1; var10;))) (* -1 var10;))) true) (* -1 (+ (- var10; var8;) var19;)) (- (+ (ite  false  (- (+ var17; var13;) var19;) (- (+ var10; var18;) (+ var1; var10;))) var18;) (+ var1; var10;))) (* -1 var10;))) 8(ite (or (and (>= var19; var7;) (> var12; var19;)) (and (>= var19; var7;) (> var12; var19;))) 7(ite (or (or  false  (and (>= (- var7; var19;) (ite  true  (* 0 var18;) (+ var2; var17;))) (< var6; var19;))) (or  false  (and (>= (- var7; var19;) (ite  true  (* 0 var18;) (+ var2; var17;))) (< var6; var19;)))) 6(ite (or (>= (* 1 (* 0 (* 0 (- (+ var7; var16;) (* 1 var4;))))) (* 12 (+ (ite (< var5; var19;) var19; (ite true var14; var14;)) (* -1 var8;)))) (>= (* 1 (* 0 (* 0 (- (+ var7; var16;) (* 1 var4;))))) (* 12 (+ (ite (< var5; var19;) var19; (ite true var14; var14;)) (* -1 var8;))))) 5(ite (or (and (or (< (* -4 (+ (* -4 (- var19; var6;)) (* 0 (* 10 -1)))) (- (ite true var2; var17;) (ite true var2; var14;)))  false ) (>= var19; (- (* 1 (+ var4; var8;)) (ite (or false false) (+ var7; var1;) (* 1 var8;))))) (and (or (< (* -4 (+ (* -4 (- var19; var6;)) (* 0 (* 10 -1)))) (- (ite true var2; var17;) (ite true var2; var14;)))  false ) (>= var19; (- (* 1 (+ var4; var8;)) (ite (or false false) (+ var7; var1;) (* 1 var8;)))))) 4(ite (or (or (and (>= var4; var19;) (<= (* 1 var3;) (ite true var19; var17;)))  false ) (or (and (>= var4; var19;) (<= (* 1 var3;) (ite true var19; var17;)))  false )) 3(ite (or (and (>= var3; var19;) (> var19; var2;)) (and (>= var3; var19;) (> var19; var2;))) 2(ite (or (>= var1; var19;) (>= var1; var19;)) (- 1 1)(ite (or (or  false  (> var4; var19;)) (or  false  (> var4; var19;))) 1(ite (or (<= var18; var19;) (<= var18; var19;)) 18(ite (or (> var19; var17;) (> var19; var17;)) 17(ite (or (> var19; var16;) (> var19; var16;)) 16(ite (or (<= var15; var19;) (<= var15; var19;)) 15(ite (or (< var14; var19;) (< var14; var19;)) 14(ite (or (not (< var19; var13;)) (not (< var19; var13;))) 13 12)))))))))))))))))),3618
src\main\resources\benchmarks\fg_array_search_18.sl,true,62,(ite (or (and (> var12; var20;) (<= var11; var20;)) (and (> var12; var20;) (<= var11; var20;))) 11(ite (or (or  false  (and  true  (and (<= var20; var12;) (>= var20; var10;)))) (or  false  (and  true  (and (<= var20; var12;) (>= var20; var10;))))) (+ 1 9)(ite (or (not (not (and (< (* 0 (* -18 (* -5 var20;))) (- var20; var9;)) (> (* -6 (- var20; var12;)) (ite (and (and (and  true   true )  true ) (or  false   true )) (* 0 var15;) (* -15 (* -1 (- var14; var2;)))))))) (not (not (and (< (* 0 (* -18 (* -5 var20;))) (- var20; var9;)) (> (* -6 (- var20; var12;)) (ite (and (and (and  true   true )  true ) (or  false   true )) (* 0 var15;) (* -15 (* -1 (- var14; var2;))))))))) 9(ite (or (and (not (< var20; var8;)) (and (not (not  true )) (<= var20; var11;))) (and (not (< var20; var8;)) (and (not (not  true )) (<= var20; var11;)))) 8(ite (or (and (> var20; var7;) (>= var10; var20;)) (and (> var20; var7;) (>= var10; var20;))) 7(ite (or (or  false  (and (< (ite (and (> var5; var20;) (and  true   true )) (+ var16; var13;) (+ var3; var20;)) (ite  false  (* 0 var20;) (+ var3; var6;)))  true )) (or  false  (and (< (ite (and (> var5; var20;) (and  true   true )) (+ var16; var13;) (+ var3; var20;)) (ite  false  (* 0 var20;) (+ var3; var6;)))  true ))) 5(ite (or (and (< var20; var13;) (> var20; var10;)) (and (< var20; var13;) (> var20; var10;))) 12(ite (or (and (< var4; var20;) (>= var6; var20;)) (and (< var4; var20;) (>= var6; var20;))) 4(ite (or (and (<= (ite (< var6; var8;) var2; (- var3; var12;)) var20;) (<= var20; var3;)) (and (<= (ite (< var6; var8;) var2; (- var3; var12;)) var20;) (<= var20; var3;))) 2(ite (or (<= var20; var1;) (<= var20; var1;)) (- 1 1)(ite (or (> var2; var20;) (> var2; var20;)) 1(ite (or (<= var19; var20;) (<= var19; var20;)) 19(ite (or (and (or (and (< (+ (- (- var14; var16;) var14;) (* 2 var20;)) (ite true var20; var17;))  true ) (and (not (not false))  false )) (< var15; var20;)) (and (or (and (< (+ (- (- var14; var16;) var14;) (* 2 var20;)) (ite true var20; var17;))  true ) (and (not (not false))  false )) (< var15; var20;))) 15(ite (or (and (<= var9; var20;) (< (* 1 (- (* 0 (+ (+ var4; var3;) (* -1 var13;))) (ite  true  (- var14; var20;) var9;))) (* 0 var7;))) (and (<= var9; var20;) (< (* 1 (- (* 0 (+ (+ var4; var3;) (* -1 var13;))) (ite  true  (- var14; var20;) var9;))) (* 0 var7;)))) 13(ite (or (> (* 0 (- (* 19 var13;) (+ var5; var7;))) (ite (<= var18; var20;) (* 0 (- (* 19 var13;) (+ var5; var7;))) (* -2 (- var20; var17;)))) (> (* 0 (- (* 19 var13;) (+ var5; var7;))) (ite (<= var18; var20;) (* 0 (- (* 19 var13;) (+ var5; var7;))) (* -2 (- var20; var17;))))) 17(ite (or (and (>= var20; var16;) (< var20; var17;)) (and (>= var20; var16;) (< var20; var17;))) 16(ite (or (>= var20; var18;) (>= var20; var18;)) 18(ite (or (and  true  (>= var20; var14;)) (and (>= (+ var9; var19;) (+ var2; var3;)) (>= var20; var14;))) 14(ite (or (and (>= var20; var5;) (and  true   true )) (and (>= var20; var5;) (and (>= (ite true var4; var2;) (ite true var4; var2;)) (>= var8; var20;)))) 6 3))))))))))))))))))),3051
