Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,10,(ite (or (and (or (< (- var6; var2;) (* -9 (* 18 (- var5; var1;)))) (>= (- var5; var1;) (- var5; var11;))) (<= var11; var2;)) (< (ite false var8; var9;) (ite false var6; var4;))) 1(ite (<= var10; var11;) 10(ite (not (> var9; var11;)) 9(ite (<= var8; var11;) 8(ite (> (* 0 (* 0 var11;)) (* -1 (- var11; var7;))) 7(ite (> var11; var6;) 6(ite (< var5; var11;) 5(ite (<= var4; var11;) 4(ite (< var3; var11;) 3(ite (< var1; var11;) 2 (- 1 1))))))))))),446
src\main\resources\benchmarks\fg_array_search_11.sl,true,11,(ite (and (< var12; var2;) (<= var1; var12;)) 1(ite (> var12; var11;) (+ 1 10)(ite (<= var10; var12;) 10(ite (>= var12; var9;) 9(ite (< var8; var12;) 8(ite (> var12; var7;) 7(ite (not (<= var12; var6;)) 6(ite (or (<= var5; var12;) (>= var4; var11;)) 5(ite (> var12; var4;) 4(ite (> (ite false 1 var12;) (ite false var12; var3;)) 3(ite (or (>= var12; var2;) (> var4; var7;)) 2 (- 1 1)))))))))))),394
src\main\resources\benchmarks\fg_array_search_12.sl,true,17,(ite (and (<= 3 (- var11; var9;)) (and (<= var13; var12;) (and (< var10; var13;) (and (<= var13; var12;) (and (<= var13; var11;) (and (< var10; var13;) (<= var13; var12;))))))) (+ 1 9)(ite (> var13; var12;) 12(ite (and (or (and (not true) (and true true)) (<= var9; var13;)) (> var11; var13;)) 9(ite (and (<= var13; var9;) (<= var8; var13;)) 8(ite (> var10; (ite (< var7; var13;) var13; (ite (or true false) (* 1 var11;) (* 0 var11;)))) 7(ite (and (< var13; var11;) (< var6; var13;)) 6(ite (>= (+ (* 0 var4;) (ite false var6; var1;)) var13;) (- 1 1)(ite (and (>= var13; var4;) (<= var13; var5;)) 4(ite (and (< (ite (< var1; var7;) var13; var5;) var4;) (>= var13; var3;)) 3(ite (and (< var2; var13;) (< var13; var5;)) 2(ite (<= var9; (ite (and (>= var13; var4;) (>= var9; var13;)) var12; (+ var6; (- (+ var6; var1;) (+ var8; var9;))))) 5(ite (> var7; var13;) 1 11)))))))))))),874
src\main\resources\benchmarks\fg_array_search_13.sl,true,20,(ite (and (< var14; var13;) (and (and (> var14; (ite false var1; var11;)) (and (<= var11; var14;) (not (or (= (ite false var2; var14;) (ite (or true (> var14; (ite false var1; var11;))) var9; 1)) (>= (ite true var14; var13;) (- var13; (- var13; var12;))))))) (< var14; var13;))) 11(ite (and (not (< var14; var10;)) (not (< var11; var14;))) (+ 1 9)(ite (and (<= (ite (or false false) 0 var14;) (+ var11; (* 0 var14;))) (>= var14; var9;)) 9(ite (and (or (or (< var8; var14;) false) false) (>= var12; var14;)) 8(ite (and (or (= (ite (not false) (ite true var8; var9;) (ite true -8 var8;)) (* 1 var5;)) (<= var14; var9;)) (and (> var8; var14;) (>= var14; (ite true var7; var6;)))) 7(ite (and (> var14; var6;) (or (= var3; var2;) (> var10; var14;))) 6(ite (and (> var7; var14;) (and (> var7; var14;) (> (- var14; 1) (+ (ite true var5; var11;) (- var7; (ite (and (> var7; var14;) (> var14; var5;)) var13; (ite (> (* 19 (- (ite (= var7; var9;) (* -1 (+ var13; var8;)) (+ var2; var9;)) (* 0 (* 0 var4;)))) (ite true var7; var13;)) var4; var6;))))))) 5(ite (and (>= var14; var4;) (>= var6; var14;)) 4(ite (and (>= (ite false 0 var9;) (ite false var1; var14;)) (> var14; var3;)) 3(ite (and (< var2; var14;) (< var14; var9;)) 2(ite (> var1; var14;) (- 1 1)(ite (not (> var14; var4;)) 1(ite (and (or (or true true) (and false false)) (<= (- var13; var11;) (- var14; var11;))) 13 12))))))))))))),1382
src\main\resources\benchmarks\fg_array_search_14.sl,true,26,(ite (and (and (>= var15; var10;) (< var15; var12;)) (and (>= var15; var11;) (>= var15; var11;))) 11(ite (and (>= (ite (< var15; var9;) (ite true var4; var10;) (ite true var11; var2;)) (- var15; (* -13 (* 0 (* -4 (* 19 var9;)))))) (<= var10; var15;)) (+ 1 9)(ite (and (and (< var8; var15;) (> var10; (ite false var12; var15;))) (< (ite false var12; var9;) var15;)) 9(ite (and (and (not (> var4; var15;)) (> (ite (or (>= (* 1 var8;) var15;) (= (ite false var5; var13;) (ite true var2; var8;))) (ite (<= 0 var8;) (- var2; var11;) (ite false var4; 1)) (+ (- (* 0 var12;) (* 1 var8;)) (+ (* 1 var9;) (- var13; var6;)))) (- var13; var6;))) (< var15; var9;)) 8(ite (and (<= var15; var12;) (or (<= var7; var15;) false)) 7(ite (and (<= var6; var15;) (>= (- var7; var15;) 1)) 6(ite (and (< var15; var10;) (<= var5; var15;)) 5(ite (not (or (< var12; var15;) (> var4; var15;))) 4(ite (< var3; (ite (> var11; var15;) var15; var2;)) 3(ite (>= var1; var15;) (- 1 1)(ite (and (< (ite true var15; var3;) var13;) (>= var15; var9;)) 12(ite (< var15; var2;) 1(ite (< var14; var15;) 14(ite (or (not true) (>= var15; var3;)) 13 2)))))))))))))),1122
src\main\resources\benchmarks\fg_array_search_15.sl,true,39,(ite (> (+ (ite (>= var11; var16;) (- var12; 19) var11;) (* -1 (* 0 -1))) (ite (not (< var16; var11;)) (+ (- var11; var12;) (ite true var16; var5;)) (- var12; 19))) 11(ite (<= (* -17 (ite (>= (ite true var16; var16;) (+ var10; 0)) (ite (< var9; var13;) (- var12; var16;) (ite true var8; var1;)) (- var5; var9;))) (* 0 (ite false var10; var12;))) (+ 1 9)(ite (and (>= var16; var9;) (>= var10; (ite true var16; (+ var7; var9;)))) 9(ite (and (< var8; var16;) (not (<= var12; var16;))) 8(ite (and (<= var7; var16;) (>= var12; var16;)) 7(ite (and (>= var16; var6;) (> (+ (ite (>= var16; var6;) (ite true 0 var10;) (* 1 var4;)) var7;) var16;)) 6(ite (and (> (* 1 var13;) var16;) (< (+ var9; var8;) (- var16; (- 1 var16;)))) 12(ite (<= (ite (> (* 1 var16;) var15;) (- (* 0 var3;) (- (ite true var2; var3;) (* 1 var16;))) (* 0 (ite (< var14; (* 1 var16;)) (+ var3; var11;) (* -7 var2;)))) (+ (- (* 0 var7;) (- var9; var9;)) (ite (< var14; var16;) (* 0 (ite true var9; var15;)) (+ (- var6; var10;) (* 0 var7;))))) 14(ite (and (and (or (and (> var5; var8;) (= (- var13; (- var14; var10;)) (- var9; var10;))) (not (<= (- var16; var8;) (- var3; var8;)))) (not (<= (- var16; var8;) (- var2; var8;)))) (not (<= var4; (ite false var13; var16;)))) 3(ite (> var16; var15;) 15(ite (>= var1; var16;) (- 1 1)(ite (not (> var16; var2;)) 1(ite (>= var16; var13;) 13(ite (and (>= var5; var16;) (and (>= var16; var3;) (and (<= var16; var5;) (and (< var16; var5;) (>= var10; var5;))))) 4(ite (> var16; var4;) 5 2))))))))))))))),1502
src\main\resources\benchmarks\fg_array_search_16.sl,true,32,(ite (and (> (ite true var12; var8;) var18;) (<= var11; var18;)) 11(ite (and (>= var18; var10;) (not (>= var18; var12;))) (+ 1 9)(ite (and (> var11; (* -1 (* -1 var18;))) (>= var18; var9;)) 9(ite (and (<= (- var18; var11;) (* 0 var17;)) (< var8; var18;)) 8(ite (and (< var7; var18;) (>= (- var11; var18;) (* 0 var2;))) 7(ite (and (>= var9; var18;) (or (<= (+ var16; var13;) (ite (not false) (+ var12; var3;) (+ var1; (+ var8; var18;)))) (< (+ var8; var6;) (ite (< var13; var14;) (+ var8; var18;) (- (ite false var5; var16;) (* -3 var3;)))))) 6(ite (and (< (ite true var18; var16;) (* 1 var12;)) (> var18; var5;)) 5(ite (and (> var8; var18;) (> var18; (ite (> (* 1 (+ var11; -7)) (ite (>= var17; var15;) var4; (* 0 var4;))) var4; var11;))) 4(ite (>= var8; (- (* 1 (ite (not true) (* 13 var4;) (* 0 var17;))) (ite (<= var3; var18;) (+ (- var9; (* 1 var18;)) (- 3 var18;)) (- (* 0 var2;) (ite true var15; var18;))))) 3(ite (>= var1; var18;) (- 1 1)(ite (and (> var18; var8;) (< var18; var13;)) 12(ite (<= (- (ite (> var18; var14;) (- var2; var15;) (- var16; var1;)) var2;) (- (ite true var18; var1;) (+ var18; var18;))) 14(ite (<= var17; var18;) 17(ite (>= var18; var16;) 16(ite (< var15; var18;) 15(ite (> var2; var18;) 1(ite (<= var12; var18;) 13 2))))))))))))))))),1264
src\main\resources\benchmarks\fg_array_search_17.sl,true,33,(ite (and (<= var11; var19;) (>= var12; (ite (and true false) (ite (>= var12; 0) var9; var19;) (ite true var19; var3;)))) 11(ite (and (and (< var10; (ite false var14; var19;)) (<= var3; var19;)) (< (ite false var16; var19;) var12;)) (+ 1 9)(ite (and (<= var19; var9;) (and (< var8; var19;) (or false true))) 8(ite (and (>= var13; var19;) (< (ite true var10; var1;) var19;)) 12(ite (and (> var15; var19;) (<= var14; var19;)) 14(ite (>= (ite (> var7; var19;) var19; var3;) var6;) 6(ite (and (and (> var6; var19;) (> var19; var4;)) (> var19; var5;)) 5(ite (and (<= var19; var5;) (<= (* -1 (- var19; var4;)) (* 0 (ite true var18; var7;)))) 4(ite (and (or (> var2; var17;) (or (<= var19; var4;) (and true false))) (and (< var2; var15;) (<= var3; var19;))) 3(ite (and (> var6; var19;) (<= var2; var19;)) 2(ite (>= var1; var19;) (- 1 1)(ite (and (> var5; var19;) (<= var2; var3;)) 1(ite (>= var19; var18;) 18(ite (> var19; var17;) 17(ite (or (> var19; var16;) (= var13; var10;)) 16(ite (<= (ite true var15; var14;) (ite false var12; var19;)) 15(ite (not (> var19; var9;)) 7(ite (> (* 1 var19;) var11;) 13 9)))))))))))))))))),1117
src\main\resources\benchmarks\fg_array_search_18.sl,true,43,(ite (and (< var11; var20;) (<= var6; (ite (> var20; var12;) (ite true (ite false var13; var3;) var11;) (ite false var8; var15;)))) 11(ite (and (> var11; var20;) (> var20; var10;)) (+ 1 9)(ite (and (not (< (+ (ite true var12; var12;) (- var7; var7;)) var20;)) (> var20; var9;)) 9(ite (and (not (>= (ite (or false false) (ite true var15; var16;) (ite true var20; var18;)) (ite false var12; var9;))) (<= var8; var20;)) 8(ite (and (<= var6; var20;) (>= (- (ite false var6; var14;) (- var14; var7;)) var20;)) 6(ite (and (< (* 1 var20;) (ite true var13; var2;)) (not (>= var12; var20;))) 12(ite (and (<= var5; var20;) (>= var7; var20;)) 5(ite (and (< var4; var20;) (< (+ (ite true var11; var5;) (* 1 var20;)) (+ var6; var11;))) 4(ite (and (> (+ (- var4; var3;) (ite true 0 var5;)) (ite (not false) (- var4; var20;) (- var8; (+ (- var16; (- var8; (- var3; var3;))) (ite true var16; var3;))))) (or (<= var20; var4;) (and true false))) 3(ite (and (not (> var2; var20;)) (or (> var7; var20;) (not true))) 2(ite (> (+ 1 var1;) (ite false var9; var20;)) (- 1 1)(ite (or (<= var20; var7;) (< var3; var3;)) 1(ite (or (<= (ite false var20; var19;) (ite true var20; var10;)) (and (not (> var16; var11;)) (not (not false)))) 19(ite (or (not (not (and (= var13; var5;) (and true false)))) (> (- (* -1 (* -15 0)) (+ (- var18; var20;) (* -15 0))) (ite (and (> var14; var11;) (>= var20; var17;)) (* 19 (* -14 (- var18; var20;))) (* -15 0)))) 17(ite (not (>= var18; var20;)) 18(ite (> var20; var16;) 16(ite (>= var20; (ite (<= var15; var16;) var15; var17;)) 15(ite (and (<= var20; var14;) (< (+ (* 0 (+ var5; var17;)) var9;) var20;)) 13(ite (and (>= var12; var20;) (and (>= (* 1 var20;) var6;) true)) 7 14))))))))))))))))))),1703
