Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,TRUE,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,TRUE,9,(ite (> (ite (not (> var1; (ite true var8; var7;))) var2; var10;) (ite (< var11; var1;) var8; var11;)) 1(ite (and (>= (* -1 var10;) (* -1 var11;)) (or (> var11; var8;) (or false false))) 10(ite (< var9; var11;) 9(ite (>= var11; var8;) 8(ite (>= var11; var7;) 7(ite (< var6; var11;) 6(ite (< (- var5; var11;) (* 0 var5;)) 5(ite (<= (+ (- var11; var11;) var4;) var11;) 4(ite (not (>= var3; var11;)) 3(ite (>= (ite false var10; var11;) var1;) 2 (- 1 1))))))))))),459
src\main\resources\benchmarks\fg_array_search_11.sl,TRUE,11,(ite (and (< var12; var2;) (<= var1; var12;)) 1(ite (not (not (> var12; var11;))) (+ 1 10)(ite (or (< var10; var12;) (< var7; var1;)) 10(ite (>= var12; var9;) 9(ite (<= var8; var12;) 8(ite (>= (- var12; var7;) (* 0 var6;)) 7(ite (not (<= var12; var6;)) 6(ite (> var12; var5;) 5(ite (and (or (or false true) (<= var11; var11;)) (not (< var12; var4;))) 4(ite (> var12; var3;) 3(ite (or (< var1; var12;) (not (not (= var4; var1;)))) 2 (- 1 1)))))))))))),450
src\main\resources\benchmarks\fg_array_search_12.sl,TRUE,16,(ite (and (> var12; (* 1 var13;)) (< var11; var13;)) 11(ite (and (> (- (ite true (- (* 6 var9;) (- var9; var13;)) var4;) (* -1 var9;)) (* -1 (- (ite true (- (* 13 var11;) (* 6 var9;)) var4;) (* 14 var13;)))) (<= var10; var13;)) (+ 1 9)(ite (and (>= var13; var9;) (> (- (ite true var12; var9;) (- var13; var4;)) var4;)) 9(ite (and (not (>= var13; var11;)) (or (<= var8; var13;) (< (ite false (ite (< var3; var8;) (+ var6; var8;) (* -13 (* -4 var13;))) var8;) var13;))) 8(ite (and (>= (ite false var12; var9;) (ite true var13; var7;)) (< var7; var13;)) 7(ite (and (< var6; var13;) (> (+ var8; 0) var13;)) 6(ite (not (or (< var10; var13;) (or (< var13; var5;) (> var4; var13;)))) 5(ite (and (<= (ite (<= var6; var10;) (ite true var4; var3;) (- var12; var11;)) var13;) (>= var11; (ite false var11; var13;))) 4(ite (and (and (<= var3; var13;) (>= var9; var13;)) (< var2; var6;)) 3(ite (and (<= var2; var13;) (<= (* -11 (ite (or (and false false) (>= var13; var5;)) (* 0 var3;) (- var12; var4;))) (ite (and (not true) (>= var13; var3;)) (ite (<= var8; var7;) (- var7; var9;) (+ var9; var12;)) (- (ite false var3; var4;) (ite false var11; var10;))))) 2(ite (< var13; var1;) (- 1 1)(ite (or (= var7; var8;) (>= var10; var13;)) 1 12)))))))))))),1235
src\main\resources\benchmarks\fg_array_search_13.sl,TRUE,22,(ite (and (< var14; var12;) (>= var14; (* 1 var11;))) 11(ite (and (> (ite (> var14; var10;) (ite false var2; var11;) (* 1 var10;)) var14;) (> (ite (> var14; var10;) (ite false var2; var11;) (- (ite true var10; -12) (* -1 1))) (- (ite true var10; -12) (* -1 1)))) (+ 1 9)(ite (and (<= (- var14; (* 0 var4;)) (ite (< (ite true var8; var12;) var14;) var9; (* -17 var13;))) (< var8; (- var14; (* 0 var4;)))) 8(ite (> (ite (not (< (ite (= var9; 0) var4; var10;) (- (ite (= var9; 0) var4; var10;) (- var13; var14;)))) var14; var2;) (+ var12; 0)) 12(ite (and (>= var14; var7;) (> (* 0 (* 0 (+ var6; var13;))) (- var14; var9;))) 7(ite (and (>= var8; var14;) (<= var6; var14;)) 6(ite (and (not (>= var5; var14;)) (>= (ite false var4; var7;) var14;)) 5(ite (and (< var14; var2;) (and (and (and (<= var14; var2;) (> var14; (ite false var14; var1;))) (> var2; (ite false var6; var14;))) (<= var14; var2;))) 1(ite (and (< var3; var14;) (<= var14; var4;)) 3(ite (and (and (>= var4; var14;) (>= var14; (* 1 (ite true var2; var11;)))) (>= var4; var14;)) 2(ite (not (< var4; var14;)) (- 1 1)(ite (or (>= var5; var14;) (and false true)) 4(ite (< var11; var14;) 13 9))))))))))))),1160
src\main\resources\benchmarks\fg_array_search_14.sl,TRUE,51,(ite (and (>= var15; var11;) (and (>= var14; var2;) (and (or (or true true) (< var15; (- var11; -1))) (<= (ite (> (ite (or false false) (+ var13; var10;) (- var11; -1)) (ite (>= var14; var2;) (- var15; 0) (* 0 var14;))) (* -17 (- (- var3; var9;) (ite true var1; var12;))) (* -1 (* 9 (+ var15; var12;)))) (ite (= (ite (or (not false) (>= var3; var7;)) (ite false var1; var14;) (- var5; var1;)) (ite (> (* -1 var6;) var13;) (+ var3; var13;) (ite false var5; var15;))) (+ (- var3; var9;) (+ (ite true var1; var12;) (+ var15; var12;))) (ite (<= var11; var15;) (* -1 (* 9 (+ var15; (ite false var5; var15;)))) (ite (or false false) (* 1 var5;) (* 1 var3;)))))))) 11(ite (and (or (= var2; var10;) (and (> var15; (+ (- var1; var1;) (* 1 var9;))) (< var15; var10;))) (or (and (>= var6; var10;) false) (<= var2; var15;))) 9(ite (not (> (ite (> var12; (ite (>= var15; var11;) var13; var10;)) var12; (ite (>= var15; var10;) (* 1 var15;) (* -18 (ite (< var11; var15;) var13; var10;)))) (ite (< var11; var15;) var13; var10;))) 12(ite (< (ite (>= var8; var15;) var7; (+ (- var8; var1;) (- var4; var2;))) (ite (<= (+ (- var8; var1;) (- var4; var2;)) (ite (>= var2; var1;) (- var7; var1;) (+ var7; var12;))) (ite (= (* 1 var14;) (ite true var8; var1;)) (- (ite true var1; var2;) (ite true var7; var11;)) (- (- var4; var13;) (ite true var9; var9;))) (ite (and (> var14; var4;) (> var15; var8;)) (* 11 (- var6; var11;)) (ite (>= var9; var15;) (ite true var15; var4;) (ite true var6; var12;))))) 7(ite (<= var14; var15;) 14(ite (and (>= (ite true var15; var13;) (ite true var3; var15;)) (< var15; var4;)) 3(ite (<= var13; var15;) 13(ite (> var1; var15;) (- 1 1)(ite (and (<= var15; var4;) (< (* 0 var1;) (+ (- var15; var2;) (* 0 var1;)))) 2(ite (and (>= var5; var2;) (and (<= var15; var2;) (< var6; var7;))) 1(ite (> var5; var15;) 4(ite (and (<= var5; var15;) (and (< var5; var12;) (and (< var5; var11;) (>= var6; var15;)))) 5(ite (and (> var15; var4;) (>= var7; var15;)) 6(ite (and (< var9; var15;) (<= var9; var14;)) (+ 1 9) 8)))))))))))))),2023
src\main\resources\benchmarks\fg_array_search_15.sl,TRUE,23,(ite (and (< (ite (and false true) (- var12; var9;) (- var16; var11;)) (- var12; (ite true var11; var7;))) (>= var16; var11;)) 11(ite (and (< var10; var16;) (>= (- var11; var9;) (- var16; var9;))) (+ 1 9)(ite (and (< (ite false var2; var16;) var12;) (<= var9; var16;)) 9(ite (and (>= var16; (ite (not (and true true)) (+ (+ var14; var13;) (* 0 var10;)) var8;)) (>= var10; var16;)) 8(ite (and (<= (ite false var4; var7;) (ite false 6 var16;)) (< var16; var8;)) 7(ite (and (> var16; var6;) (>= (* 1 (ite (not true) (* -4 var1;) (ite false var5; var7;))) (ite true var16; 0))) 6(ite (and (> var16; var5;) (>= var10; var16;)) 5(ite (and (< var16; var10;) (>= (ite true var16; var4;) (ite true var4; var11;))) 4(ite (and (and (> var7; var16;) (and (> var7; var16;) (and (> var7; var16;) (<= (- (+ var13; var3;) var16;) var13;)))) (< var16; var13;)) 3(ite (>= var8; (+ (ite (>= var3; var15;) (- (ite false var2; var4;) (- var3; var15;)) (ite (not (>= var16; var2;)) var13; (- var16; 1))) (* 0 (- (- var9; (- var13; var7;)) (- var6; var9;))))) 2(ite (> var1; var16;) (- 1 1)(ite (< var16; var5;) 1(ite (<= var15; var16;) 15(ite (> var16; var14;) 14(ite (or (= var4; var8;) (and (or (= var1; var3;) true) (< var13; var16;))) 13 12))))))))))))))),1237
src\main\resources\benchmarks\fg_array_search_16.sl,TRUE,37,(ite (and (> var18; var11;) (< var18; var12;)) 11(ite (and (or (>= (- (ite false var2; var7;) (* -3 var15;)) (- (ite false var2; var7;) (* -3 var15;))) (<= (- (- var5; var11;) (* 0 var8;)) (+ (- var3; var12;) (ite false var11; (* -8 (+ var12; var18;)))))) (and (not (or (= var9; var14;) (>= var10; var18;))) (and (>= var18; var9;) (< (ite false var8; var18;) var12;)))) (+ 1 9)(ite (and (< var9; var18;) (< var18; var11;)) 9(ite (and (not (and (< var12; var18;) (<= var5; var10;))) (>= var18; (ite false var17; var8;))) 8(ite (and (> var10; var18;) (<= var7; (ite (> var9; var3;) var18; 9))) 7(ite (and (>= var18; var6;) (not (> (ite true var18; var7;) (ite true var12; var1;)))) 6(ite (and (< var5; var18;) (> var12; var18;)) 5(ite (and (and (> var6; var18;) (<= var4; var18;)) (> (+ (ite true (ite false var14; var14;) (ite false (- (* -19 var11;) (+ var6; var4;)) var15;)) (ite true var6; var15;)) (+ (+ (+ (- var6; var18;) (- var5; var3;)) var1;) var18;))) 4(ite (and (< var3; var18;) (or (>= var7; var18;) (and false true))) 3(ite (and true (< var18; var1;)) (- 1 1)(ite (and (< var3; (ite true var18; var4;)) (> var13; var18;)) 12(ite (>= var18; var17;) 17(ite (or (not true) (> var2; var18;)) 1(ite (> var18; (* 1 var16;)) 16(ite (>= (+ var8; var18;) (+ var15; var8;)) 15(ite (and (or (< var10; (+ (ite false 0 var4;) (* 0 var18;))) (<= (- (ite true var18; var7;) (* 0 var18;)) var14;)) (< var5; var18;)) 13(ite (and (> var9; var18;) (<= var8; var14;)) 2 14))))))))))))))))),1481
src\main\resources\benchmarks\fg_array_search_17.sl,TRUE,31,(ite (or (> var3; var14;) (and (not (<= var12; var19;)) (<= var11; var19;))) 11(ite (and (> var19; var10;) (<= var19; var11;)) (+ 1 9)(ite (or (< var10; var1;) (and (< var19; var10;) (>= var19; var9;))) 9(ite (and (>= (* 1 var12;) var19;) (or (>= var19; var8;) (and true false))) 8(ite (and (not (>= (- (ite false var11; var19;) var9;) (ite (not (<= var19; var6;)) (- var12; var19;) (+ var10; var16;)))) (<= var7; var19;)) 7(ite (and (and (< var6; var19;) (> var15; var3;)) (>= (* 18 var9;) (* 6 (* 3 var19;)))) 6(ite (and (< var5; var19;) (not (> var19; var11;))) 5(ite (and (> var19; (ite false 1 var4;)) (> (- var5; var19;) (* 13 0))) 4(ite (and (< var19; var8;) (or (< (+ var3; var8;) (+ var8; (ite (not false) var19; 1))) (> var3; var4;))) 3(ite (and (<= (ite false 0 var19;) (* 1 var5;)) (or (not true) (> var19; var2;))) 2(ite (> var1; var19;) (- 1 1)(ite (or (>= (* 0 (* -5 var3;)) (ite (< var8; var15;) (- var19; var11;) (ite true var6; 0))) (and (or (>= var11; var12;) (not true)) (= (- var18; var11;) (- var4; var8;)))) 1(ite (<= (ite (not (<= var12; var3;)) var18; var14;) var19;) 18(ite (> var19; var17;) 17(ite (<= var16; var19;) 16(ite (<= var15; var19;) 15(ite (> (* 0 (- (* 1 (+ var15; var10;)) (ite true var18; var16;))) (ite (and (or (< var1; var15;) (or false false)) (or (<= var4; var6;) (or false true))) (- (* -10 (- var19; var14;)) (* 0 var15;)) (ite (>= (* -1 0) (ite false var1; var5;)) (- (- var10; var1;) (ite true var12; var8;)) (+ (* -1 var19;) (* 0 var4;))))) 14(ite (> var19; var13;) 13 12)))))))))))))))))),1539
src\main\resources\benchmarks\fg_array_search_18.sl,TRUE,48,(ite (and (>= var20; var11;) (< var20; (* 1 var12;))) 11(ite (and (< var10; var20;) (> var11; var20;)) (+ 1 9)(ite (and (<= var9; var20;) (and (<= var9; var20;) (and (<= var9; var20;) (> (ite (or (not (< var20; var15;)) (> var15; var17;)) var7; var11;) var20;)))) 9(ite (and (<= (+ 0 var8;) var20;) (>= (+ (* 0 var5;) (* 0 var5;)) (- var20; (ite (>= var20; var7;) var9; var16;)))) 8(ite (and (and (not false) (> var12; var20;)) (< var7; var20;)) 7(ite (and (< (+ var20; var8;) (+ var8; var7;)) (> var20; var6;)) 6(ite (or (and (= (- var14; var10;) (+ var6; var13;)) (>= (- (ite (and true false) (- var18; var3;) (* -6 var13;)) (+ (+ var9; var17;) (- var16; var10;))) (ite true var14; var12;))) (and (< (- var9; var20;) (- var6; var6;)) (>= var13; var20;))) 12(ite (and (< var14; var20;) (>= var15; var20;)) 14(ite (and (< var20; var4;) (> var20; var3;)) 3(ite (and (> var4; var20;) (and (> (- var20; (ite (> (ite false var2; var4;) var20;) var2; var7;)) (* 0 (+ var19; var9;))) (not (< var18; var16;)))) 2(ite (not (not (and (or (< -1 var9;) (or true true)) (not (>= var20; var1;))))) (- 1 1)(ite (<= var20; var3;) 1(ite (< var19; var20;) 19(ite (and (> var20; var15;) (< var20; var16;)) 15(ite (and (>= (ite false (* 0 (ite false var4; var20;)) var18;) var20;) (> (ite false var4; var20;) var17;)) 17(ite (and (>= var20; var14;) (<= var20; var18;)) 16(ite (and (and (< var20; (+ (* 0 (* -4 var7;)) (ite true var15; var20;))) (not false)) (>= var20; var6;)) 13(ite (and (>= var5; var20;) (> var13; var20;)) 4(ite (>= var7; var20;) 5 18))))))))))))))))))),1554
