Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\benchmarks\diff.sl,true,0,(ite (>= y x) (- x y) (- y x)),30
src\main\resources\benchmarks\fg_array_search_10.sl,true,10,(ite (and (<= var11; var2;) (not (<= var4; (- (+ var1; var4;) var11;)))) 1(ite (< var10; var11;) 10(ite (> var11; var9;) 9(ite (or (>= var3; var10;) (>= var11; var8;)) 8(ite (and (< (ite false var10; var7;) (* 1 var11;)) (< (+ var2; var4;) (+ var4; var4;))) 7(ite (or false (>= var11; var6;)) 6(ite (>= (ite (>= (ite false var9; var10;) var9;) (ite (and true true) var11; var4;) var10;) var5;) 5(ite (< var4; var11;) 4(ite (or (<= var3; var11;) (or false false)) 3(ite (not (>= var1; var11;)) 2 (- 1 1))))))))))),512
src\main\resources\benchmarks\fg_array_search_11.sl,true,13,(ite (and (> var2; var12;) (and (and (> var2; var12;) (> var2; var12;)) (and (> var2; var12;) (< (+ var7; var1;) (+ var7; var12;))))) 1(ite (< var11; var12;) (+ 1 10)(ite (not (>= var10; var12;)) 10(ite (<= var9; var12;) 9(ite (or (< var9; var4;) (>= var12; var8;)) 8(ite (or (>= var12; var7;) (> var4; var10;)) 7(ite (>= var12; var6;) 6(ite (or (>= var5; var9;) (<= var5; var12;)) 5(ite (<= var4; var12;) 4(ite (not (<= var12; var3;)) 3(ite (< var2; var12;) 2 (- 1 1)))))))))))),479
src\main\resources\benchmarks\fg_array_search_12.sl,true,22,(ite (and (> (* 0 (* -1 var3;)) (ite (>= (- var6; var1;) (- var2; var1;)) (* 8 (- var13; var11;)) (ite (and false false) (- (+ var5; var7;) (* 1 var6;)) (+ 1 var8;)))) (< var10; var13;)) (+ 1 9)(ite (or (not true) (< var12; var13;)) 12(ite (>= var13; (ite (> var13; var10;) var12; var9;)) 9(ite (and (>= (ite true var10; var5;) var13;) (> var13; var8;)) 8(ite (< (ite (<= var7; var13;) var13; var11;) var9;) 7(ite (<= (ite (> var13; var6;) var2; var7;) (ite (>= var13; var7;) (ite false var3; var1;) var13;)) 6(ite (> var1; var13;) (- 1 1)(ite (not (< (* 0 (+ (* -7 var13;) (- var8; var5;))) (- (- (- var13; var4;) (ite (not (< var13; var3;)) (* 0 var3;) (- (- var13; var4;) (* 0 (- var13; var4;))))) (ite (not (< var13; var3;)) (* 0 var3;) (- var2; var12;))))) 3(ite (and (or (> var8; var13;) (>= var3; var12;)) (>= var13; var5;)) 5(ite (not (or (>= var13; var3;) (<= var13; var2;))) 2(ite (>= (+ 0 var3;) var13;) 1(ite (and (>= var13; var11;) (< var2; var13;)) 11 4)))))))))))),979
src\main\resources\benchmarks\fg_array_search_13.sl,true,23,(ite (and (>= (- (ite true var12; var4;) var14;) (* -9 (* 0 var5;))) (> var14; var11;)) 11(ite (<= (* 7 (ite (>= var14; var10;) (* 0 (+ var7; var12;)) (- var12; var10;))) (ite (> var14; var10;) (- var12; (ite (> var6; var5;) var14; (* 12 var10;))) (- var12; var10;))) (+ 1 9)(ite (and (> (+ var6; var11;) (+ var14; var6;)) (> var14; var9;)) 9(ite (and (<= (ite (<= (* 0 var11;) (* -5 3)) (ite (>= var10; var11;) (ite true var10; var7;) (- var14; var7;)) (ite (>= var7; var14;) var5; (* 0 var7;))) (ite (not (< var14; var8;)) (+ (- var12; var14;) (* 1 -1)) (- (- var4; var6;) (- var6; var2;)))) (< (* -1 (ite (not false) (- var12; var1;) (+ var11; var11;))) (+ (* -1 (ite (not false) (- var12; var1;) (+ var11; var11;))) (ite (>= var10; var11;) (ite true var10; var7;) (- var14; var7;))))) 8(ite (and (>= var14; var7;) (>= var10; var14;)) 7(ite (and (< var6; var14;) (< var14; var11;)) 6(ite (and (> (* 0 -4) (- var14; var5;)) (> (+ var14; var14;) (+ var14; var4;))) 4(ite (>= (- (+ (ite (not true) (* 1 var7;) (- var5; var5;)) (* 0 (* 0 (ite true var6; var10;)))) (+ (ite (and (>= (ite (and false false) (* 17 (* 0 var12;)) (ite false var10; var14;)) var14;) (>= var13; var14;)) (+ (ite (not true) var7; 0) (+ var11; var10;)) (ite true var14; var4;)) (ite (not true) var7; 0))) (- (* 0 var3;) (ite (>= var13; var14;) (+ (ite true var14; var5;) (ite true var14; var4;)) (ite (not true) (+ var3; var10;) (ite (>= (- var5; var2;) var14;) (* 1 var3;) (- var1; var1;)))))) 12(ite (and (> (ite (>= var8; var1;) (- var5; var14;) (ite (< (ite (<= var10; var12;) (- var10; var8;) var6;) (+ (ite false var9; var14;) (* 11 var5;))) var10; var14;)) (* 0 var13;)) (or (< var12; var12;) (> var14; var3;))) 3(ite (< (ite (not (and false false)) (+ (ite true var2; var5;) (- var14; var3;)) (* 9 var11;)) (ite (<= (* -16 var14;) (* -16 (ite true var2; (+ (+ (ite true var2; var5;) (- var14; var3;)) (ite true var2; var12;))))) (ite true var2; (+ var14; var10;)) (- (+ var14; (ite (not (and false false)) (+ (ite true var2; var5;) (- var14; var3;)) var11;)) var11;))) 2(ite (> var1; var14;) (- 1 1)(ite (< var14; var4;) 1(ite (<= var8; var14;) 13 5))))))))))))),2143
src\main\resources\benchmarks\fg_array_search_14.sl,true,23,(ite (and (>= var15; var11;) (not (> var15; var12;))) 11(ite (< var10; (ite (or (<= (ite false var5; var11;) var4;) (> (+ -6 var13;) (- var15; (- var12; (+ -6 var13;))))) var15; var9;)) (+ 1 9)(ite (and (<= var9; var15;) (> var12; var15;)) 9(ite (and (> var15; var8;) (<= (ite (and (>= (* -1 (+ (* -1 var9;) (- var6; var3;))) var11;) (not false)) (- var6; var11;) (ite (>= var8; var9;) (* 5 var9;) (* 12 (* 0 var8;)))) (- var12; var15;))) 8(ite (> (- (* -1 (ite true var9; var12;)) (ite (>= var15; var7;) (* -2 var10;) (+ (- (ite (> var15; (- (ite (> var15; var7;) (* 1 (* -1 var12;)) (+ (* 19 var13;) (* 5 var6;))) (+ var15; var6;))) (* 1 (* -1 var12;)) (- (ite (> var15; var7;) (* 1 (* -1 var12;)) (+ (* 19 var13;) (* 5 var6;))) (+ var15; var6;))) (+ var15; var6;)) (- (ite (> var15; var7;) (* 1 (* -1 var12;)) (* 5 (* -1 var12;))) (+ var15; var6;))))) (+ (- (ite true var3; var3;) (ite true var3; var3;)) (+ (- (- (+ var15; var10;) (- var10; var14;)) (ite (= var9; var4;) (+ var1; var2;) (+ var8; var14;))) var10;))) 7(ite (and (<= var6; var15;) (> var12; var15;)) 6(ite (and (not (< var15; var5;)) (> (+ 0 var12;) var15;)) 5(ite (and (and (or false true) (and (< var15; var7;) (< var3; var15;))) (> var15; var4;)) 4(ite (and (<= var15; var12;) (not (<= var15; var3;))) 3(ite (>= (- (+ var6; var7;) (+ var6; var7;)) (* -6 (ite (< var8; var15;) (- var3; var10;) (- var15; var2;)))) 2(ite (> var1; var15;) (- 1 1)(ite (or (or false false) (< var15; var9;)) 1(ite (> var15; var14;) 14(ite (>= (* 0 (+ var11; var1;)) (- (ite false var12; var13;) (ite true var15; var15;))) 13 12)))))))))))))),1591
src\main\resources\benchmarks\fg_array_search_15.sl,true,24,(ite (and (< var11; var16;) (<= (ite true var16; var16;) var12;)) 11(ite (and (> (ite (and true (<= var3; var16;)) (ite false var16; var11;) var16;) var16;) (>= var16; var10;)) (+ 1 9)(ite (and (<= var9; var16;) (> (* 1 var11;) var16;)) 9(ite (and (<= var8; var16;) (or false (>= var10; var16;))) 8(ite (and (>= var10; var16;) (>= var16; var7;)) 7(ite (not (or (< var16; var6;) (>= (* 0 var5;) (- var8; var16;)))) 6(ite (and (>= var16; var5;) (> (- var7; var16;) 0)) 5(ite (and (or (<= (ite (<= var14; var13;) var5; var16;) (ite (<= 0 var4;) var5; (- var7; 0))) (and (= (- var12; var2;) (* 0 var14;)) (> (+ 0 var8;) (* 16 var4;)))) (< var4; (ite (< var13; var8;) (ite true var6; var16;) var16;))) 4(ite (and (>= (- var16; (- var2; var9;)) (- (* 1 var9;) (- var2; var3;))) (and (and (or (or false false) (<= var16; var9;)) true) (>= (- var16; (- var2; var9;)) (+ (- var2; 0) (- var9; var16;))))) 3(ite (and (or (<= var16; var7;) (= var9; var5;)) (and (>= var4; var16;) (<= (ite (>= var8; var16;) var2; var16;) (ite true var16; var13;)))) 2(ite (and (< var3; var12;) (> var1; var16;)) (- 1 1)(ite (not (or (= 0 -11) (> var16; var8;))) 1(ite (<= var15; var16;) 15(ite (<= var14; var16;) 14(ite (> var16; var13;) 13 12))))))))))))))),1229
src\main\resources\benchmarks\fg_array_search_16.sl,true,30,(ite (and (not (< (ite (>= (- var14; var16;) (- var13; var7;)) (ite true var15; 0) (ite true var18; var14;)) (ite false (ite false var9; 0) var18;))) (not (or (> (ite (and false false) (ite true var12; -8) (ite true var11; 1)) var18;) (not (< (+ (* -14 0) (ite true var18; var14;)) (ite (> var18; var9;) (ite true var12; -8) 0)))))) 11(ite (and (and (< (- var18; (- var13; var16;)) var16;) (and (< (- var18; (- var13; var16;)) var16;) (>= var18; var10;))) (and (< (- var18; (- var11; var16;)) var16;) (>= var18; var10;))) (+ 1 9)(ite (and (<= var9; var18;) (> var12; var18;)) 9(ite (and (<= var8; var18;) (< var18; (ite true var9; var2;))) 8(ite (and (<= (- var18; var11;) (* 0 var8;)) (<= var7; var18;)) 7(ite (and (< var6; var18;) (>= (+ (- var8; var4;) (- var4; var18;)) (* 0 (ite (< var14; var7;) (* 8 (* 0 var10;)) (* 0 var10;))))) 6(ite (and (>= (* -1 var18;) (- (* -1 var7;) (* 0 var4;))) (> var18; var5;)) 5(ite (< (- var4; (ite true var18; var4;)) (ite (>= var8; var18;) (ite (< var15; var2;) (ite false var3; var11;) (* 0 var4;)) (* 17 (ite (and true false) (+ var9; var17;) (- var4; (ite true var18; (- var6; var2;))))))) 4(ite (and (>= var11; var18;) (< var3; var18;)) 3(ite (and (<= var2; var18;) (or (not (not false)) (and (>= var17; var1;) (> var3; var18;)))) 2(ite (<= var18; var1;) (- 1 1)(ite (< var18; var12;) 1(ite (not (> var17; var18;)) 17(ite (not (<= (+ (- var16; var16;) (- var18; var16;)) (* -1 (* 0 var8;)))) 16(ite (< var15; var18;) 15(ite (>= var18; var14;) 14(ite (< var13; (ite (and true true) var18; var3;)) 13 12))))))))))))))))),1562
src\main\resources\benchmarks\fg_array_search_17.sl,true,59,(ite (and (and (< (ite (or false false) (+ var16; var18;) (ite true var9; var14;)) (- var19; 1)) (< var19; var11;)) (> (ite (<= var8; var8;) (+ (ite (< var19; var11;) (* -1 var10;) (+ var12; var7;)) (ite (< var16; var1;) (ite (or false false) (* -11 var3;) var7;) (ite true var19; var4;))) (- (+ (+ var4; var12;) (* 0 var11;)) (+ (ite true var4; var18;) (- var13; var12;)))) (* -1 (* 0 var19;)))) (+ 1 9)(ite (< (- (- (- var6; var5;) (- var6; var5;)) (ite (> var6; var8;) (* 0 var3;) var12;)) (- (- (ite (< var18; var12;) (- var6; var5;) (ite false var16; var19;)) (ite (> var13; var19;) (* 1 var12;) (ite (< var18; (* 1 var12;)) (ite false 4 var19;) (ite false var16; var19;)))) (ite (> var13; var19;) (ite true var12; var1;) var19;))) 12(ite (and (<= var8; (ite true var19; var9;)) (or (or (<= var16; var13;) (> var9; var16;)) (or (<= var19; (ite false var1; var9;)) (< var9; var8;)))) 8(ite (and (or (> var8; var9;) (>= (* 1 (ite true var19; (- var3; var3;))) (ite true var14; var11;))) (<= var19; var15;)) 14(ite (> var19; var18;) 18(ite (and (and (>= var14; var8;) (>= var7; var19;)) (or (< var6; var19;) (<= var6; var19;))) 6(ite (and (and (or (< var19; var8;) (> var3; var13;)) (> var19; var6;)) (> var19; var7;)) 7(ite (or (or (= (ite true var7; var11;) (* 1 var6;)) (= var2; (ite true var5; var6;))) (> (ite true var19; var13;) (ite (< var19; var4;) (ite (or (>= var4; var17;) (< var19; var4;)) var3; var13;) (ite false var17; var19;)))) 3(ite (> (ite (> var15; var19;) var19; (ite (> var15; var19;) (ite (> var15; var19;) (- var1; var6;) (ite true var16; var18;)) (ite true var16; var18;))) var19;) 15(ite (< var19; var1;) (- 1 1)(ite (and (or (< (ite true var19; var9;) (ite true var4; var11;)) (> var3; var19;)) (> (ite true var19; var9;) (ite false var5; var2;))) 2(ite (and (> var19; var13;) (> var15; var19;)) 13(ite (and (not (= var13; (ite false var19; var4;))) (and (> var17; var19;) (> var19; var16;))) 16(ite (< var13; var19;) 17(ite (not (>= var11; var19;)) 11(ite (and (> var2; var19;) (< (- (ite true var6; var15;) (ite false var1; var12;)) (* -9 (- var9; var16;)))) 1(ite (and (<= (- var4; var14;) (- var4; var4;)) (and (>= var19; var5;) (and (not false) (<= var19; var6;)))) 5(ite (and (> var11; var19;) (and (<= var8; var19;) (and (< var19; var11;) (> (- var17; var9;) -1)))) 9 4)))))))))))))))))),2323
src\main\resources\benchmarks\fg_array_search_18.sl,true,52,(ite (and (>= var20; var11;) (>= var12; var20;)) 11(ite (and (< var10; var20;) (>= (ite (< var18; var17;) (ite false var6; var1;) (ite false (- (ite false var6; var20;) (* 18 var18;)) var12;)) var20;)) (+ 1 9)(ite (and (> var20; var1;) (and (>= var10; var20;) (< (+ var5; var9;) (+ var5; var20;)))) 9(ite (and (or (or (and (<= var6; var20;) (< var20; var11;)) (> (* 0 -6) (* 0 var10;))) (or (and (>= var7; var11;) (and true true)) (<= (ite false var15; var6;) (ite true var20; 0)))) (<= var8; (ite (and (< var20; var11;) (< var20; var11;)) (ite true var20; 0) (ite (< var20; var12;) (+ (ite true var20; 0) (ite (< var16; var16;) var11; (- var12; var11;))) (ite true var5; 0))))) 8(ite (and (not (>= var20; var10;)) (<= var7; var20;)) 7(ite (and (< var6; var20;) (> var10; var20;)) 6(ite (and (or (> var10; (* 1 var20;)) (> (- var5; var20;) (* 5 15))) (>= var20; (+ var5; 1))) 5(ite (and (and (>= (ite (>= var3; var20;) var1; var4;) (+ 1 var20;)) (or (not (and (>= var17; (ite true var6; var2;)) (>= var3; var20;))) (and (and true true) (< (ite (and false false) (+ 0 (* -1 var18;)) (- var2; var20;)) (* 0 (+ (+ var13; var3;) (+ var1; var10;))))))) true) 3(ite (> (ite (and (< var11; var14;) (> var20; var2;)) (ite (and (>= var17; var17;) (< var11; var14;)) (+ (* -11 var20;) var20;) (+ var20; var13;)) (- (- (* -8 var3;) (* 0 var2;)) (ite (not false) (+ var10; var4;) (ite (< var11; var14;) (ite true var20; var1;) (* -4 var3;))))) (- (- (* -8 var3;) (* 0 var2;)) (+ var4; var4;))) 2(ite (and (and (< var1; var7;) (and (or (<= var14; var20;) (= var10; var18;)) (<= var20; var15;))) (not (>= (ite false var10; var12;) var20;))) 14(ite (< var20; var1;) (- 1 1)(ite (not (<= var4; var20;)) 1(ite (> (* 0 (* -15 (* -1 0))) (ite (>= var19; (ite false var3; var20;)) (* -1 (- var20; var18;)) (+ 8 0))) 18(ite (< var19; var20;) 19(ite (> var20; var17;) 17(ite (<= var16; var20;) 16(ite (>= var20; var15;) 15(ite (<= var13; var20;) 13(ite (and (>= var20; var6;) (and (>= var20; var8;) (>= (- var18; var11;) (- var1; var16;)))) 12 4))))))))))))))))))),2042
